1745420132.3366768 N:   21, t: 27249994, dt: 25151, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -0.87, VEL_AVG: -0.14, I: -3.29, D: -0.11, VEL_OUT: -9.02, MS_MPC: 22019.63, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.24, gz:  0.24, OX: -0.00
1745420132.3426502 N:   22, t: 27266319, dt: 16325, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  2.69, VEL_AVG: -0.00, I: -3.30, D:  0.13, VEL_OUT: -5.28, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.37, gz:  0.12, OX:  0.01
1745420132.349631  N:   23, t: 27284779, dt: 18460, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.03, I: -3.32, D: -0.02, VEL_OUT: -7.16, MS_MPC: 22024.77, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.43, gz:  0.24, OX: -0.01
1745420132.3546245 N:   24, t: 27306026, dt: 21247, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.18, I: -3.50, D: -0.15, VEL_OUT: -10.31, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.24, gz:  0.12, OX:  0.00
1745420132.3606029 N:   26, t: 27349994, dt: 25973, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -2.54, VEL_AVG: -0.10, I: -4.06, D:  0.36, VEL_OUT: -5.49, MS_MPC: 22019.63, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.24, OX: -0.01
1745420132.3675883 N:   27, t: 27403184, dt: 53190, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.24, VEL_AVG:  0.10, I: -4.16, D: -0.00, VEL_OUT: -9.35, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.31, gy:  0.12, gz: -0.18, OX: -0.01
1745420132.4573412 N:   28, t: 27423649, dt: 20465, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.01, I: -4.17, D:  0.09, VEL_OUT: -7.56, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.61, gy:  0.37, gz:  0.12, OX: -0.00
1745420132.4633348 N:   29, t: 27444047, dt: 20398, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.12, I: -4.29, D: -0.11, VEL_OUT: -10.85, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.61, gy:  0.31, gz:  0.49, OX:  0.01
1745420132.4693196 N:   30, t: 27463362, dt: 19315, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.03, I: -4.32, D:  0.09, VEL_OUT: -8.07, MS_MPC: 22024.77, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.73, gy:  0.43, gz:  0.61, OX:  0.00
1745420132.4752953 N:   31, t: 27483638, dt: 20276, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.15, I: -4.47, D: -0.12, VEL_OUT: -11.61, MS_MPC: 22029.90, ax: -0.00, ay:  0.03, az:  1.00, gx: -0.49, gy:  0.61, gz:  0.79, OX:  0.79
1745420132.4812794 N:   32, t: 27503895, dt: 20257, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.12, I: -4.59, D:  0.03, VEL_OUT: -10.17, MS_MPC: 22035.04, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.85, gz:  0.79, OX:  0.00
