1746087625.7349799 N:   19, t: 33568704, dt: 19235, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -2.54, D:  0.00, VEL_OUT: -5.26, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.64, gz: -0.06, OX:  0.01
1746087625.7892735 N:   20, t: 33588762, dt: 20058, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -2.69, D: -0.14, VEL_OUT: -8.32, MS_MPC: 22065.81, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.46, gz:  0.00, OX:  0.05
1746087625.7953882 N:   21, t: 33608231, dt: 19469, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.31, I: -3.00, D: -0.15, VEL_OUT: -10.55, MS_MPC: 22055.56, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.21, gz:  0.06, OX:  0.02
1746087625.8015141 N:   22, t: 33627392, dt: 19161, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  3.44, VEL_AVG:  0.18, I: -3.18, D:  0.12, VEL_OUT: -6.97, MS_MPC: 22070.94, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.31, gy: -0.03, gz: -0.06, OX:  0.03
1746087625.8077002 N:   23, t: 33647714, dt: 20322, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.26, I: -3.44, D: -0.07, VEL_OUT: -10.18, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.24, gy: -0.21, gz: -0.55, OX: -0.03
1746087625.8497617 N:   24, t: 33668938, dt: 21224, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.17, I: -3.61, D:  0.09, VEL_OUT: -8.06, MS_MPC: 22060.69, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.58, gz: -1.46, OX: -0.04
1746087625.8547475 N:   25, t: 33686910, dt: 17972, ENC_DEG:  4.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -3.69, D:  0.09, VEL_OUT: -7.35, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.43, gy: -0.76, gz: -1.65, OX: -0.04
1746087625.8617482 N:   26, t: 33706999, dt: 20089, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.20, I: -3.89, D: -0.12, VEL_OUT: -10.93, MS_MPC: 22070.94, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.31, gy: -0.46, gz: -1.40, OX: -0.01
1746087625.9680047 N:   27, t: 33727131, dt: 20132, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.20, I: -4.09, D: -0.00, VEL_OUT: -10.24, MS_MPC: 22065.81, ax:  0.02, ay: -0.00, az:  0.99, gx: -0.43, gy: -0.40, gz: -0.92, OX:  0.06
1746087625.974763  N:   28, t: 33748150, dt: 21019, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -4.23, D:  0.07, VEL_OUT: -9.07, MS_MPC: 22065.81, ax:  0.02, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.40, gz: -0.85, OX:  0.04
