1746087989.4712098 N:   23, t: 28148761, dt: 20734, ENC_DEG: 48.25, REF:  0.00, VEL_RAW: -3.18, VEL_AVG: -0.18, I: -13.11, D: -0.01, VEL_OUT: -28.06, MS_MPC: 29265.74, ax:  0.02, ay: -0.01, az:  1.02, gx:  2.41, gy: -1.13, gz: -2.59, OX:  0.01
1746087989.4772272 N:   25, t: 28192063, dt: 24356, ENC_DEG: 48.28, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.54, I: -13.67, D: -0.53, VEL_OUT: -38.01, MS_MPC: 29267.29, ax:  0.03, ay:  0.01, az:  1.00, gx:  2.78, gy:  0.52, gz:  0.52, OX:  0.04
1746087989.4831762 N:   26, t: 28207796, dt: 15733, ENC_DEG: 48.28, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.63, I: -14.30, D: -0.09, VEL_OUT: -35.85, MS_MPC: 29267.29, ax:  0.02, ay:  0.02, az:  0.99, gx:  3.02, gy:  0.34, gz:  0.27, OX:  0.07
1746087989.5128388 N:   27, t: 28227664, dt: 19868, ENC_DEG: 48.30, REF:  0.00, VEL_RAW:  1.11, VEL_AVG: -1.01, I: -15.31, D: -0.37, VEL_OUT: -44.41, MS_MPC: 29268.84, ax:  0.01, ay:  0.03, az:  1.00, gx:  3.27, gy: -0.52, gz: -1.50, OX:  0.02
1746087989.5198333 N:   28, t: 28247788, dt: 20124, ENC_DEG: 48.28, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -1.10, I: -16.41, D: -0.09, VEL_OUT: -44.69, MS_MPC: 29267.29, ax:  0.01, ay:  0.03, az:  1.00, gx:  2.78, gy: -0.76, gz: -2.78, OX:  0.05
1746087989.5729141 N:   29, t: 28267350, dt: 19562, ENC_DEG: 48.41, REF:  0.00, VEL_RAW:  6.74, VEL_AVG: -0.43, I: -16.83, D:  0.67, VEL_OUT: -31.24, MS_MPC: 29276.54, ax:  0.01, ay:  0.03, az:  1.00, gx:  2.47, gy: -1.92, gz: -5.89, OX: -0.12
1746087989.5788295 N:   30, t: 28287706, dt: 20356, ENC_DEG: 48.41, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.71, I: -17.55, D: -0.28, VEL_OUT: -45.07, MS_MPC: 29276.54, ax:  0.02, ay:  0.01, az:  1.00, gx:  1.98, gy: -2.78, gz: -7.23, OX: -0.15
1746087989.585382  N:   31, t: 28308727, dt: 21021, ENC_DEG: 48.43, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.63, I: -18.17, D:  0.09, VEL_OUT: -41.72, MS_MPC: 29278.08, ax:  0.02, ay: -0.01, az:  1.00, gx:  1.01, gy: -3.39, gz: -6.62, OX: -0.17
1746087989.6914923 N:   32, t: 28333454, dt: 24727, ENC_DEG: 48.39, REF:  0.00, VEL_RAW: -1.78, VEL_AVG: -0.30, I: -18.47, D:  0.33, VEL_OUT: -36.63, MS_MPC: 29275.01, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.46, gy: -3.57, gz: -5.16, OX:  0.01
1746087989.6965232 N:   33, t: 28348681, dt: 15227, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -18.60, D:  0.17, VEL_OUT: -36.76, MS_MPC: 29275.01, ax:  0.03, ay: -0.01, az:  1.02, gx: -0.27, gy: -3.27, gz: -3.88, OX:  0.01
1746087989.7034614 N:   34, t: 28367539, dt: 18858, ENC_DEG: 48.43, REF:  0.00, VEL_RAW:  2.33, VEL_AVG:  0.55, I: -19.14, D: -0.42, VEL_OUT: -48.00, MS_MPC: 29278.08, ax:  0.03, ay: -0.01, az:  1.02, gx: -1.01, gy: -2.59, gz: -2.29, OX:  0.06
