1746026981.915406  N:   20, t: 76225499, dt: 17009, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.29, VEL_AVG: -0.17, I: -3.74, D: -0.08, VEL_OUT: -10.02, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.12, gz: -0.03, OX: -0.01
1746026981.921384  N:   21, t: 76246525, dt: 21026, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.01, I: -3.75, D:  0.16, VEL_OUT: -5.92, MS_MPC: 22029.90, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.31, gy:  0.12, gz:  0.15, OX: -0.01
1746026981.959281  N:   22, t: 76270871, dt: 24346, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.81, VEL_AVG:  0.25, I: -3.99, D: -0.24, VEL_OUT: -12.85, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.31, gy:  0.43, gz:  1.31, OX:  0.04
1746026981.9652681 N:   23, t: 76287889, dt: 17018, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.58, VEL_AVG:  0.12, I: -4.11, D:  0.13, VEL_OUT: -8.18, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.01, gx:  0.37, gy:  0.24, gz:  1.07, OX:  0.03
1746026981.9712498 N:   24, t: 76305459, dt: 17570, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  3.75, VEL_AVG:  0.05, I: -4.16, D:  0.07, VEL_OUT: -8.07, MS_MPC: 22045.30, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.37, gy:  0.61, gz:  0.70, OX:  0.01
1746026981.977233  N:   25, t: 76330963, dt: 25504, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.72, VEL_AVG:  0.07, I: -4.23, D: -0.02, VEL_OUT: -9.34, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.24, gy:  0.49, gz:  0.82, OX: -0.04
1746026982.0231104 N:   26, t: 76345833, dt: 14870, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -4.37, D: -0.07, VEL_OUT: -10.85, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.49, gz:  1.07, OX:  0.00
1746026982.0290945 N:   27, t: 76366931, dt: 21098, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.14, I: -4.50, D:  0.00, VEL_OUT: -10.33, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.37, gy:  0.55, gz:  1.19, OX:  0.01
1746026982.0360768 N:   28, t: 76385100, dt: 18169, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.04, I: -4.54, D:  0.10, VEL_OUT: -8.42, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.55, gy:  0.61, gz:  0.95, OX: -0.01
1746026982.0849566 N:   29, t: 76411740, dt: 26640, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -0.82, VEL_AVG: -0.10, I: -4.64, D: -0.07, VEL_OUT: -11.01, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.79, gy:  0.79, gz:  0.64, OX:  0.01
1746026982.2026303 N:   30, t: 76429752, dt: 18012, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -4.67, D:  0.07, VEL_OUT: -8.89, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.85, gy:  0.49, gz:  0.21, OX:  0.02
1746026982.2096114 N:   31, t: 76448034, dt: 18282, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.40, VEL_AVG:  0.27, I: -4.94, D: -0.24, VEL_OUT: -15.00, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.92, gy:  0.24, gz: -0.09, OX: -0.02
1746026982.2165947 N:   32, t: 76467239, dt: 19205, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.29, VEL_AVG: -0.03, I: -4.97, D:  0.24, VEL_OUT: -7.80, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.73, gy:  0.12, gz: -0.34, OX: -0.01
1746026982.2216125 N:   33, t: 76485449, dt: 18210, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.41, VEL_AVG:  0.26, I: -5.23, D: -0.23, VEL_OUT: -15.39, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.49, gy:  0.00, gz: -0.52, OX: -0.05
1746026982.262471  N:   37, t: 76566515, dt: 19220, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.37, I: -6.02, D: -0.33, VEL_OUT: -19.08, MS_MPC: 22050.43, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.55, gz: -0.34, OX: -0.00
1746026982.2684696 N:   38, t: 76585651, dt: 19136, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -2.30, VEL_AVG:  0.18, I: -6.20, D:  0.19, VEL_OUT: -12.27, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.73, gz: -0.09, OX:  0.02
1746026982.2734761 N:   39, t: 76606303, dt: 20652, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -3.19, VEL_AVG:  0.00, I: -6.20, D:  0.18, VEL_OUT: -10.61, MS_MPC: 22024.77, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.37, gz: -0.09, OX: -0.01
1746026982.2814274 N:   40, t: 76626528, dt: 20225, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.17, I: -6.37, D: -0.17, VEL_OUT: -16.16, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.12, gz: -0.27, OX: -0.02
1746026982.3233097 N:   41, t: 76645664, dt: 19136, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.30, VEL_AVG:  0.05, I: -6.42, D:  0.12, VEL_OUT: -12.09, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.31, gz: -0.27, OX: -0.03
1746026982.3292944 N:   42, t: 76667194, dt: 21530, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  3.06, VEL_AVG:  0.30, I: -6.72, D: -0.26, VEL_OUT: -19.03, MS_MPC: 22045.30, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.24, gy:  0.00, gz: -0.09, OX: -0.00
1746026982.3831875 N:   43, t: 76686242, dt: 19048, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.01, I: -6.73, D:  0.30, VEL_OUT: -10.56, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.49, gy:  0.06, gz: -0.21, OX: -0.00
1746026982.3891704 N:   44, t: 76705892, dt: 19650, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.10, I: -6.83, D: -0.10, VEL_OUT: -15.69, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.01, gx: -0.67, gy:  0.18, gz:  0.03, OX: -0.01
1746026982.3961155 N:   45, t: 76725836, dt: 19944, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -6.93, D:  0.01, VEL_OUT: -14.73, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.01, gx: -0.85, gy:  0.31, gz:  0.15, OX: -0.03
1746026982.4021006 N:   46, t: 76746082, dt: 20246, ENC_DEG:  4.66, REF:  0.00, VEL_RAW:  4.34, VEL_AVG:  0.35, I: -7.28, D: -0.25, VEL_OUT: -20.54, MS_MPC: 22055.56, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.98, gy:  0.43, gz:  0.27, OX: -0.01
1746026982.4430132 N:   47, t: 76768474, dt: 22392, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -2.94, VEL_AVG: -0.00, I: -7.28, D:  0.34, VEL_OUT: -11.17, MS_MPC: 22040.17, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.79, gy:  0.49, gz:  0.82, OX:  0.01
1746026982.5626686 N:   48, t: 76787733, dt: 19259, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.10, I: -7.38, D: -0.10, VEL_OUT: -16.70, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.79, gy:  0.49, gz:  0.70, OX:  0.00
1746026982.5686536 N:   49, t: 76805874, dt: 18141, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.42, VEL_AVG: -0.09, I: -7.47, D:  0.01, VEL_OUT: -15.70, MS_MPC: 22045.30, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.73, gy:  0.24, gz:  0.70, OX:  0.02
1746026982.5746374 N:   50, t: 76826541, dt: 20667, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.01, I: -7.48, D:  0.07, VEL_OUT: -14.38, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.61, gy:  0.49, gz:  0.89, OX:  0.03
1746026982.6803935 N:   51, t: 76846735, dt: 20194, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.19, I: -7.67, D: -0.18, VEL_OUT: -19.00, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.31, gz:  0.70, OX:  0.01
