1746027586.3575556 N:   23, t: 42040605, dt: 19334, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  6.82, VEL_AVG: -0.16, I: -12.57, D:  0.46, VEL_OUT: -22.16, MS_MPC: 22029.90, ax: -0.03, ay:  0.02, az:  1.00, gx:  0.76, gy: -0.34, gz:  3.17, OX:  0.13
1746027586.3635395 N:   24, t: 42059553, dt: 18948, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.38, I: -12.94, D: -0.21, VEL_OUT: -31.76, MS_MPC: 22029.90, ax: -0.04, ay:  0.02, az:  0.99, gx:  0.03, gy: -0.70, gz:  1.22, OX:  0.00
1746027586.4682634 N:   25, t: 42080578, dt: 21025, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -3.14, VEL_AVG:  0.34, I: -13.28, D:  0.04, VEL_OUT: -29.51, MS_MPC: 22014.50, ax: -0.03, ay:  0.00, az:  1.00, gx: -0.64, gy: -0.58, gz: -0.00, OX: -0.06
1746027586.53112   N:   26, t: 42105786, dt: 25208, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  3.49, VEL_AVG:  1.02, I: -14.30, D: -0.69, VEL_OUT: -45.66, MS_MPC: 22035.04, ax: -0.03, ay:  0.01, az:  1.01, gx: -2.35, gy: -0.76, gz: -0.12, OX:  0.11
1746027586.537112  N:   27, t: 42120912, dt: 15126, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -4.36, VEL_AVG:  0.66, I: -14.96, D:  0.36, VEL_OUT: -32.86, MS_MPC: 22019.63, ax: -0.02, ay:  0.01, az:  1.01, gx: -3.08, gy: -0.82, gz: -1.16, OX: -0.06
1746027586.5430968 N:   28, t: 42140211, dt: 19299, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.94, I: -15.90, D: -0.29, VEL_OUT: -44.10, MS_MPC: 22014.50, ax: -0.01, ay:  0.01, az:  1.01, gx: -2.96, gy: -0.27, gz: -2.20, OX: -0.12
1746027586.5490444 N:   32, t: 42222785, dt: 16994, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.59, VEL_AVG: -0.09, I: -16.82, D:  0.16, VEL_OUT: -32.94, MS_MPC: 22004.22, ax: -0.01, ay: -0.01, az:  1.00, gx: -2.53, gy:  0.89, gz:  0.24, OX:  0.06
1746027586.5909355 N:   33, t: 42261374, dt: 38589, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.27, I: -17.09, D: -0.19, VEL_OUT: -38.75, MS_MPC: 21993.95, ax: -0.02, ay: -0.00, az:  1.00, gx: -0.64, gy:  1.25, gz:  0.85, OX:  0.04
1746027586.5969152 N:   34, t: 42280858, dt: 19484, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -17.19, D:  0.17, VEL_OUT: -33.67, MS_MPC: 21993.95, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.15, gy:  1.43, gz:  1.34, OX:  0.03
1746027586.6028981 N:   35, t: 42298981, dt: 18123, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.67, I: -17.86, D: -0.57, VEL_OUT: -48.09, MS_MPC: 21993.95, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.34, gy:  1.31, gz:  2.14, OX:  0.01
