1746027464.2489011 N:   22, t: 30581995, dt: 21072, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.53, I: -6.43, D: -0.09, VEL_OUT: -19.07, MS_MPC: 22035.04, ax:  0.03, ay:  0.02, az:  1.01, gx:  3.88, gy: -6.20, gz: -3.11, OX: -0.05
1746027464.254885  N:   25, t: 30644360, dt: 23829, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -0.92, VEL_AVG:  0.68, I: -8.02, D: -0.22, VEL_OUT: -25.01, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.02, gx: -0.34, gy: -3.69, gz: -4.33, OX: -0.22
1746027464.2608688 N:   26, t: 30661908, dt: 17548, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  2.50, VEL_AVG:  1.08, I: -9.10, D: -0.40, VEL_OUT: -32.95, MS_MPC: 22070.94, ax:  0.02, ay: -0.01, az:  1.02, gx: -2.17, gy: -2.72, gz: -3.54, OX: -0.10
1746027464.2668536 N:   27, t: 30680206, dt: 18298, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  1.03, I: -10.12, D:  0.05, VEL_OUT: -30.04, MS_MPC: 22076.06, ax:  0.03, ay: -0.02, az:  1.02, gx: -4.79, gy: -1.07, gz: -2.26, OX: -0.08
1746027464.2728374 N:   28, t: 30702932, dt: 22726, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -1.93, VEL_AVG:  1.15, I: -11.27, D: -0.12, VEL_OUT: -35.23, MS_MPC: 22065.81, ax:  0.03, ay: -0.01, az:  1.01, gx: -5.89, gy:  0.46, gz: -0.12, OX:  0.06
1746027464.3655884 N:   29, t: 30720406, dt: 17474, ENC_DEG:  4.62, REF:  0.00, VEL_RAW: -5.03, VEL_AVG:  0.82, I: -12.10, D:  0.32, VEL_OUT: -29.20, MS_MPC: 22045.30, ax:  0.04, ay: -0.00, az:  1.01, gx: -6.87, gy:  1.50, gz:  0.67, OX:  0.05
1746027464.423466  N:   30, t: 30740737, dt: 20331, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.51, I: -12.60, D:  0.32, VEL_OUT: -27.08, MS_MPC: 22040.17, ax:  0.04, ay: -0.02, az:  1.01, gx: -7.66, gy:  2.23, gz:  1.59, OX: -0.19
1746027464.4294503 N:   31, t: 30761966, dt: 21229, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.32, I: -12.93, D:  0.18, VEL_OUT: -27.29, MS_MPC: 22045.30, ax:  0.03, ay: -0.02, az:  1.00, gx: -8.03, gy:  3.39, gz:  3.78, OX:  0.03
1746027464.4364054 N:   32, t: 30786072, dt: 24106, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.82, VEL_AVG:  0.26, I: -13.18, D:  0.07, VEL_OUT: -28.22, MS_MPC: 22035.04, ax:  0.02, ay:  0.00, az:  1.00, gx: -7.66, gy:  5.40, gz:  6.84, OX:  0.25
1746027464.4423854 N:   34, t: 30820610, dt: 19358, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -3.41, VEL_AVG: -0.10, I: -13.55, D:  0.18, VEL_OUT: -26.30, MS_MPC: 22024.77, ax:  0.02, ay:  0.03, az:  0.97, gx: -5.71, gy:  5.89, gz:  8.24, OX:  0.13
