Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3703,4246.0,28.9296875,33.171875,Tar1,4.2421875
2,17941,18594.0,140.1640625,145.265625,Tar3,5.1015625
3,19752,20450.0,154.3125,159.765625,Tar2,5.453125
4,21527,22325.0,168.1796875,174.4140625,Tar1,6.234375
5,23637,24428.0,184.6640625,190.84375,Tar2,6.1796875
6,25663,26467.0,200.4921875,206.7734375,Tar3,6.28125
7,27779,28431.0,217.0234375,222.1171875,Tar3,5.09375
8,29812,30585.0,232.90625,238.9453125,Tar2,6.0390625
9,31590,32469.0,246.796875,253.6640625,Tar1,6.8671875
10,33831,34680.0,264.3046875,270.9375,Tar2,6.6328125
11,36023,36858.0,281.4296875,287.953125,Tar3,6.5234375
12,38129,39047.0,297.8828125,305.0546875,Tar1,7.171875
13,40465,41338.0,316.1328125,322.953125,Tar2,6.8203125
14,42733,43615.0,333.8515625,340.7421875,Tar1,6.890625
15,45533,46406.0,355.7265625,362.546875,Tar3,6.8203125
16,47711,48590.0,372.7421875,379.609375,Tar3,6.8671875
17,49940,50907.0,390.15625,397.7109375,Tar2,7.5546875
18,52369,53276.0,409.1328125,416.21875,Tar1,7.0859375
19,54710,55643.0,427.421875,434.7109375,Tar1,7.2890625
20,67629,68399.0,528.3515625,534.3671875,Tar3,6.015625
21,69700,70670.0,544.53125,552.109375,Tar2,7.578125
22,72136,73123.0,563.5625,571.2734375,Tar2,7.7109375
23,74539,75325.0,582.3359375,588.4765625,Tar1,6.140625
24,76674,77559.0,599.015625,605.9296875,Tar3,6.9140625
25,78900,79814.0,616.40625,623.546875,Tar3,7.140625
26,81146,82089.0,633.953125,641.3203125,Tar1,7.3671875
27,83414,84371.0,651.671875,659.1484375,Tar2,7.4765625
28,85754,86734.0,669.953125,677.609375,Tar3,7.65625
29,88306,89296.0,689.890625,697.625,Tar2,7.734375
30,90746,91627.0,708.953125,715.8359375,Tar1,6.8828125
