time,Index
4.390625,1325.510746
8.515625,913.731506
12.234375,1157.117751
15.984375,1311.320405
19.703125,903.174052
23.609375,1162.839125
26.71875,1325.157308
29.8046875,1171.261998
33.046875,912.36611
36.6640625,1320.346364
39.9609375,1170.750668
43.09375,912.819564
46.28125,1158.623963
49.5,1315.786311
52.8203125,912.29153
55.984375,1317.021705
59.578125,916.607638
62.765625,1153.426903
65.609375,1161.552426
68.578125,911.057253
71.765625,1325.722373
75.25,920.916155
78.7578125,1337.366236
82.15625,1167.530473
85.5859375,1171.789932
88.6953125,1336.600056
92.203125,923.826853
95.5546875,1170.877949
98.9765625,915.828703
102.25,1328.432096
