time,motor_top
26.8203125,1119.251475
52.8203125,1120.122784
73.7734375,1110.666928
89.765625,1111.223171
106.890625,1116.198413
120.6953125,1120.27403
134.9375,1102.806626
148.296875,1093.302033
164.875,1123.063837
180.1328125,1088.768631
193.1875,1097.276122
285.4296875,1085.052849
301.1953125,1107.753438
313.2578125,1106.803864
326.5625,1106.950438
342.078125,1098.575266
356.0625,1108.122556
372.4609375,1106.05821
527.953125,1103.297913
544.25,1073.890902
562.8828125,1100.494975
577.5234375,1106.741233
591.9921875,1102.509824
682.1484375,1108.947148
694.078125,1099.954735
790.84375,1118.033194
804.765625,1116.027894
904.84375,1094.197413
917.4375,1087.165469
928.4921875,1087.002381
