time,motor_top
21.75,1180.987912
127.078125,1148.503957
147.203125,1148.971715
168.3828125,1141.484205
184.9140625,1143.804342
225.0859375,1161.540781
241.8359375,1146.917145
268.0078125,1151.49146
292.9296875,1174.16927
319.171875,1143.113195
337.3203125,1184.226217
355.1953125,1154.840532
377.171875,1154.948241
395.1875,1130.193945
411.0859375,1147.811648
428.8828125,1157.23954
444.7890625,1141.619826
620.71875,1172.441794
712.9375,1180.090451
733.78125,1137.451956
749.4765625,1138.243195
765.203125,1130.917793
780.171875,1112.004899
793.53125,1133.275258
808.859375,1123.951895
881.484375,1114.38919
960.5,1123.443523
975.3359375,1126.238068
991.4375,1129.772313
1004.4921875,1122.881983
