Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3019,4033.0,23.5859375,31.5078125,Tar1,7.921875
2,16332,17458.0,127.59375,136.390625,Tar2,8.796875
3,18956,20039.0,148.09375,156.5546875,Tar3,8.4609375
4,21664,22590.0,169.25,176.484375,Tar3,7.234375
5,23826,25136.0,186.140625,196.375,Tar2,10.234375
6,28939,29875.0,226.0859375,233.3984375,Tar1,7.3125
7,31073,32013.0,242.7578125,250.1015625,Tar3,7.34375
8,34409,35465.0,268.8203125,277.0703125,Tar1,8.25
9,37590,39160.0,293.671875,305.9375,Tar2,12.265625
10,40934,41976.0,319.796875,327.9375,Tar1,8.140625
11,43317,44259.0,338.4140625,345.7734375,Tar2,7.359375
12,45552,46457.0,355.875,362.9453125,Tar3,7.0703125
13,48373,49348.0,377.9140625,385.53125,Tar2,7.6171875
14,50689,51489.0,396.0078125,402.2578125,Tar3,6.25
15,52693,53721.0,411.6640625,419.6953125,Tar1,8.03125
16,54982,55720.0,429.546875,435.3125,Tar1,5.765625
17,57054,58097.0,445.734375,453.8828125,Tar2,8.1484375
18,79536,80298.0,621.375,627.328125,Tar3,5.953125
19,91337,92716.0,713.5703125,724.34375,Tar2,10.7734375
20,94065,94779.0,734.8828125,740.4609375,Tar3,5.578125
21,96026,96871.0,750.203125,756.8046875,Tar1,6.6015625
22,98046,98875.0,765.984375,772.4609375,Tar2,6.4765625
23,99972,100682.0,781.03125,786.578125,Tar3,5.546875
24,101688,102322.0,794.4375,799.390625,Tar1,4.953125
25,103637,104371.0,809.6640625,815.3984375,Tar3,5.734375
26,112924,113644.0,882.21875,887.84375,Tar1,5.625
27,123080,123884.0,961.5625,967.84375,Tar2,6.28125
28,124971,125505.0,976.3359375,980.5078125,Tar3,4.171875
29,127029,127629.0,992.4140625,997.1015625,Tar1,4.6875
30,128678,129454.0,1005.296875,1011.359375,Tar2,6.0625
