time,motor_top
39.421875,1038.152506
55.4765625,1053.720319
81.015625,1042.475892
99.4921875,1052.459679
209.84375,1021.345813
237.140625,1027.167836
259.875,1036.968711
283.1875,1041.918337
304.1875,1049.978231
323.734375,1046.159282
350.3125,1038.375116
371.5234375,1040.136754
392.6640625,1036.787348
416.8515625,1067.148313
441.6171875,1029.063031
464.578125,1025.990937
587.6796875,1013.241702
606.0,1009.463526
622.796875,1045.536322
638.0703125,1054.725625
659.640625,1061.358474
679.1875,1033.094315
700.75,1038.478911
719.8125,1050.622625
740.7578125,1022.969449
760.859375,1025.869164
780.890625,1020.851747
798.96875,1003.439548
889.5859375,1045.216752
985.1015625,1036.213229
