1746089229.9140933 N:   18, t: 37918383, dt: 19958, ENC_DEG: 16.92, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.40, I: -5.27, D:  0.10, VEL_OUT: -13.59, MS_MPC: 24730.30, ax:  0.00, ay: -0.04, az:  1.00, gx:  4.64, gy: -12.57, gz: -20.94, OX: -0.63
1746089229.9200547 N:   19, t: 37940964, dt: 22581, ENC_DEG: 16.90, REF:  0.00, VEL_RAW: -0.97, VEL_AVG:  0.14, I: -5.41, D:  0.26, VEL_OUT: -9.61, MS_MPC: 24725.87, ax: -0.02, ay: -0.02, az:  1.02, gx:  3.48, gy: -10.68, gz: -15.56, OX:  0.63
1746089229.926029  N:   20, t: 37958259, dt: 17295, ENC_DEG: 16.92, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.53, I: -5.94, D: -0.39, VEL_OUT: -21.07, MS_MPC: 24730.30, ax: -0.02, ay: -0.04, az:  1.04, gx:  3.17, gy: -8.85, gz: -14.59, OX: -0.00
1746089229.9736176 N:   21, t: 37978770, dt: 20511, ENC_DEG: 16.90, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.60, I: -6.54, D: -0.07, VEL_OUT: -19.84, MS_MPC: 24725.87, ax: -0.00, ay: -0.08, az:  1.03, gx:  2.32, gy: -5.55, gz: -10.56, OX: -0.23
1746089229.9794304 N:   22, t: 37998649, dt: 19879, ENC_DEG: 16.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.71, I: -7.25, D: -0.10, VEL_OUT: -22.63, MS_MPC: 24725.87, ax:  0.02, ay: -0.07, az:  1.03, gx:  1.40, gy: -3.30, gz: -2.75, OX:  0.07
1746089229.985347  N:   23, t: 38019774, dt: 21125, ENC_DEG: 16.85, REF:  0.00, VEL_RAW: -2.08, VEL_AVG:  0.61, I: -7.86, D:  0.10, VEL_OUT: -20.77, MS_MPC: 24717.00, ax:  0.03, ay: -0.10, az:  1.06, gx:  1.28, gy: -2.38, gz: -0.85, OX: -0.39
1746089230.0322564 N:   24, t: 38040842, dt: 21068, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.58, I: -8.43, D:  0.03, VEL_OUT: -22.34, MS_MPC: 24721.43, ax: -0.01, ay: -0.16, az:  1.06, gx: -2.14, gy: -0.31, gz:  4.33, OX: -0.29
1746089230.0387866 N:   25, t: 38059432, dt: 18590, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.30, I: -8.73, D:  0.28, VEL_OUT: -17.59, MS_MPC: 24721.43, ax:  0.00, ay: -0.15, az:  1.07, gx: -5.74, gy:  3.23, gz:  8.91, OX:  0.34
1746089230.0446367 N:   26, t: 38079544, dt: 20112, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -8.84, D:  0.19, VEL_OUT: -16.86, MS_MPC: 24721.43, ax: -0.00, ay: -0.06, az:  1.04, gx: -8.30, gy:  7.32, gz: 14.34, OX:  0.70
1746089230.092874  N:   27, t: 38099908, dt: 20364, ENC_DEG: 16.81, REF:  0.00, VEL_RAW: -3.24, VEL_AVG: -0.16, I: -9.00, D: -0.06, VEL_OUT: -20.18, MS_MPC: 24708.12, ax: -0.01, ay:  0.02, az:  1.00, gx: -7.26, gy:  8.97, gz: 14.59, OX:  0.41
1746089230.0988948 N:   28, t: 38118343, dt: 18435, ENC_DEG: 16.79, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.62, I: -9.61, D: -0.45, VEL_OUT: -29.94, MS_MPC: 24703.68, ax: -0.03, ay:  0.00, az:  0.99, gx: -5.80, gy:  9.03, gz: 12.15, OX: -0.16
1746089230.1046903 N:   29, t: 38138964, dt: 20621, ENC_DEG: 16.81, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.34, I: -9.95, D:  0.28, VEL_OUT: -20.53, MS_MPC: 24708.12, ax: -0.05, ay: -0.00, az:  1.00, gx: -5.37, gy:  7.63, gz: 10.13, OX: -0.06
1746089230.1528444 N:   30, t: 38158734, dt: 19770, ENC_DEG: 16.77, REF:  0.00, VEL_RAW: -2.22, VEL_AVG: -0.62, I: -10.57, D: -0.28, VEL_OUT: -30.08, MS_MPC: 24699.23, ax: -0.06, ay:  0.03, az:  0.98, gx: -5.92, gy:  7.08, gz:  8.42, OX:  0.17
1746089230.1588037 N:   31, t: 38178549, dt: 19815, ENC_DEG: 16.72, REF:  0.00, VEL_RAW: -2.22, VEL_AVG: -0.72, I: -11.29, D: -0.10, VEL_OUT: -30.82, MS_MPC: 24690.34, ax: -0.05, ay:  0.01, az:  0.96, gx: -4.76, gy:  7.45, gz:  5.80, OX: -0.26
1746089230.1648102 N:   32, t: 38199967, dt: 21418, ENC_DEG: 16.79, REF:  0.00, VEL_RAW:  3.08, VEL_AVG: -0.57, I: -11.86, D:  0.15, VEL_OUT: -27.91, MS_MPC: 24703.68, ax: -0.04, ay:  0.02, az:  0.97, gx: -1.95, gy:  5.55, gz:  4.82, OX:  0.42
1746089230.2130253 N:   33, t: 38220005, dt: 20038, ENC_DEG: 16.81, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.39, I: -12.25, D:  0.18, VEL_OUT: -26.58, MS_MPC: 24708.12, ax: -0.04, ay:  0.02, az:  0.98, gx: -0.18, gy:  4.52, gz:  1.77, OX: -0.11
1746089230.2183378 N:   34, t: 38239707, dt: 19702, ENC_DEG: 16.79, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.48, I: -12.73, D: -0.09, VEL_OUT: -31.21, MS_MPC: 24703.68, ax: -0.02, ay: -0.02, az:  0.99, gx:  0.92, gy:  4.33, gz:  0.73, OX: -0.10
1746089230.2249444 N:   35, t: 38259171, dt: 19464, ENC_DEG: 16.77, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.40, I: -13.13, D:  0.08, VEL_OUT: -29.50, MS_MPC: 24699.23, ax: -0.01, ay: -0.00, az:  0.99, gx:  0.55, gy:  4.70, gz:  1.46, OX:  0.18
1746089230.2729642 N:   36, t: 38279175, dt: 20004, ENC_DEG: 16.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.49, I: -13.62, D: -0.09, VEL_OUT: -33.01, MS_MPC: 24699.23, ax:  0.01, ay:  0.02, az:  0.98, gx:  0.98, gy:  3.78, gz:  2.08, OX:  0.10
1746089230.2784145 N:   37, t: 38303757, dt: 24582, ENC_DEG: 16.72, REF:  0.00, VEL_RAW: -1.79, VEL_AVG: -0.64, I: -14.26, D: -0.15, VEL_OUT: -36.40, MS_MPC: 24690.34, ax:  0.02, ay:  0.04, az:  0.99, gx:  2.01, gy:  0.92, gz:  0.24, OX:  0.08
1746089230.2853098 N:   38, t: 38320966, dt: 17209, ENC_DEG: 16.77, REF:  0.00, VEL_RAW:  2.55, VEL_AVG: -0.43, I: -14.69, D:  0.21, VEL_OUT: -31.51, MS_MPC: 24699.23, ax:  0.01, ay:  0.03, az:  0.99, gx:  2.14, gy: -1.10, gz: -1.89, OX: -0.07
1746089230.3344018 N:   39, t: 38338790, dt: 17824, ENC_DEG: 16.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -14.84, D:  0.27, VEL_OUT: -28.55, MS_MPC: 24699.23, ax:  0.01, ay:  0.02, az:  1.00, gx:  1.89, gy: -2.38, gz: -3.30, OX: -0.05
1746089230.340385  N:   40, t: 38358569, dt: 19779, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  4.44, VEL_AVG:  0.31, I: -15.16, D: -0.16, VEL_OUT: -35.03, MS_MPC: 24717.00, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.79, gy: -2.75, gz: -3.85, OX: -0.05
1746089230.3464007 N:   41, t: 38384249, dt: 25680, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -15.38, D:  0.09, VEL_OUT: -32.13, MS_MPC: 24717.00, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.37, gy: -2.62, gz: -3.97, OX:  0.00
1746089230.3945954 N:   42, t: 38401423, dt: 17174, ENC_DEG: 16.92, REF:  0.00, VEL_RAW:  3.84, VEL_AVG:  0.73, I: -16.11, D: -0.51, VEL_OUT: -44.57, MS_MPC: 24730.30, ax:  0.02, ay:  0.02, az:  0.98, gx: -0.61, gy: -3.17, gz: -5.07, OX:  0.02
1746089230.4518096 N:   43, t: 38421001, dt: 19578, ENC_DEG: 16.94, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  1.01, I: -17.12, D: -0.28, VEL_OUT: -47.11, MS_MPC: 24734.74, ax:  0.03, ay:  0.01, az:  0.98, gx: -0.37, gy: -4.58, gz: -6.41, OX: -0.04
1746089230.457344  N:   44, t: 38440062, dt: 19061, ENC_DEG: 16.90, REF:  0.00, VEL_RAW: -2.31, VEL_AVG:  0.56, I: -17.68, D:  0.45, VEL_OUT: -36.47, MS_MPC: 24725.87, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.85, gy: -5.92, gz: -9.16, OX: -0.02
1746089230.463328  N:   45, t: 38459744, dt: 19682, ENC_DEG: 16.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.47, I: -18.15, D:  0.09, VEL_OUT: -40.07, MS_MPC: 24725.87, ax:  0.02, ay:  0.00, az:  1.02, gx: -0.85, gy: -5.49, gz: -10.01, OX: -0.10
1746089230.5089471 N:   46, t: 38479966, dt: 20222, ENC_DEG: 16.92, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.65, I: -18.80, D: -0.18, VEL_OUT: -45.95, MS_MPC: 24730.30, ax:  0.03, ay: -0.00, az:  1.03, gx: -1.22, gy: -4.21, gz: -8.73, OX: -0.03
1746089230.5156138 N:   48, t: 38520418, dt: 21017, ENC_DEG: 16.90, REF:  0.00, VEL_RAW:  2.09, VEL_AVG:  0.64, I: -19.90, D: -0.17, VEL_OUT: -47.92, MS_MPC: 24725.87, ax:  0.03, ay: -0.00, az:  1.01, gx: -2.62, gy: -1.16, gz: -3.11, OX:  0.03
1746089230.521869  N:   49, t: 38539827, dt: 19409, ENC_DEG: 16.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.79, I: -20.69, D: -0.15, VEL_OUT: -50.73, MS_MPC: 24725.87, ax:  0.03, ay: -0.01, az:  1.01, gx: -2.08, gy:  0.92, gz: -0.98, OX: -0.04
1746089230.5278509 N:   50, t: 38559247, dt: 19420, ENC_DEG: 16.85, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.39, I: -21.07, D:  0.40, VEL_OUT: -41.98, MS_MPC: 24717.00, ax:  0.02, ay: -0.03, az:  1.02, gx: -2.14, gy:  2.08, gz:  0.49, OX: -0.10
1746089230.572496  N:   51, t: 38581405, dt: 22158, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  0.99, VEL_AVG:  0.47, I: -21.54, D: -0.08, VEL_OUT: -48.59, MS_MPC: 24721.43, ax:  0.01, ay: -0.04, az:  1.02, gx: -2.56, gy:  3.42, gz:  4.15, OX: -0.04
1746089230.5786593 N:   52, t: 38599888, dt: 18483, ENC_DEG: 16.85, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.00, I: -21.54, D:  0.47, VEL_OUT: -38.44, MS_MPC: 24717.00, ax:  0.00, ay: -0.02, az:  1.01, gx: -2.26, gy:  4.52, gz:  6.65, OX:  0.20
1746089230.5845006 N:   53, t: 38623262, dt: 23374, ENC_DEG: 16.81, REF:  0.00, VEL_RAW: -1.88, VEL_AVG: -0.16, I: -21.70, D: -0.16, VEL_OUT: -46.55, MS_MPC: 24708.12, ax:  0.01, ay: -0.02, az:  1.00, gx: -1.95, gy:  5.55, gz:  7.39, OX: -0.06
1746089230.6335835 N:   54, t: 38640936, dt: 17674, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  2.49, VEL_AVG: -0.27, I: -21.97, D: -0.11, VEL_OUT: -47.78, MS_MPC: 24717.00, ax:  0.00, ay: -0.01, az:  0.99, gx: -2.32, gy:  6.23, gz:  7.02, OX:  0.39
1746089230.692395  N:   55, t: 38658427, dt: 17491, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.36, I: -22.34, D: -0.09, VEL_OUT: -49.25, MS_MPC: 24717.00, ax:  0.01, ay:  0.02, az:  0.99, gx: -1.89, gy:  6.71, gz:  6.71, OX:  0.50
1746089230.6976051 N:   56, t: 38679943, dt: 21516, ENC_DEG: 16.79, REF:  0.00, VEL_RAW: -3.06, VEL_AVG: -0.43, I: -22.76, D: -0.06, VEL_OUT: -50.44, MS_MPC: 24703.68, ax:  0.02, ay:  0.04, az:  0.99, gx: -0.98, gy:  7.02, gz:  6.29, OX:  0.05
1746089230.747668  N:   57, t: 38701643, dt: 21700, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  4.05, VEL_AVG: -0.09, I: -22.85, D:  0.34, VEL_OUT: -43.23, MS_MPC: 24721.43, ax:  0.02, ay:  0.03, az:  0.98, gx:  0.06, gy:  4.94, gz:  5.55, OX: -0.01
1746089230.8113058 N:   58, t: 38719002, dt: 17359, ENC_DEG: 16.85, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.29, I: -23.14, D: -0.20, VEL_OUT: -51.10, MS_MPC: 24717.00, ax: -0.01, ay:  0.02, az:  0.99, gx:  0.67, gy:  2.62, gz:  2.87, OX: -0.24
1746089230.8172889 N:   60, t: 38761188, dt: 22737, ENC_DEG: 16.83, REF:  0.00, VEL_RAW: -0.97, VEL_AVG: -0.26, I: -23.40, D: -0.25, VEL_OUT: -51.93, MS_MPC: 24712.56, ax:  0.00, ay: -0.02, az:  0.99, gx:  0.24, gy:  1.83, gz:  0.12, OX: -0.16
1746089230.874564  N:   61, t: 38778373, dt: 17185, ENC_DEG: 16.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.26, I: -23.66, D:  0.00, VEL_OUT: -49.90, MS_MPC: 24712.56, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.79, gy:  1.16, gz:  1.89, OX:  0.38
1746089230.8795395 N:   62, t: 38803754, dt: 25381, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.00, I: -23.66, D:  0.26, VEL_OUT: -44.79, MS_MPC: 24717.00, ax:  0.01, ay:  0.04, az:  0.99, gx: -0.92, gy:  0.31, gz:  2.56, OX:  0.37
1746089230.886524  N:   66, t: 38878660, dt: 19445, ENC_DEG: 16.85, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.00, I: -24.24, D:  0.30, VEL_OUT: -45.48, MS_MPC: 24717.00, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.49, gy: -3.05, gz: -3.66, OX: -0.13
1746089230.8925061 N:   67, t: 38901650, dt: 22990, ENC_DEG: 16.92, REF:  0.00, VEL_RAW:  2.87, VEL_AVG:  0.24, I: -24.48, D: -0.24, VEL_OUT: -53.73, MS_MPC: 24730.30, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.55, gy: -3.48, gz: -4.39, OX: -0.05
1746089230.897491  N:   69, t: 38939803, dt: 19763, ENC_DEG: 16.83, REF:  0.00, VEL_RAW: -3.34, VEL_AVG: -0.22, I: -25.10, D:  0.17, VEL_OUT: -50.67, MS_MPC: 24712.56, ax:  0.00, ay:  0.00, az:  0.99, gx:  1.04, gy: -3.48, gz: -3.85, OX: -0.04
1746089230.933572  N:   70, t: 38964880, dt: 25077, ENC_DEG: 16.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -25.21, D:  0.11, VEL_OUT: -50.53, MS_MPC: 24712.56, ax:  0.00, ay: -0.01, az:  0.98, gx:  0.92, gy: -3.11, gz: -3.97, OX: -0.03
1746089230.9405556 N:   71, t: 38979248, dt: 14368, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  1.53, VEL_AVG:  0.01, I: -25.22, D:  0.10, VEL_OUT: -49.53, MS_MPC: 24717.00, ax:  0.01, ay: -0.01, az:  0.98, gx:  1.04, gy: -3.05, gz: -3.78, OX: -0.12
1746089230.9948142 N:   72, t: 38999167, dt: 19919, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -25.32, D: -0.08, VEL_OUT: -52.36, MS_MPC: 24717.00, ax:  0.02, ay: -0.02, az:  0.98, gx:  1.10, gy: -3.11, gz: -2.99, OX: -0.00
1746089231.001248  N:   73, t: 39023573, dt: 24406, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.17, I: -25.48, D: -0.08, VEL_OUT: -53.39, MS_MPC: 24721.43, ax:  0.02, ay:  0.00, az:  1.02, gx:  1.40, gy: -2.87, gz: -2.20, OX:  0.14
1746089231.008221  N:   74, t: 39040936, dt: 17363, ENC_DEG: 16.90, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.20, I: -25.68, D: -0.03, VEL_OUT: -53.71, MS_MPC: 24725.87, ax:  0.03, ay:  0.00, az:  1.03, gx:  1.28, gy: -2.14, gz: -2.26, OX: -0.11
1746089231.0532954 N:   75, t: 39058524, dt: 17588, ENC_DEG: 16.83, REF:  0.00, VEL_RAW: -3.75, VEL_AVG: -0.24, I: -25.92, D: -0.04, VEL_OUT: -54.57, MS_MPC: 24712.56, ax:  0.03, ay: -0.00, az:  1.03, gx:  0.61, gy: -1.04, gz: -1.46, OX: -0.01
1746089231.1098428 N:   76, t: 39081071, dt: 22547, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  1.95, VEL_AVG: -0.16, I: -26.09, D:  0.07, VEL_OUT: -53.09, MS_MPC: 24721.43, ax:  0.02, ay:  0.01, az:  1.02, gx: -0.31, gy: -0.18, gz: -0.18, OX:  0.14
1746089231.1696656 N:   77, t: 39099243, dt: 18172, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -26.16, D:  0.09, VEL_OUT: -52.17, MS_MPC: 24721.43, ax:  0.02, ay:  0.01, az:  1.02, gx: -0.73, gy:  1.16, gz:  0.18, OX:  0.01
1746089231.1756506 N:   78, t: 39122895, dt: 23652, ENC_DEG: 16.96, REF:  0.00, VEL_RAW:  3.72, VEL_AVG:  0.33, I: -26.49, D: -0.25, VEL_OUT: -58.81, MS_MPC: 24739.17, ax:  0.01, ay:  0.01, az:  1.00, gx: -1.04, gy:  1.22, gz: -0.24, OX: -0.02
1746089231.2316248 N:   79, t: 39140260, dt: 17365, ENC_DEG: 16.96, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -26.58, D:  0.24, VEL_OUT: -51.67, MS_MPC: 24739.17, ax:  0.01, ay:  0.00, az:  1.00, gx: -1.89, gy:  1.04, gz: -0.49, OX: -0.11
1746089231.2380595 N:   80, t: 39159612, dt: 19352, ENC_DEG: 16.94, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.10, I: -26.67, D: -0.00, VEL_OUT: -54.35, MS_MPC: 24734.74, ax:  0.00, ay: -0.00, az:  1.01, gx: -2.69, gy:  1.10, gz:  1.65, OX: -0.00
1746089231.2436056 N:   83, t: 39219061, dt: 15173, ENC_DEG: 16.79, REF:  0.00, VEL_RAW: -5.79, VEL_AVG: -0.55, I: -27.30, D: -0.49, VEL_OUT: -64.98, MS_MPC: 24703.68, ax: -0.00, ay:  0.04, az:  0.99, gx: -2.50, gy:  2.14, gz:  3.42, OX:  0.05
1746089231.2495844 N:   84, t: 39239406, dt: 20345, ENC_DEG: 16.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.55, I: -27.85, D:  0.00, VEL_OUT: -61.19, MS_MPC: 24703.68, ax: -0.01, ay:  0.04, az:  0.99, gx: -1.34, gy:  1.04, gz:  2.44, OX:  0.04
1746089231.256749  N:   87, t: 39301862, dt: 17627, ENC_DEG: 16.83, REF:  0.00, VEL_RAW:  2.49, VEL_AVG: -0.19, I: -29.29, D:  0.52, VEL_OUT: -55.33, MS_MPC: 24712.56, ax: -0.02, ay: -0.04, az:  0.99, gx:  1.46, gy: -1.16, gz: -3.36, OX: -0.23
1746089231.2940712 N:   88, t: 39319435, dt: 17573, ENC_DEG: 16.81, REF:  0.00, VEL_RAW: -1.25, VEL_AVG: -0.46, I: -29.75, D: -0.27, VEL_OUT: -66.79, MS_MPC: 24708.12, ax: -0.01, ay: -0.03, az:  0.99, gx:  1.10, gy:  1.28, gz: -1.34, OX:  0.39
1746089231.3524506 N:   89, t: 39338998, dt: 19563, ENC_DEG: 16.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.46, I: -30.21, D:  0.00, VEL_OUT: -65.04, MS_MPC: 24708.12, ax:  0.01, ay:  0.02, az:  0.98, gx:  1.34, gy:  2.56, gz:  1.10, OX:  0.20
1746089231.3594384 N:   90, t: 39359891, dt: 20893, ENC_DEG: 16.83, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.68, I: -30.90, D: -0.22, VEL_OUT: -70.85, MS_MPC: 24712.56, ax:  0.01, ay:  0.01, az:  0.96, gx:  2.75, gy: -0.24, gz:  0.00, OX: -0.11
1746089231.3654146 N:   91, t: 39383262, dt: 23371, ENC_DEG: 16.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.68, I: -31.58, D:  0.00, VEL_OUT: -70.00, MS_MPC: 24712.56, ax: -0.01, ay:  0.01, az:  0.99, gx:  2.93, gy: -3.11, gz: -1.22, OX: -0.03
