1746089638.769887  N:   18, t: 29872180, dt: 22275, ENC_DEG: 28.81, REF:  0.00, VEL_RAW:  3.95, VEL_AVG:  0.48, I: -4.31, D: -0.14, VEL_OUT: -14.88, MS_MPC: 26909.35, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.24, gz:  0.21, OX:  0.02
1746089638.775871  N:   19, t: 29891471, dt: 19291, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -7.97, VEL_AVG: -0.10, I: -4.41, D:  0.39, VEL_OUT: -5.92, MS_MPC: 26884.18, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.31, gz:  0.46, OX:  0.04
1746089638.8182533 N:   20, t: 29909710, dt: 18239, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  3.61, VEL_AVG:  0.29, I: -4.70, D: -0.19, VEL_OUT: -14.15, MS_MPC: 26894.98, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.12, gy: -0.24, gz:  0.64, OX:  0.01
1746089638.8232741 N:   21, t: 29935230, dt: 25520, ENC_DEG: 28.70, REF:  0.00, VEL_RAW: -0.86, VEL_AVG:  0.01, I: -4.71, D:  0.27, VEL_OUT: -6.79, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.67, gz:  0.46, OX: -0.06
1746089638.8293903 N:   22, t: 29950450, dt: 15220, ENC_DEG: 28.63, REF:  0.00, VEL_RAW: -4.33, VEL_AVG: -0.35, I: -5.06, D: -0.34, VEL_OUT: -16.97, MS_MPC: 26880.58, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.79, gz:  0.46, OX:  0.00
1746089638.8774507 N:   23, t: 29972642, dt: 22192, ENC_DEG: 28.65, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.11, I: -5.17, D:  0.24, VEL_OUT: -9.12, MS_MPC: 26884.18, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.85, gz:  0.34, OX: -0.01
1746089638.9354033 N:   24, t: 29989787, dt: 17145, ENC_DEG: 28.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.43, I: -5.61, D: -0.32, VEL_OUT: -18.76, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.61, gz:  0.21, OX: -0.00
1746089638.9413884 N:   25, t: 30011201, dt: 21414, ENC_DEG: 28.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.43, I: -6.04, D:  0.00, VEL_OUT: -16.42, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.67, gz:  0.34, OX:  0.01
1746089638.9473815 N:   26, t: 30029872, dt: 18671, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  2.35, VEL_AVG:  0.15, I: -6.19, D:  0.28, VEL_OUT: -11.10, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.55, gz:  0.21, OX: -0.01
1746089638.952359  N:   27, t: 30050463, dt: 20591, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -2.13, VEL_AVG: -0.39, I: -6.58, D: -0.23, VEL_OUT: -19.34, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.67, gz:  0.34, OX: -0.01
1746089638.9583437 N:   28, t: 30074797, dt: 24334, ENC_DEG: 28.68, REF:  0.00, VEL_RAW:  0.90, VEL_AVG: -0.20, I: -6.78, D:  0.19, VEL_OUT: -13.65, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.61, gz:  0.21, OX: -0.01
1746089638.9987543 N:   29, t: 30090702, dt: 15905, ENC_DEG: 28.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.29, I: -7.07, D: -0.09, VEL_OUT: -17.98, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.31, gz:  0.27, OX: -0.00
1746089639.0047748 N:   30, t: 30111213, dt: 20511, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  2.14, VEL_AVG: -0.44, I: -7.51, D: -0.15, VEL_OUT: -20.93, MS_MPC: 26894.98, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.24, gz:  0.27, OX: -0.00
1746089639.011727  N:   31, t: 30130965, dt: 19752, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -7.73, D:  0.22, VEL_OUT: -15.51, MS_MPC: 26894.98, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.06, gz:  0.40, OX:  0.00
1746089639.0580215 N:   32, t: 30153981, dt: 23016, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -1.91, VEL_AVG: -0.24, I: -7.97, D: -0.01, VEL_OUT: -18.45, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.06, gz:  0.64, OX:  0.01
1746089639.064011  N:   33, t: 30172164, dt: 18183, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.27, I: -8.23, D: -0.03, VEL_OUT: -19.42, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.00, gz:  0.40, OX:  0.00
