1746089779.9997864 N:   19, t: 35513577, dt: 20280, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.06, I: -3.19, D: -0.04, VEL_OUT: -7.43, MS_MPC: 28259.49, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.21, gy:  0.18, gz: -1.19, OX: -0.03
1746089780.0057344 N:   20, t: 35533234, dt: 19657, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -3.23, D:  0.02, VEL_OUT: -6.68, MS_MPC: 28259.49, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.27, gy: -0.67, gz: -1.80, OX: -0.04
1746089780.0116806 N:   21, t: 35552354, dt: 19120, ENC_DEG: 38.08, REF:  0.00, VEL_RAW: -2.30, VEL_AVG: -0.23, I: -3.46, D: -0.19, VEL_OUT: -11.09, MS_MPC: 28253.98, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.76, gy: -1.28, gz: -1.19, OX: -0.07
1746089780.0609097 N:   22, t: 35573476, dt: 21122, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.05, I: -3.51, D:  0.18, VEL_OUT: -5.68, MS_MPC: 28256.73, ax:  0.02, ay: -0.01, az:  1.00, gx: -1.74, gy: -0.79, gz:  0.15, OX: -0.04
1746089780.0669425 N:   23, t: 35592598, dt: 19122, ENC_DEG: 38.17, REF:  0.00, VEL_RAW:  3.45, VEL_AVG:  0.14, I: -3.65, D: -0.10, VEL_OUT: -9.71, MS_MPC: 28264.98, ax:  0.02, ay: -0.00, az:  1.00, gx: -2.41, gy: -0.61, gz:  1.98, OX:  0.05
1746089780.0725791 N:   24, t: 35612038, dt: 19440, ENC_DEG: 38.10, REF:  0.00, VEL_RAW: -3.39, VEL_AVG: -0.05, I: -3.70, D:  0.10, VEL_OUT: -6.90, MS_MPC: 28256.73, ax:  0.02, ay:  0.01, az:  1.00, gx: -2.72, gy: -0.92, gz:  1.62, OX:  0.04
1746089780.1749334 N:   25, t: 35633251, dt: 21213, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -3.93, D: -0.18, VEL_OUT: -11.95, MS_MPC: 28256.73, ax:  0.01, ay:  0.01, az:  1.01, gx: -3.02, gy: -1.28, gz:  1.13, OX: -0.00
1746089780.18062   N:   26, t: 35653472, dt: 20221, ENC_DEG: 38.15, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.24, I: -4.16, D: -0.01, VEL_OUT: -10.76, MS_MPC: 28262.23, ax:  0.01, ay: -0.01, az:  1.00, gx: -3.63, gy: -1.22, gz:  0.40, OX: -0.11
1746089780.187894  N:   27, t: 35672974, dt: 19502, ENC_DEG: 38.08, REF:  0.00, VEL_RAW: -3.38, VEL_AVG: -0.22, I: -4.39, D:  0.01, VEL_OUT: -10.89, MS_MPC: 28253.98, ax:  0.01, ay:  0.01, az:  0.99, gx: -3.57, gy: -1.34, gz:  1.74, OX:  0.32
1746089780.1928797 N:   28, t: 35696634, dt: 23660, ENC_DEG: 38.06, REF:  0.00, VEL_RAW: -0.93, VEL_AVG: -0.30, I: -4.69, D: -0.08, VEL_OUT: -13.16, MS_MPC: 28251.23, ax:  0.01, ay:  0.02, az:  0.99, gx: -3.14, gy: -1.46, gz:  2.23, OX:  0.07
1746089780.199861  N:   30, t: 35737447, dt: 24579, ENC_DEG: 38.06, REF:  0.00, VEL_RAW: -1.79, VEL_AVG: -0.11, I: -4.88, D: -0.04, VEL_OUT: -11.22, MS_MPC: 28251.23, ax:  0.00, ay:  0.02, az:  1.00, gx: -2.41, gy: -2.26, gz:  0.58, OX: -0.22
1746089780.2392883 N:   31, t: 35753065, dt: 15618, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  2.81, VEL_AVG:  0.03, I: -4.91, D:  0.08, VEL_OUT: -9.36, MS_MPC: 28256.73, ax: -0.00, ay:  0.01, az:  1.02, gx: -2.47, gy: -2.32, gz:  0.52, OX: -0.07
1746089780.2454937 N:   32, t: 35771641, dt: 18576, ENC_DEG: 38.15, REF:  0.00, VEL_RAW:  2.37, VEL_AVG:  0.23, I: -5.14, D: -0.20, VEL_OUT: -14.55, MS_MPC: 28262.23, ax: -0.00, ay:  0.00, az:  1.01, gx: -3.02, gy: -1.83, gz:  0.95, OX: -0.07
1746089780.2992554 N:   33, t: 35794452, dt: 22811, ENC_DEG: 38.08, REF:  0.00, VEL_RAW: -2.89, VEL_AVG:  0.18, I: -5.32, D:  0.05, VEL_OUT: -11.95, MS_MPC: 28253.98, ax:  0.01, ay:  0.02, az:  0.99, gx: -3.27, gy: -1.22, gz:  2.90, OX:  0.36
1746089780.305827  N:   34, t: 35812065, dt: 17613, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  1.25, VEL_AVG:  0.20, I: -5.52, D: -0.02, VEL_OUT: -13.19, MS_MPC: 28256.73, ax: -0.00, ay:  0.04, az:  0.99, gx: -2.72, gy: -1.40, gz:  3.20, OX:  0.18
1746089780.3120272 N:   35, t: 35835530, dt: 23465, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -5.61, D:  0.11, VEL_OUT: -11.02, MS_MPC: 28256.73, ax: -0.01, ay:  0.06, az:  0.98, gx: -2.41, gy: -1.53, gz:  1.50, OX:  0.32
1746089780.3174088 N:   36, t: 35853417, dt: 17887, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -5.80, D: -0.10, VEL_OUT: -14.58, MS_MPC: 28256.73, ax: -0.01, ay:  0.07, az:  0.98, gx: -2.11, gy: -1.53, gz: -1.37, OX:  0.07
1746089780.3593433 N:   37, t: 35873304, dt: 19887, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.29, I: -6.09, D: -0.09, VEL_OUT: -15.95, MS_MPC: 28259.49, ax: -0.00, ay:  0.05, az:  0.97, gx: -1.19, gy: -2.08, gz: -3.57, OX: -0.22
1746089780.3653297 N:   38, t: 35891721, dt: 18417, ENC_DEG: 38.08, REF:  0.00, VEL_RAW: -2.39, VEL_AVG: -0.09, I: -6.18, D:  0.19, VEL_OUT: -11.39, MS_MPC: 28253.98, ax: -0.01, ay:  0.02, az:  1.00, gx:  0.15, gy: -2.75, gz: -4.30, OX: -0.31
1746089780.3722804 N:   39, t: 35913308, dt: 21587, ENC_DEG: 38.08, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -6.37, D: -0.09, VEL_OUT: -15.53, MS_MPC: 28253.98, ax: -0.02, ay:  0.00, az:  1.01, gx: -0.15, gy: -3.17, gz: -1.50, OX: -0.08
1746089780.479944  N:   40, t: 35936151, dt: 22843, ENC_DEG: 37.99, REF:  0.00, VEL_RAW: -3.85, VEL_AVG: -0.06, I: -6.42, D:  0.13, VEL_OUT: -12.09, MS_MPC: 28242.95, ax: -0.02, ay:  0.03, az:  1.02, gx: -0.64, gy: -1.40, gz:  0.09, OX:  0.23
1746089780.4849284 N:   41, t: 35953590, dt: 17439, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  7.56, VEL_AVG:  0.35, I: -6.77, D: -0.29, VEL_OUT: -19.95, MS_MPC: 28259.49, ax: -0.01, ay:  0.06, az:  0.99, gx: -0.76, gy: -0.06, gz:  1.31, OX:  0.63
1746089780.4909112 N:   42, t: 35978083, dt: 24493, ENC_DEG: 38.06, REF:  0.00, VEL_RAW: -2.69, VEL_AVG:  0.27, I: -7.04, D:  0.08, VEL_OUT: -16.07, MS_MPC: 28251.23, ax: -0.01, ay:  0.08, az:  0.99, gx:  0.40, gy: -1.22, gz: -2.41, OX:  0.10
1746089780.496895  N:   43, t: 35993277, dt: 15194, ENC_DEG: 38.04, REF:  0.00, VEL_RAW: -1.45, VEL_AVG: -0.08, I: -7.13, D:  0.19, VEL_OUT: -13.16, MS_MPC: 28248.47, ax: -0.01, ay:  0.07, az:  1.00, gx:  1.19, gy: -2.99, gz: -4.67, OX: -0.10
1746089780.5028782 N:   45, t: 36032814, dt: 20231, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.33, I: -7.64, D: -0.14, VEL_OUT: -20.00, MS_MPC: 28259.49, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.46, gy: -3.78, gz: -8.33, OX: -0.47
1746089780.5397792 N:   46, t: 36052492, dt: 19678, ENC_DEG: 38.10, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.13, I: -7.77, D:  0.20, VEL_OUT: -14.88, MS_MPC: 28256.73, ax: -0.02, ay:  0.03, az:  0.99, gx: -1.13, gy: -1.95, gz: -2.04, OX:  0.94
1746089780.5457635 N:   47, t: 36072524, dt: 20032, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -7.90, D:  0.00, VEL_OUT: -17.12, MS_MPC: 28256.73, ax: -0.01, ay:  0.08, az:  0.98, gx: -0.64, gy: -1.34, gz: -1.43, OX:  0.61
1746089780.551782  N:   48, t: 36091686, dt: 19162, ENC_DEG: 38.04, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -0.16, I: -8.06, D: -0.02, VEL_OUT: -17.91, MS_MPC: 28248.47, ax: -0.01, ay:  0.07, az:  1.00, gx:  0.70, gy: -2.62, gz: -5.34, OX: -0.19
1746089780.6012654 N:   49, t: 36111994, dt: 20308, ENC_DEG: 38.01, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.34, I: -8.39, D: -0.18, VEL_OUT: -21.99, MS_MPC: 28245.71, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.03, gy: -5.49, gz: -9.37, OX: -0.65
1746089780.607251  N:   50, t: 36133475, dt: 21481, ENC_DEG: 37.99, REF:  0.00, VEL_RAW: -1.02, VEL_AVG: -0.22, I: -8.62, D:  0.11, VEL_OUT: -18.34, MS_MPC: 28242.95, ax: -0.01, ay: -0.03, az:  1.01, gx:  0.09, gy: -5.80, gz: -7.17, OX: -0.25
1746089780.6132705 N:   51, t: 36155252, dt: 21777, ENC_DEG: 37.97, REF:  0.00, VEL_RAW: -1.01, VEL_AVG: -0.31, I: -8.93, D: -0.08, VEL_OUT: -21.78, MS_MPC: 28240.19, ax: -0.03, ay: -0.02, az:  1.01, gx:  0.46, gy: -3.23, gz:  1.19, OX:  0.42
1746089780.6593077 N:   52, t: 36173414, dt: 18162, ENC_DEG: 37.99, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.11, I: -9.04, D:  0.19, VEL_OUT: -17.27, MS_MPC: 28242.95, ax: -0.03, ay:  0.03, az:  1.02, gx:  0.70, gy: -1.65, gz:  3.69, OX:  0.41
1746089780.6655183 N:   53, t: 36192528, dt: 19114, ENC_DEG: 38.01, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.42, I: -9.46, D: -0.31, VEL_OUT: -26.21, MS_MPC: 28245.71, ax: -0.02, ay:  0.06, az:  1.02, gx:  0.70, gy: -0.85, gz:  1.13, OX:  0.15
