1746089490.1475616 N:   21, t: 25962474, dt: 18465, ENC_DEG: 42.80, REF:  0.00, VEL_RAW: -1.19, VEL_AVG:  0.09, I: -7.40, D:  0.10, VEL_OUT: -14.73, MS_MPC: 28792.30, ax: -0.01, ay: -0.03, az:  0.99, gx: -1.04, gy: -0.55, gz:  0.18, OX: -0.03
1746089490.1954548 N:   22, t: 25983858, dt: 21384, ENC_DEG: 42.78, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.07, I: -7.47, D:  0.02, VEL_OUT: -15.45, MS_MPC: 28790.05, ax: -0.01, ay: -0.03, az:  0.99, gx: -1.04, gy: -0.79, gz: -0.06, OX: -0.00
1746089490.2014358 N:   23, t: 26003122, dt: 19264, ENC_DEG: 42.72, REF:  0.00, VEL_RAW: -3.42, VEL_AVG: -0.60, I: -8.07, D: -0.52, VEL_OUT: -27.33, MS_MPC: 28783.31, ax: -0.01, ay: -0.03, az:  1.00, gx: -1.16, gy: -0.85, gz: -0.24, OX: -0.01
1746089490.2083824 N:   24, t: 26024434, dt: 21312, ENC_DEG: 42.76, REF:  0.00, VEL_RAW:  2.06, VEL_AVG: -0.23, I: -8.30, D:  0.36, VEL_OUT: -15.34, MS_MPC: 28787.81, ax: -0.02, ay: -0.03, az:  1.01, gx: -1.46, gy: -0.98, gz: -0.18, OX: -0.03
1746089490.2558064 N:   25, t: 26046022, dt: 21588, ENC_DEG: 42.72, REF:  0.00, VEL_RAW: -2.04, VEL_AVG: -0.58, I: -8.88, D: -0.34, VEL_OUT: -26.93, MS_MPC: 28783.31, ax: -0.01, ay: -0.04, az:  1.01, gx: -1.53, gy: -1.34, gz: -0.73, OX: -0.05
1746089490.2614574 N:   26, t: 26066278, dt: 20256, ENC_DEG: 42.87, REF:  0.00, VEL_RAW:  7.59, VEL_AVG:  0.13, I: -9.01, D:  0.44, VEL_OUT: -14.89, MS_MPC: 28799.02, ax: -0.01, ay: -0.04, az:  1.02, gx: -1.53, gy: -1.59, gz: -0.85, OX: -0.02
1746089490.2683783 N:   27, t: 26083453, dt: 17175, ENC_DEG: 42.72, REF:  0.00, VEL_RAW: -8.96, VEL_AVG: -0.74, I: -9.75, D: -0.61, VEL_OUT: -33.07, MS_MPC: 28783.31, ax: -0.01, ay: -0.04, az:  1.02, gx: -1.53, gy: -1.65, gz: -0.67, OX: -0.02
1746089490.3154216 N:   28, t: 26106844, dt: 23391, ENC_DEG: 42.74, REF:  0.00, VEL_RAW:  0.94, VEL_AVG: -0.67, I: -10.42, D:  0.08, VEL_OUT: -26.71, MS_MPC: 28785.56, ax: -0.01, ay: -0.04, az:  1.00, gx: -1.71, gy: -1.04, gz: -0.00, OX:  0.09
1746089490.371691  N:   29, t: 26124239, dt: 17395, ENC_DEG: 42.78, REF:  0.00, VEL_RAW:  2.53, VEL_AVG: -0.46, I: -10.87, D:  0.21, VEL_OUT: -24.20, MS_MPC: 28790.05, ax: -0.01, ay: -0.03, az:  0.99, gx: -1.22, gy: -0.43, gz:  1.28, OX:  0.08
1746089490.3770828 N:   30, t: 26142558, dt: 18319, ENC_DEG: 42.85, REF:  0.00, VEL_RAW:  3.60, VEL_AVG:  0.11, I: -10.99, D:  0.34, VEL_OUT: -19.66, MS_MPC: 28796.78, ax: -0.01, ay: -0.03, az:  0.99, gx: -0.31, gy:  0.06, gz:  1.40, OX:  0.03
1746089490.3829732 N:   31, t: 26163820, dt: 21262, ENC_DEG: 42.80, REF:  0.00, VEL_RAW: -2.07, VEL_AVG: -0.52, I: -11.51, D: -0.41, VEL_OUT: -32.32, MS_MPC: 28792.30, ax: -0.02, ay: -0.03, az:  1.01, gx:  0.31, gy: -0.24, gz:  1.53, OX:  0.01
1746089490.388923  N:   32, t: 26185027, dt: 21207, ENC_DEG: 42.89, REF:  0.00, VEL_RAW:  4.14, VEL_AVG:  0.18, I: -11.69, D:  0.34, VEL_OUT: -21.78, MS_MPC: 28801.26, ax: -0.02, ay: -0.03, az:  1.02, gx:  0.55, gy: -0.12, gz:  1.53, OX: -0.02
1746089490.394905  N:   33, t: 26204422, dt: 19395, ENC_DEG: 42.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.28, I: -11.97, D: -0.10, VEL_OUT: -27.72, MS_MPC: 28801.26, ax: -0.02, ay: -0.03, az:  1.02, gx:  0.37, gy:  0.12, gz:  1.34, OX:  0.01
