time,motor_top
32.3515625,1017.442839
58.3515625,1045.40058
81.609375,1056.987206
100.8359375,1049.193762
120.8515625,1035.241464
143.9140625,1018.838344
164.1875,1050.819175
186.375,1000.681899
288.734375,1030.529347
306.1328125,1045.538341
322.1953125,1026.352899
395.171875,1032.298051
414.0390625,1044.71748
433.1640625,1025.831632
450.890625,988.893172
471.671875,988.234851
491.703125,965.921562
510.421875,1015.619568
533.78125,1014.192621
550.09375,964.812019
570.671875,1012.929362
592.71875,1012.857826
612.359375,1025.72709
630.296875,1029.606127
649.046875,1005.917589
667.640625,1006.812141
754.203125,993.015278
773.0703125,990.941996
790.671875,1004.572494
811.84375,992.883464
