time,Index
5.078125,1224.228327
9.0390625,1087.551767
12.578125,876.268234
16.5390625,875.312024
20.2265625,1217.57081
23.828125,1074.6809
27.5,1076.895469
31.015625,871.381769
35.2109375,1217.944103
39.3046875,877.597755
42.78125,1077.347254
46.1015625,1221.470936
49.3125,871.858957
52.9921875,1079.612536
57.1953125,1218.667593
61.1796875,1230.04725
64.9921875,1076.633779
68.65625,876.079803
72.4296875,876.904927
76.3984375,1077.083539
80.1875,1079.355928
84.1953125,1221.878636
88.078125,878.093397
92.0,1222.320723
95.984375,1079.492019
99.734375,874.601244
103.3125,1080.175404
107.125,1228.331145
110.6796875,876.871008
114.625,1222.547235
