1746005245.074198  N:   20, t: 53765839, dt: 20822, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  5.28, VEL_AVG:  0.08, I: -2.32, D:  0.27, VEL_OUT: -2.76, MS_MPC: 25703.98, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.55, OX:  0.04
1746005245.0801864 N:   21, t: 53783954, dt: 18115, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.02, I: -2.34, D:  0.07, VEL_OUT: -4.20, MS_MPC: 25699.88, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.06, gz:  0.00, OX:  0.00
1746005245.085207  N:   22, t: 53805350, dt: 21396, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -2.45, D: -0.09, VEL_OUT: -6.90, MS_MPC: 25699.88, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.31, gz: -0.18, OX: -0.03
1746005245.133041  N:   23, t: 53824723, dt: 19373, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -2.56, D:  0.00, VEL_OUT: -6.21, MS_MPC: 25699.88, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.24, gz: -0.18, OX: -0.06
1746005245.2514443 N:   26, t: 53887726, dt: 22548, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -3.00, D: -0.04, VEL_OUT: -7.04, MS_MPC: 25699.88, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.18, gz:  0.37, OX:  0.02
1746005245.256431  N:   27, t: 53906296, dt: 18570, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  1.18, VEL_AVG:  0.07, I: -3.08, D: -0.01, VEL_OUT: -6.93, MS_MPC: 25703.98, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.12, gz:  0.43, OX: -0.00
1746005245.2633705 N:   28, t: 53924317, dt: 18021, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.22, VEL_AVG: -0.22, I: -3.30, D: -0.15, VEL_OUT: -10.32, MS_MPC: 25699.88, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.31, gz:  0.12, OX:  0.02
1746005245.269355  N:   29, t: 53949650, dt: 25333, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -3.33, D:  0.19, VEL_OUT: -5.06, MS_MPC: 25699.88, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.31, gz:  0.18, OX: -0.04
1746005245.2753384 N:   34, t: 54045164, dt: 21128, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -2.08, VEL_AVG:  0.03, I: -3.93, D:  0.17, VEL_OUT: -6.45, MS_MPC: 25699.88, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.18, gz:  0.12, OX: -0.03
1746005245.2833211 N:   35, t: 54064091, dt: 18927, ENC_DEG: 21.95, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.23, I: -4.16, D: -0.19, VEL_OUT: -12.50, MS_MPC: 25708.08, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.06, gz:  0.31, OX:  0.04
