1746004636.5542684 N:   22, t: 60037146, dt: 15291, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -1.44, VEL_AVG:  0.15, I: -4.05, D: -0.07, VEL_OUT: -10.31, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.73, gz:  0.12, OX:  0.01
1746004636.6071417 N:   23, t: 60057338, dt: 20192, ENC_DEG: 50.60, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.06, I: -4.11, D:  0.09, VEL_OUT: -7.91, MS_MPC: 29414.28, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.67, gz:  0.24, OX: -0.03
1746004636.6132417 N:   24, t: 60076526, dt: 19188, ENC_DEG: 50.63, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.20, I: -4.31, D: -0.14, VEL_OUT: -12.01, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.43, gz:  0.49, OX:  0.01
1746004636.619926  N:   25, t: 60101700, dt: 25174, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  1.75, VEL_AVG:  0.13, I: -4.44, D:  0.07, VEL_OUT: -9.44, MS_MPC: 29417.91, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.18, gz:  0.55, OX: -0.00
1746004636.625897  N:   26, t: 60119823, dt: 18123, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -2.42, VEL_AVG:  0.02, I: -4.46, D:  0.11, VEL_OUT: -8.06, MS_MPC: 29415.50, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.18, gz:  0.73, OX:  0.00
1746004636.7288594 N:   27, t: 60137733, dt: 17910, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  2.45, VEL_AVG:  0.43, I: -4.89, D: -0.41, VEL_OUT: -18.22, MS_MPC: 29417.91, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.37, gz:  0.85, OX: -0.00
1746004636.7867591 N:   28, t: 60156117, dt: 18384, ENC_DEG: 50.65, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.21, I: -5.10, D:  0.23, VEL_OUT: -9.99, MS_MPC: 29416.71, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.12, gz:  0.67, OX:  0.06
1746004636.8431077 N:   29, t: 60176242, dt: 20125, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -5.31, D:  0.00, VEL_OUT: -12.67, MS_MPC: 29416.71, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.37, gz:  0.79, OX:  0.01
1746004636.8490782 N:   30, t: 60201592, dt: 25350, ENC_DEG: 50.58, REF:  0.00, VEL_RAW: -2.60, VEL_AVG: -0.19, I: -5.50, D:  0.01, VEL_OUT: -12.80, MS_MPC: 29413.06, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.73, OX:  0.01
1746004636.8560653 N:   32, t: 60242192, dt: 26318, ENC_DEG: 50.60, REF:  0.00, VEL_RAW: -0.83, VEL_AVG: -0.19, I: -5.74, D: -0.14, VEL_OUT: -14.79, MS_MPC: 29414.28, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.00, gy:  0.49, gz:  0.61, OX: -0.04
