1746004860.7105403 N:   18, t: 44652767, dt: 26072, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.84, VEL_AVG: -0.04, I: -4.44, D:  0.15, VEL_OUT: -7.87, MS_MPC: 29561.61, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.24, gz:  0.49, OX:  0.00
1746004860.7163393 N:   19, t: 44666986, dt: 14219, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  1.55, VEL_AVG: -0.24, I: -4.68, D: -0.19, VEL_OUT: -13.69, MS_MPC: 29562.28, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.24, gz:  0.37, OX:  0.00
1746004860.770116  N:   20, t: 44687183, dt: 20197, ENC_DEG: 53.97, REF:  0.00, VEL_RAW: -3.26, VEL_AVG: -0.24, I: -4.92, D:  0.00, VEL_OUT: -12.21, MS_MPC: 29560.25, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.06, gz: -0.18, OX: -0.04
1746004860.8862934 N:   21, t: 44706705, dt: 19522, ENC_DEG: 53.94, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.23, I: -5.15, D:  0.01, VEL_OUT: -12.57, MS_MPC: 29559.57, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.00, gz:  0.06, OX:  0.01
1746004860.8922777 N:   22, t: 44727719, dt: 21014, ENC_DEG: 53.94, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.49, I: -5.64, D: -0.26, VEL_OUT: -18.82, MS_MPC: 29559.57, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.12, gz: -0.49, OX: -0.01
1746004860.8982193 N:   23, t: 44747186, dt: 19467, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  3.38, VEL_AVG:  0.24, I: -5.88, D:  0.25, VEL_OUT: -11.61, MS_MPC: 29561.61, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.24, gz: -0.79, OX:  0.02
1746004860.9042013 N:   24, t: 44765942, dt: 18756, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -1.17, VEL_AVG: -0.15, I: -6.03, D:  0.09, VEL_OUT: -12.65, MS_MPC: 29560.93, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy: -0.24, gz: -1.16, OX: -0.05
1746004860.9481509 N:   29, t: 44866129, dt: 19146, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.01, I: -6.39, D:  0.10, VEL_OUT: -11.91, MS_MPC: 29560.93, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.73, gy:  0.12, gz:  0.00, OX: -0.01
1746004860.9540932 N:   30, t: 44890117, dt: 23988, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  1.83, VEL_AVG:  0.09, I: -6.48, D: -0.08, VEL_OUT: -14.70, MS_MPC: 29562.28, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.61, gy:  0.31, gz:  0.31, OX:  0.01
1746004860.9600816 N:   31, t: 44906342, dt: 16225, ENC_DEG: 53.97, REF:  0.00, VEL_RAW: -4.06, VEL_AVG: -0.38, I: -6.86, D: -0.28, VEL_OUT: -20.31, MS_MPC: 29560.25, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.49, gy:  0.18, gz:  0.24, OX: -0.05
