1746521238.5395706 N:   18, t: 24253918, dt: 15997, ENC_DEG: 49.73, REF:  0.00, VEL_RAW:  8.24, VEL_AVG:  0.31, I: -5.12, D:  0.16, VEL_OUT: -11.68, MS_MPC: 29363.00, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.12, gz:  0.00, OX: -0.01
1746521238.5997803 N:   19, t: 24275026, dt: 21108, ENC_DEG: 49.68, REF:  0.00, VEL_RAW: -2.08, VEL_AVG:  0.50, I: -5.62, D: -0.19, VEL_OUT: -18.10, MS_MPC: 29360.30, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.37, gz:  0.24, OX:  0.00
1746521238.6058009 N:   20, t: 24293213, dt: 18187, ENC_DEG: 49.75, REF:  0.00, VEL_RAW:  3.62, VEL_AVG:  0.42, I: -6.04, D:  0.07, VEL_OUT: -15.60, MS_MPC: 29364.34, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.12, gz:  0.31, OX:  0.02
1746521238.6121523 N:   22, t: 24335897, dt: 22457, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -6.68, D:  0.26, VEL_OUT: -12.62, MS_MPC: 29358.95, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.31, gz: -0.43, OX: -0.01
1746521238.655587  N:   26, t: 24419305, dt: 26291, ENC_DEG: 49.59, REF:  0.00, VEL_RAW:  0.84, VEL_AVG:  0.14, I: -7.57, D:  0.11, VEL_OUT: -15.43, MS_MPC: 29354.86, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.06, gz:  0.12, OX: -0.00
1746521238.662451  N:   28, t: 24494434, dt: 19040, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.26, I: -7.86, D: -0.23, VEL_OUT: -20.58, MS_MPC: 29360.30, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.00, gz: -0.24, OX: -0.00
1746521238.7208886 N:   29, t: 24533297, dt: 38863, ENC_DEG: 49.59, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.15, I: -8.01, D:  0.11, VEL_OUT: -16.33, MS_MPC: 29354.86, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.12, gz:  0.00, OX:  0.01
1746521238.726961  N:   30, t: 24553455, dt: 20158, ENC_DEG: 49.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.54, I: -8.55, D: -0.40, VEL_OUT: -26.47, MS_MPC: 29354.86, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.06, gz:  0.06, OX:  0.01
1746521238.7332053 N:   31, t: 24578932, dt: 25477, ENC_DEG: 49.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.37, I: -8.92, D:  0.17, VEL_OUT: -19.78, MS_MPC: 29354.86, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.12, gz: -0.06, OX:  0.00
1746521238.738504  N:   34, t: 24636587, dt: 21884, ENC_DEG: 49.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -9.70, D:  0.00, VEL_OUT: -20.37, MS_MPC: 29357.59, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.18, gz: -0.55, OX: -0.03
1746521238.780346  N:   35, t: 24655921, dt: 19334, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.09, I: -9.79, D:  0.01, VEL_OUT: -20.43, MS_MPC: 29360.30, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.24, gz: -0.12, OX: -0.02
1746521238.7863572 N:   36, t: 24674099, dt: 18178, ENC_DEG: 49.70, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.48, I: -10.27, D: -0.39, VEL_OUT: -29.23, MS_MPC: 29361.65, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.18, gz: -0.12, OX: -0.01
