1746520988.8191543 N:   22, t: 33123963, dt: 19167, ENC_DEG: 55.68, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.26, I: -13.98, D:  0.10, VEL_OUT: -29.63, MS_MPC: 29601.63, ax:  0.01, ay:  0.00, az:  1.01, gx: -1.53, gy: -0.61, gz: -0.95, OX:  0.02
1746520988.9375381 N:   23, t: 33144348, dt: 20385, ENC_DEG: 55.75, REF:  0.00, VEL_RAW:  3.23, VEL_AVG:  0.10, I: -14.08, D:  0.16, VEL_OUT: -27.59, MS_MPC: 29602.74, ax:  0.02, ay: -0.00, az:  0.99, gx: -0.92, gy: -0.67, gz: -1.25, OX: -0.05
1746520989.1148958 N:   24, t: 33164556, dt: 20208, ENC_DEG: 55.81, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.18, I: -14.26, D: -0.08, VEL_OUT: -31.12, MS_MPC: 29603.82, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.55, gy: -0.61, gz: -1.37, OX: -0.08
1746520989.295538  N:   25, t: 33184475, dt: 19919, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -3.31, VEL_AVG: -0.18, I: -14.45, D: -0.00, VEL_OUT: -30.76, MS_MPC: 29602.74, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.61, gz: -0.76, OX: -0.07
1746520989.3005297 N:   26, t: 33205465, dt: 20990, ENC_DEG: 55.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.18, I: -14.63, D:  0.00, VEL_OUT: -31.10, MS_MPC: 29602.74, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.31, gy: -0.31, gz: -0.09, OX: -0.01
1746520989.352277  N:   30, t: 33285508, dt: 21321, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.81, I: -16.12, D: -0.54, VEL_OUT: -45.72, MS_MPC: 29603.47, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.61, gy:  1.28, gz:  1.92, OX: -0.00
1746520989.358935  N:   32, t: 33390465, dt: 26086, ENC_DEG: 55.72, REF:  0.00, VEL_RAW: -1.68, VEL_AVG:  0.61, I: -17.56, D:  0.23, VEL_OUT: -38.94, MS_MPC: 29602.38, ax:  0.01, ay:  0.02, az:  0.99, gx: -0.06, gy:  0.85, gz: -0.82, OX:  0.04
1746520989.4169724 N:   34, t: 33510728, dt: 26150, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  1.68, VEL_AVG:  0.38, I: -18.28, D: -0.04, VEL_OUT: -40.83, MS_MPC: 29603.47, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.92, gy: -1.53, gz: -1.31, OX: -0.01
1746520989.4235356 N:   35, t: 33666169, dt: 155441, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -0.28, VEL_AVG:  0.09, I: -18.37, D:  0.29, VEL_OUT: -34.70, MS_MPC: 29602.74, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.85, gy: -0.49, gz: -0.03, OX:  0.00
1746520989.429813  N:   37, t: 33706789, dt: 21404, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -2.05, VEL_AVG:  0.11, I: -18.49, D: -0.10, VEL_OUT: -39.16, MS_MPC: 29602.74, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.67, gy:  0.18, gz:  0.15, OX:  0.03
1746520989.4374456 N:   38, t: 33725180, dt: 18391, ENC_DEG: 55.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -18.60, D:  0.00, VEL_OUT: -38.33, MS_MPC: 29602.74, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.18, gy:  0.31, gz:  0.09, OX: -0.03
1746520989.4435284 N:   40, t: 33769524, dt: 24175, ENC_DEG: 55.83, REF:  0.00, VEL_RAW:  2.73, VEL_AVG:  0.20, I: -18.83, D: -0.18, VEL_OUT: -41.54, MS_MPC: 29604.17, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.43, gz:  0.34, OX: -0.01
1746520989.4504852 N:   41, t: 33785476, dt: 15952, ENC_DEG: 55.79, REF:  0.00, VEL_RAW: -2.75, VEL_AVG:  0.17, I: -19.00, D:  0.04, VEL_OUT: -39.27, MS_MPC: 29603.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy:  0.49, gz:  0.46, OX: -0.00
1746520989.4784544 N:   42, t: 33805479, dt: 20003, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -2.20, VEL_AVG: -0.10, I: -19.10, D:  0.06, VEL_OUT: -38.60, MS_MPC: 29602.74, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy:  0.67, gz:  0.82, OX: -0.04
1746520989.483903  N:   43, t: 33825886, dt: 20407, ENC_DEG: 55.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -19.18, D:  0.02, VEL_OUT: -38.93, MS_MPC: 29602.74, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.00, gy:  1.22, gz:  1.80, OX:  0.03
1746520989.5990574 N:   44, t: 33844918, dt: 19032, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.16, I: -19.34, D: -0.08, VEL_OUT: -41.02, MS_MPC: 29603.10, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.18, gy:  1.04, gz:  1.86, OX:  0.04
1746520989.6051629 N:   45, t: 33865195, dt: 20277, ENC_DEG: 55.81, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.32, I: -19.66, D: -0.16, VEL_OUT: -44.11, MS_MPC: 29603.82, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.43, gy:  0.85, gz:  1.62, OX:  0.05
1746520989.6111467 N:   46, t: 33888478, dt: 23283, ENC_DEG: 55.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -19.83, D:  0.14, VEL_OUT: -40.05, MS_MPC: 29603.82, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.43, gy:  0.98, gz:  1.50, OX:  0.02
1746520989.6171286 N:   47, t: 33906719, dt: 18241, ENC_DEG: 55.79, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.10, I: -19.94, D:  0.08, VEL_OUT: -40.12, MS_MPC: 29603.47, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.85, gz:  1.01, OX:  0.03
1746520989.6221168 N:   49, t: 33944554, dt: 19060, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -20.11, D:  0.01, VEL_OUT: -40.96, MS_MPC: 29603.47, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.37, gz:  0.70, OX: -0.00
1746520989.629197  N:   50, t: 33966620, dt: 22066, ENC_DEG: 55.77, REF:  0.00, VEL_RAW: -1.00, VEL_AVG: -0.00, I: -20.11, D:  0.08, VEL_OUT: -39.42, MS_MPC: 29603.10, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.49, gz:  0.76, OX:  0.01
1746520989.7149262 N:   51, t: 33984485, dt: 17865, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  1.23, VEL_AVG:  0.01, I: -20.12, D: -0.01, VEL_OUT: -40.44, MS_MPC: 29603.47, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.73, gz:  0.95, OX: -0.00
1746520989.7208202 N:   52, t: 34004553, dt: 20068, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -2.19, VEL_AVG: -0.40, I: -20.52, D: -0.39, VEL_OUT: -48.91, MS_MPC: 29602.74, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  1.22, gz:  1.13, OX:  0.05
1746520989.727805  N:   53, t: 34025100, dt: 20547, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.01, I: -20.53, D:  0.39, VEL_OUT: -37.23, MS_MPC: 29603.47, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.06, gy:  0.85, gz:  0.89, OX:  0.01
1746520989.732917  N:   54, t: 34045282, dt: 20182, ENC_DEG: 55.77, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.10, I: -20.63, D: -0.09, VEL_OUT: -43.19, MS_MPC: 29603.10, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.12, gy:  0.79, gz:  0.52, OX: -0.01
1746520989.7395623 N:   55, t: 34064599, dt: 19317, ENC_DEG: 55.86, REF:  0.00, VEL_RAW:  4.55, VEL_AVG:  0.48, I: -21.11, D: -0.38, VEL_OUT: -50.81, MS_MPC: 29604.52, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.12, gy:  0.92, gz:  0.09, OX:  0.01
1746520989.777562  N:   56, t: 34085395, dt: 20796, ENC_DEG: 55.79, REF:  0.00, VEL_RAW: -3.17, VEL_AVG:  0.12, I: -21.23, D:  0.36, VEL_OUT: -40.05, MS_MPC: 29603.47, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.61, gy:  0.61, gz: -0.52, OX: -0.02
1746520989.7836318 N:   57, t: 34105552, dt: 20157, ENC_DEG: 55.83, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.12, I: -21.35, D: -0.00, VEL_OUT: -43.91, MS_MPC: 29604.17, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.85, gy:  0.43, gz: -0.70, OX:  0.00
1746520989.8382058 N:   58, t: 34124810, dt: 19258, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -4.56, VEL_AVG: -0.26, I: -21.61, D: -0.14, VEL_OUT: -47.18, MS_MPC: 29602.74, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.98, gy:  0.06, gz: -1.37, OX: -0.06
1746520989.8441896 N:   59, t: 34145734, dt: 20924, ENC_DEG: 55.72, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.25, I: -21.85, D:  0.01, VEL_OUT: -46.04, MS_MPC: 29602.38, ax:  0.00, ay: -0.00, az:  1.00, gx: -1.22, gy:  0.06, gz: -1.31, OX: -0.02
1746520989.8501735 N:   60, t: 34165721, dt: 19987, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  3.30, VEL_AVG:  0.03, I: -21.88, D:  0.22, VEL_OUT: -41.87, MS_MPC: 29603.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -1.40, gy:  0.24, gz: -1.01, OX:  0.07
1746520989.8557446 N:   61, t: 34188017, dt: 22296, ENC_DEG: 55.77, REF:  0.00, VEL_RAW: -0.99, VEL_AVG: -0.05, I: -21.93, D: -0.02, VEL_OUT: -44.65, MS_MPC: 29603.10, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.98, gy: -0.06, gz: -1.13, OX:  0.03
1746520989.8976898 N:   62, t: 34207229, dt: 19212, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.07, I: -22.00, D: -0.01, VEL_OUT: -44.78, MS_MPC: 29602.74, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.31, gz: -1.07, OX:  0.01
1746520989.9041939 N:   63, t: 34225594, dt: 18365, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  2.39, VEL_AVG:  0.03, I: -22.03, D:  0.03, VEL_OUT: -44.03, MS_MPC: 29603.47, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.55, gz: -0.95, OX: -0.00
1746520989.9107692 N:   64, t: 34250757, dt: 25163, ENC_DEG: 55.77, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.14, I: -22.17, D: -0.11, VEL_OUT: -46.85, MS_MPC: 29603.10, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.43, gz: -0.64, OX: -0.03
1746520990.0147367 N:   65, t: 34269368, dt: 18611, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -22.21, D:  0.10, VEL_OUT: -43.76, MS_MPC: 29603.10, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.61, gz:  0.09, OX: -0.01
1746520990.020854  N:   66, t: 34285477, dt: 16109, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -22.26, D: -0.02, VEL_OUT: -45.22, MS_MPC: 29603.10, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.24, gz:  0.21, OX:  0.02
1746520990.026863  N:   67, t: 34304800, dt: 19323, ENC_DEG: 55.86, REF:  0.00, VEL_RAW:  4.54, VEL_AVG:  0.05, I: -22.32, D:  0.00, VEL_OUT: -45.15, MS_MPC: 29604.52, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.06, gz:  0.64, OX:  0.15
1746520990.0328457 N:   68, t: 34325777, dt: 20977, ENC_DEG: 55.77, REF:  0.00, VEL_RAW: -4.20, VEL_AVG: -0.03, I: -22.35, D:  0.02, VEL_OUT: -44.83, MS_MPC: 29603.10, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.46, OX:  0.02
1746520990.0388277 N:   70, t: 34368057, dt: 22262, ENC_DEG: 55.88, REF:  0.00, VEL_RAW:  2.96, VEL_AVG:  0.59, I: -22.98, D: -0.56, VEL_OUT: -57.53, MS_MPC: 29604.87, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.49, gz: -0.82, OX: -0.02
1746520990.0776823 N:   71, t: 34384108, dt: 16051, ENC_DEG: 55.81, REF:  0.00, VEL_RAW: -4.11, VEL_AVG:  0.34, I: -23.32, D:  0.25, VEL_OUT: -47.49, MS_MPC: 29603.82, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.49, gy: -0.55, gz: -1.01, OX: -0.02
1746520990.0842948 N:   72, t: 34404791, dt: 20683, ENC_DEG: 55.79, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.02, I: -23.34, D:  0.32, VEL_OUT: -43.74, MS_MPC: 29603.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.73, gy: -0.31, gz: -1.31, OX:  0.05
1746520990.138001  N:   73, t: 34427309, dt: 22518, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -23.40, D: -0.04, VEL_OUT: -47.75, MS_MPC: 29603.47, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.00, gz: -0.95, OX:  0.01
1746520990.142985  N:   74, t: 34444736, dt: 17427, ENC_DEG: 55.77, REF:  0.00, VEL_RAW: -1.26, VEL_AVG:  0.05, I: -23.45, D:  0.01, VEL_OUT: -47.29, MS_MPC: 29603.10, ax:  0.02, ay:  0.01, az:  0.99, gx:  0.06, gy: -0.06, gz: -0.40, OX: -0.02
1746520990.1489687 N:   75, t: 34464079, dt: 19343, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -23.60, D: -0.10, VEL_OUT: -49.70, MS_MPC: 29603.10, ax:  0.02, ay:  0.00, az:  0.99, gx:  0.31, gy: -0.06, gz: -0.34, OX: -0.04
1746520990.1550496 N:   76, t: 34489161, dt: 25082, ENC_DEG: 55.72, REF:  0.00, VEL_RAW: -1.75, VEL_AVG: -0.22, I: -23.82, D: -0.07, VEL_OUT: -50.61, MS_MPC: 29602.38, ax:  0.02, ay:  0.00, az:  0.99, gx:  0.67, gy: -0.24, gz: -0.03, OX:  0.00
1746520990.1984477 N:   77, t: 34505337, dt: 16176, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  2.72, VEL_AVG:  0.00, I: -23.82, D:  0.22, VEL_OUT: -45.47, MS_MPC: 29603.10, ax:  0.02, ay:  0.01, az:  0.99, gx:  1.40, gy: -0.67, gz:  0.52, OX:  0.07
1746520990.2040124 N:   78, t: 34525802, dt: 20465, ENC_DEG: 55.70, REF:  0.00, VEL_RAW: -3.22, VEL_AVG: -0.26, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.2100105 N:   80, t: 34535945, dt: 6969, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  1.45, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.2159643 N:   81, t: 34547164, dt: 11219, ENC_DEG: 55.66, REF:  0.00, VEL_RAW: -9.79, VEL_AVG:  0.45, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.2222962 N:   82, t: 34550194, dt: 3030, ENC_DEG: 55.61, REF:  0.00, VEL_RAW: -14.50, VEL_AVG: -1.00, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.2282834 N:   83, t: 34554602, dt: 4408, ENC_DEG: 55.57, REF:  0.00, VEL_RAW: -9.97, VEL_AVG: -1.49, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.2342653 N:   84, t: 34557543, dt: 2941, ENC_DEG: 55.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -1.40, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.2563026 N:   85, t: 34562858, dt: 5315, ENC_DEG: 55.46, REF:  0.00, VEL_RAW: -20.67, VEL_AVG: -3.12, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.2631197 N:   87, t: 34570181, dt: 2912, ENC_DEG: 55.24, REF:  0.00, VEL_RAW: -83.00, VEL_AVG: -9.52, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.26912   N:   88, t: 34576564, dt: 6383, ENC_DEG: 55.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -9.37, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.3150842 N:   90, t: 34583686, dt: 2965, ENC_DEG: 55.13, REF:  0.00, VEL_RAW: -22.23, VEL_AVG: -12.07, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.320786  N:   95, t: 34605214, dt: 2966, ENC_DEG: 54.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -18.39, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.3268383 N:   96, t: 34613155, dt: 7941, ENC_DEG: 54.69, REF:  0.00, VEL_RAW: -13.83, VEL_AVG: -19.54, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.3337855 N:   97, t: 34616182, dt: 3027, ENC_DEG: 54.60, REF:  0.00, VEL_RAW: -29.04, VEL_AVG: -20.24, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.3399248 N:  103, t: 34638810, dt: 3792, ENC_DEG: 54.27, REF:  0.00, VEL_RAW:  5.75, VEL_AVG: -15.87, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
1746520990.3451307 N:  104, t: 34672946, dt: 34136, ENC_DEG: 53.79, REF:  0.00, VEL_RAW: -14.17, VEL_AVG: -13.71, I: -24.09, D: -0.26, VEL_OUT: -53.45, MS_MPC: 29602.00, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.89, gy: -0.37, gz:  0.34, OX:  0.00
