1746520894.9818323 N:   18, t: 28351547, dt: 25167, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.26, I: -2.87, D:  0.02, VEL_OUT: -8.17, MS_MPC: 23546.57, ax: -0.01, ay: -0.00, az:  1.00, gx:  1.31, gy: -1.53, gz: -0.15, OX: -0.03
1746520894.9887977 N:   19, t: 28366999, dt: 15452, ENC_DEG: 11.25, REF:  0.00, VEL_RAW: -1.42, VEL_AVG:  0.14, I: -3.01, D:  0.12, VEL_OUT: -6.26, MS_MPC: 23541.79, ax: -0.02, ay: -0.02, az:  1.01, gx:  1.25, gy: -0.79, gz:  1.19, OX: -0.05
1746520895.0361733 N:   20, t: 28384918, dt: 17919, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -3.16, D:  0.00, VEL_OUT: -7.72, MS_MPC: 23541.79, ax: -0.01, ay: -0.01, az:  1.01, gx:  1.13, gy: -0.12, gz:  2.35, OX:  0.08
1746520895.0421236 N:   21, t: 28406165, dt: 21247, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.23, I: -3.38, D: -0.09, VEL_OUT: -9.90, MS_MPC: 23546.57, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.76, gy:  0.37, gz:  2.96, OX:  0.02
1746520895.0483737 N:   22, t: 28425230, dt: 19065, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.23, I: -3.61, D:  0.00, VEL_OUT: -9.50, MS_MPC: 23546.57, ax: -0.02, ay:  0.00, az:  1.01, gx:  0.03, gy:  0.73, gz:  3.02, OX:  0.08
1746520895.096854  N:   23, t: 28445661, dt: 20431, ENC_DEG: 11.25, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.31, I: -3.92, D: -0.09, VEL_OUT: -11.84, MS_MPC: 23541.79, ax: -0.02, ay:  0.01, az:  1.01, gx: -0.03, gy:  1.10, gz:  3.14, OX:  0.07
1746520895.1040168 N:   24, t: 28464729, dt: 19068, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.29, I: -4.21, D:  0.02, VEL_OUT: -11.09, MS_MPC: 23537.02, ax: -0.02, ay:  0.02, az:  1.01, gx: -0.09, gy:  1.34, gz:  3.27, OX:  0.11
1746520895.1099644 N:   25, t: 28487328, dt: 22599, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -4.25, D:  0.26, VEL_OUT: -6.24, MS_MPC: 23537.02, ax: -0.02, ay:  0.02, az:  1.01, gx: -0.64, gy:  1.71, gz:  2.53, OX: -0.02
1746520895.1568868 N:   26, t: 28511141, dt: 23813, ENC_DEG: 11.19, REF:  0.00, VEL_RAW: -1.85, VEL_AVG:  0.06, I: -4.31, D: -0.03, VEL_OUT: -9.49, MS_MPC: 23527.47, ax: -0.02, ay:  0.02, az:  1.01, gx: -0.58, gy:  1.71, gz:  1.86, OX: -0.01
1746520895.2151082 N:   27, t: 28528423, dt: 17282, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  2.54, VEL_AVG:  0.18, I: -4.49, D: -0.12, VEL_OUT: -12.01, MS_MPC: 23537.02, ax: -0.02, ay:  0.02, az:  1.00, gx: -0.40, gy:  1.65, gz:  2.23, OX:  0.03
1746520895.2769644 N:   28, t: 28546409, dt: 17986, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.19, I: -4.67, D: -0.01, VEL_OUT: -11.27, MS_MPC: 23541.79, ax: -0.01, ay:  0.02, az:  0.99, gx: -0.27, gy:  2.26, gz:  2.29, OX:  0.03
1746520895.2829497 N:   29, t: 28564852, dt: 18443, ENC_DEG: 11.23, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.08, I: -4.76, D:  0.10, VEL_OUT: -9.34, MS_MPC: 23537.02, ax: -0.01, ay:  0.03, az:  0.98, gx:  0.15, gy:  1.83, gz:  2.35, OX:  0.10
1746520895.3355455 N:   30, t: 28585026, dt: 20174, ENC_DEG: 11.19, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.34, I: -5.10, D: -0.25, VEL_OUT: -16.13, MS_MPC: 23527.47, ax: -0.02, ay:  0.03, az:  1.00, gx:  0.64, gy:  0.92, gz:  1.74, OX: -0.01
1746520895.3917933 N:   31, t: 28605406, dt: 20380, ENC_DEG: 11.21, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.13, I: -5.23, D:  0.21, VEL_OUT: -9.68, MS_MPC: 23532.24, ax: -0.02, ay:  0.01, az:  1.00, gx:  0.15, gy:  0.85, gz:  2.04, OX: -0.09
