1746522374.4846337 N:   19, t: 26505962, dt: 16701, ENC_DEG: 65.41, REF:  0.00, VEL_RAW:  7.89, VEL_AVG:  0.37, I: -3.27, D:  0.12, VEL_OUT: -9.09, MS_MPC: 29314.08, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.37, gz:  0.79, OX:  0.04
1746522374.4906175 N:   20, t: 26529151, dt: 23189, ENC_DEG: 65.37, REF:  0.00, VEL_RAW: -1.90, VEL_AVG:  0.31, I: -3.57, D:  0.07, VEL_OUT: -9.54, MS_MPC: 29317.74, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.18, gz:  0.61, OX:  0.03
1746522374.539167  N:   21, t: 26546823, dt: 17672, ENC_DEG: 65.39, REF:  0.00, VEL_RAW:  1.24, VEL_AVG:  0.32, I: -3.90, D: -0.01, VEL_OUT: -11.16, MS_MPC: 29315.91, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.49, OX: -0.01
1746522374.545151  N:   22, t: 26566281, dt: 19458, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.23, I: -4.13, D:  0.09, VEL_OUT: -9.72, MS_MPC: 29319.57, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.24, gz:  0.31, OX: -0.01
1746522374.5506527 N:   23, t: 26585548, dt: 19267, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.33, I: -4.46, D: -0.10, VEL_OUT: -13.16, MS_MPC: 29317.74, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.31, gz:  0.18, OX: -0.03
1746522374.5566664 N:   24, t: 26605432, dt: 19884, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.14, I: -4.60, D:  0.19, VEL_OUT: -8.63, MS_MPC: 29319.57, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.18, OX:  0.00
1746522374.5989711 N:   25, t: 26626655, dt: 21223, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.05, I: -4.65, D:  0.09, VEL_OUT: -8.93, MS_MPC: 29321.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.43, gz: -0.06, OX: -0.05
1746522374.604957  N:   26, t: 26645941, dt: 19286, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.15, I: -4.79, D: -0.09, VEL_OUT: -11.98, MS_MPC: 29319.57, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.24, gz:  0.49, OX:  0.02
1746522374.6588106 N:   27, t: 26668415, dt: 22474, ENC_DEG: 65.30, REF:  0.00, VEL_RAW: -1.96, VEL_AVG:  0.14, I: -4.93, D:  0.00, VEL_OUT: -11.26, MS_MPC: 29323.19, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.24, gz:  0.24, OX: -0.01
1746522374.664797  N:   28, t: 26685723, dt: 17308, ENC_DEG: 65.33, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.25, I: -5.18, D: -0.11, VEL_OUT: -13.90, MS_MPC: 29321.38, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.18, gz:  0.24, OX:  0.00
