1746522255.9254735 N:   19, t: 64396248, dt: 21427, ENC_DEG:  4.29, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.27, I: -2.59, D: -0.01, VEL_OUT: -7.99, MS_MPC: 21968.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.18, gz:  0.15, OX:  0.02
1746522255.9742134 N:   20, t: 64416640, dt: 20392, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -3.23, VEL_AVG:  0.00, I: -2.59, D:  0.27, VEL_OUT: -2.50, MS_MPC: 21952.78, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.06, gz: -0.03, OX:  0.03
1746522255.9801972 N:   21, t: 64439079, dt: 22439, ENC_DEG:  4.29, REF:  0.00, VEL_RAW:  2.94, VEL_AVG:  0.05, I: -2.65, D: -0.05, VEL_OUT: -6.37, MS_MPC: 21968.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.24, gz: -0.34, OX: -0.02
1746522256.035171  N:   22, t: 64457737, dt: 18658, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -3.53, VEL_AVG:  0.04, I: -2.69, D:  0.01, VEL_OUT: -5.71, MS_MPC: 21952.78, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.12, gz: -0.34, OX: -0.02
1746522256.040998  N:   23, t: 64474827, dt: 17090, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.34, I: -3.03, D: -0.30, VEL_OUT: -12.47, MS_MPC: 21952.78, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.12, gz: -0.03, OX:  0.01
1746522256.0468838 N:   24, t: 64494984, dt: 20157, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.36, I: -3.39, D: -0.02, VEL_OUT: -10.53, MS_MPC: 21963.08, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.24, gz: -0.21, OX: -0.00
1746522256.0528657 N:   25, t: 64519299, dt: 24315, ENC_DEG:  4.24, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.09, I: -3.48, D:  0.27, VEL_OUT: -5.19, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.24, gz: -0.15, OX:  0.00
1746522256.0935013 N:   27, t: 64554663, dt: 15201, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  1.45, VEL_AVG: -0.06, I: -3.63, D:  0.03, VEL_OUT: -7.65, MS_MPC: 21957.93, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.43, gz:  0.15, OX: -0.02
1746522256.0993674 N:   28, t: 64577789, dt: 23126, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  0.95, VEL_AVG:  0.17, I: -3.81, D: -0.11, VEL_OUT: -10.41, MS_MPC: 21963.08, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.43, gz:  0.27, OX:  0.04
1746522256.105354  N:   29, t: 64595599, dt: 17810, ENC_DEG:  4.24, REF:  0.00, VEL_RAW: -1.23, VEL_AVG:  0.07, I: -3.87, D:  0.10, VEL_OUT: -7.41, MS_MPC: 21957.93, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.37, gz:  0.03, OX: -0.02
1746522256.155914  N:   30, t: 64614969, dt: 19370, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -4.00, D: -0.05, VEL_OUT: -9.72, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.61, gz:  0.27, OX:  0.01
1746522256.1618977 N:   31, t: 64638737, dt: 23768, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  0.92, VEL_AVG: -0.13, I: -4.12, D: -0.01, VEL_OUT: -9.63, MS_MPC: 21963.08, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.00, gy:  0.37, gz:  0.52, OX: -0.02
1746522256.168849  N:   32, t: 64655905, dt: 17168, ENC_DEG:  4.29, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.25, I: -4.37, D: -0.12, VEL_OUT: -12.38, MS_MPC: 21968.23, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.18, gy:  0.43, gz:  0.76, OX: -0.03
1746522256.1748312 N:   33, t: 64676330, dt: 20425, ENC_DEG:  4.31, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.09, I: -4.46, D:  0.16, VEL_OUT: -8.29, MS_MPC: 21973.37, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.55, gz:  0.89, OX:  0.10
1746522256.2177174 N:   34, t: 64695773, dt: 19443, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -4.52, VEL_AVG:  0.01, I: -4.47, D:  0.08, VEL_OUT: -8.21, MS_MPC: 21952.78, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.79, gz:  0.64, OX:  0.05
1746522256.2735658 N:   35, t: 64715274, dt: 19501, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -4.48, D:  0.00, VEL_OUT: -9.05, MS_MPC: 21952.78, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy:  0.61, gz:  0.21, OX: -0.01
1746522256.2795496 N:   36, t: 64736524, dt: 21250, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -4.65, D: -0.16, VEL_OUT: -12.67, MS_MPC: 21952.78, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.18, gy:  0.37, gz:  0.15, OX: -0.06
1746522256.2865343 N:   37, t: 64756331, dt: 19807, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  2.22, VEL_AVG:  0.09, I: -4.74, D:  0.09, VEL_OUT: -9.51, MS_MPC: 21963.08, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.55, gz:  0.64, OX:  0.01
