1746013245.4769225 N:   18, t: 25931946, dt: 18505, ENC_DEG: 76.11, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.20, I: -4.28, D: -0.10, VEL_OUT: -11.54, MS_MPC: 27522.44, ax:  0.00, ay: -0.03, az:  1.00, gx:  1.83, gy: -0.24, gz: -0.18, OX: -0.04
1746013245.4834197 N:   19, t: 25951280, dt: 19334, ENC_DEG: 76.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.29, I: -4.56, D: -0.09, VEL_OUT: -12.87, MS_MPC: 27522.44, ax:  0.00, ay: -0.03, az:  1.00, gx:  1.22, gy:  0.00, gz:  0.06, OX: -0.06
1746013245.489369  N:   20, t: 25972806, dt: 21526, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  2.04, VEL_AVG:  0.14, I: -4.71, D:  0.14, VEL_OUT: -9.43, MS_MPC: 27510.62, ax:  0.01, ay: -0.03, az:  1.00, gx:  0.49, gy:  0.18, gz:  0.49, OX: -0.00
1746013245.5361316 N:   21, t: 25992054, dt: 19248, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.25, I: -4.96, D: -0.11, VEL_OUT: -13.50, MS_MPC: 27516.54, ax:  0.00, ay: -0.03, az:  1.00, gx: -0.43, gy:  0.12, gz:  0.85, OX:  0.00
1746013245.541911  N:   22, t: 26012380, dt: 20326, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.25, I: -5.21, D: -0.00, VEL_OUT: -12.95, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.73, gy:  0.12, gz:  1.28, OX:  0.04
1746013245.5968072 N:   23, t: 26030853, dt: 18473, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.14, I: -5.35, D:  0.12, VEL_OUT: -10.89, MS_MPC: 27504.69, ax:  0.00, ay: -0.02, az:  1.00, gx: -1.34, gy: -0.12, gz:  0.79, OX:  0.03
1746013245.6022348 N:   24, t: 26056293, dt: 25440, ENC_DEG: 76.16, REF:  0.00, VEL_RAW: -0.86, VEL_AVG: -0.21, I: -5.55, D: -0.07, VEL_OUT: -13.87, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx: -1.65, gy: -0.43, gz:  0.06, OX: -0.01
1746013245.6081514 N:   25, t: 26071489, dt: 15196, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  1.45, VEL_AVG:  0.20, I: -5.76, D:  0.00, VEL_OUT: -13.51, MS_MPC: 27504.69, ax:  0.00, ay: -0.02, az:  1.00, gx: -1.53, gy: -0.85, gz: -0.00, OX: -0.03
1746013245.6141446 N:   26, t: 26093384, dt: 21895, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -5.88, D:  0.08, VEL_OUT: -12.17, MS_MPC: 27504.69, ax:  0.00, ay: -0.02, az:  1.00, gx: -1.28, gy: -0.55, gz: -0.00, OX: -0.00
1746013245.7120576 N:   27, t: 26111240, dt: 17856, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -6.00, D:  0.00, VEL_OUT: -13.23, MS_MPC: 27504.69, ax:  0.01, ay: -0.03, az:  1.00, gx: -1.10, gy: -0.67, gz:  0.31, OX: -0.01
1746013245.7180312 N:   28, t: 26132465, dt: 21225, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.21, I: -6.21, D: -0.09, VEL_OUT: -15.48, MS_MPC: 27504.69, ax:  0.01, ay: -0.03, az:  1.00, gx: -1.10, gy: -0.61, gz:  0.37, OX:  0.00
1746013245.83144   N:   29, t: 26150852, dt: 18387, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -2.39, VEL_AVG:  0.01, I: -6.23, D:  0.20, VEL_OUT: -10.61, MS_MPC: 27516.54, ax:  0.01, ay: -0.03, az:  1.01, gx: -0.37, gy: -0.55, gz:  0.61, OX: -0.01
1746013245.951326  N:   30, t: 26172381, dt: 21529, ENC_DEG: 76.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -6.34, D: -0.10, VEL_OUT: -14.81, MS_MPC: 27516.54, ax:  0.00, ay: -0.02, az:  1.01, gx: -0.37, gy: -0.24, gz:  1.04, OX:  0.04
1746013245.9572904 N:   32, t: 26210858, dt: 18373, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -6.58, D:  0.17, VEL_OUT: -11.81, MS_MPC: 27510.62, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.49, gy:  0.18, gz:  1.16, OX:  0.01
1746013245.9634428 N:   33, t: 26232408, dt: 21550, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.21, I: -6.80, D: -0.18, VEL_OUT: -17.54, MS_MPC: 27504.69, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.18, gy:  0.18, gz:  1.10, OX: -0.02
1746013245.969493  N:   38, t: 26334339, dt: 22127, ENC_DEG: 76.20, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.08, I: -7.66, D:  0.08, VEL_OUT: -15.27, MS_MPC: 27498.75, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.24, gy: -0.43, gz:  0.49, OX:  0.00
1746013245.9754765 N:   40, t: 26371554, dt: 19124, ENC_DEG: 76.22, REF:  0.00, VEL_RAW:  8.04, VEL_AVG: -0.01, I: -8.36, D:  0.67, VEL_OUT: -10.17, MS_MPC: 27492.79, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.12, gy: -0.37, gz:  0.37, OX: -0.00
1746013245.9814203 N:   41, t: 26452259, dt: 80705, ENC_DEG: 76.16, REF:  0.00, VEL_RAW: -0.82, VEL_AVG:  0.12, I: -8.48, D: -0.10, VEL_OUT: -19.12, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.79, OX: -0.03
