1746012559.1289399 N:   18, t: 54523457, dt: 21948, ENC_DEG: 37.00, REF:  0.00, VEL_RAW:  6.01, VEL_AVG:  0.47, I: -3.67, D: -0.21, VEL_OUT: -14.13, MS_MPC: 28116.43, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.49, gz: -0.55, OX: -0.05
1746012559.1337736 N:   19, t: 54540744, dt: 17287, ENC_DEG: 36.94, REF:  0.00, VEL_RAW: -3.81, VEL_AVG:  0.25, I: -3.92, D:  0.22, VEL_OUT: -8.13, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.67, gz: -1.10, OX: -0.02
1746012559.1868646 N:   20, t: 54560880, dt: 20136, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.34, I: -4.26, D: -0.08, VEL_OUT: -12.72, MS_MPC: 28102.11, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.73, gz: -1.46, OX: -0.03
1746012559.1928346 N:   21, t: 54582720, dt: 21840, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  1.01, VEL_AVG:  0.12, I: -4.38, D:  0.21, VEL_OUT: -7.84, MS_MPC: 28104.97, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.43, gz: -1.16, OX: -0.01
1746012559.1985362 N:   22, t: 54601810, dt: 19090, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.31, I: -4.68, D: -0.18, VEL_OUT: -14.28, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.12, gz: -0.79, OX:  0.03
1746012559.2041712 N:   23, t: 54620913, dt: 19103, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -4.79, D:  0.20, VEL_OUT: -8.64, MS_MPC: 28104.97, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.49, gz: -0.43, OX:  0.00
1746012559.2482548 N:   24, t: 54645772, dt: 24859, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  0.88, VEL_AVG:  0.04, I: -4.83, D:  0.06, VEL_OUT: -9.48, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.37, gz: -0.49, OX: -0.04
1746012559.2543876 N:   25, t: 54661277, dt: 15505, ENC_DEG: 37.03, REF:  0.00, VEL_RAW:  5.67, VEL_AVG:  0.42, I: -5.25, D: -0.37, VEL_OUT: -18.36, MS_MPC: 28119.30, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.24, gz: -0.31, OX: -0.02
1746012559.260315  N:   26, t: 54682180, dt: 20903, ENC_DEG: 36.98, REF:  0.00, VEL_RAW: -2.10, VEL_AVG:  0.34, I: -5.59, D:  0.08, VEL_OUT: -13.75, MS_MPC: 28113.57, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.24, gz:  0.06, OX:  0.02
1746012559.30819   N:   27, t: 54700695, dt: 18515, ENC_DEG: 36.94, REF:  0.00, VEL_RAW: -2.37, VEL_AVG: -0.22, I: -5.80, D:  0.12, VEL_OUT: -12.56, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.06, gz:  0.12, OX:  0.03
1746012559.314192  N:   28, t: 54723433, dt: 22738, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -0.97, VEL_AVG: -0.11, I: -5.91, D:  0.11, VEL_OUT: -11.79, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.12, gz:  0.18, OX: -0.04
