Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,859,1705.0,6.7109375,13.3203125,Tar3,6.609375
2,2838,3510.0,22.171875,27.421875,Tar2,5.25
3,4407,4803.0,34.4296875,37.5234375,Tar1,3.09375
4,5807,6351.0,45.3671875,49.6171875,Tar1,4.25
5,7226,7797.0,56.453125,60.9140625,Tar2,4.4609375
6,8972,9520.0,70.09375,74.375,Tar3,4.28125
7,10797,11369.0,84.3515625,88.8203125,Tar2,4.46875
8,12215,12831.0,95.4296875,100.2421875,Tar3,4.8125
9,13860,14355.0,108.28125,112.1484375,Tar1,3.8671875
10,15217,15698.0,118.8828125,122.640625,Tar2,3.7578125
11,16595,17074.0,129.6484375,133.390625,Tar1,3.7421875
12,17966,18478.0,140.359375,144.359375,Tar3,4.0
13,19281,19798.0,150.6328125,154.671875,Tar2,4.0390625
14,20764,21306.0,162.21875,166.453125,Tar3,4.234375
15,22407,22989.0,175.0546875,179.6015625,Tar1,4.546875
16,23952,24475.0,187.125,191.2109375,Tar1,4.0859375
17,25424,25919.0,198.625,202.4921875,Tar2,3.8671875
18,26757,27324.0,209.0390625,213.46875,Tar3,4.4296875
19,28343,28820.0,221.4296875,225.15625,Tar1,3.7265625
20,29839,30443.0,233.1171875,237.8359375,Tar3,4.71875
21,31459,32100.0,245.7734375,250.78125,Tar2,5.0078125
22,33102,33758.0,258.609375,263.734375,Tar1,5.125
23,50047,50646.0,390.9921875,395.671875,Tar3,4.6796875
24,51542,52056.0,402.671875,406.6875,Tar1,4.015625
25,62513,63172.0,488.3828125,493.53125,Tar2,5.1484375
26,63942,64635.0,499.546875,504.9609375,Tar3,5.4140625
27,65700,66286.0,513.28125,517.859375,Tar2,4.578125
28,67388,67918.0,526.46875,530.609375,Tar1,4.140625
29,68950,69634.0,538.671875,544.015625,Tar3,5.34375
30,70714,71402.0,552.453125,557.828125,Tar2,5.375
