time,Index
4.03125,1209.076013
7.15625,1117.263295
10.21875,906.701562
13.578125,904.003077
17.3515625,1105.376929
19.9921875,1214.876104
22.9296875,1205.095135
25.5703125,900.544859
28.2109375,1099.268944
30.5234375,1103.28236
32.53125,905.648044
35.3515625,1205.039255
37.625,1217.529349
40.3515625,1101.673611
43.2734375,912.007199
45.8203125,1113.78148
47.9609375,950.107169
49.9765625,1207.480292
52.40625,1126.94029
54.3359375,1201.420583
56.390625,891.772697
58.484375,1206.223464
60.515625,1102.392015
62.703125,896.733974
64.7421875,1204.023002
66.828125,903.589974
68.890625,1111.032444
70.9296875,1212.557202
73.171875,1100.445155
75.203125,897.588407
