time,motor_top
4.71875,1016.675519
21.1953125,1036.572394
33.4921875,1001.965445
44.4609375,1012.786931
55.3984375,1031.297893
69.3046875,1012.82213
83.546875,1016.747988
94.75,1032.544633
107.546875,1012.957792
118.0703125,1036.660771
128.8515625,1055.526311
139.71875,1035.076991
149.9375,1038.330994
161.5,1024.959011
174.3359375,1024.965063
186.421875,1016.254549
198.0390625,1025.838109
208.203125,1045.550393
220.75,1023.614184
232.421875,1035.999737
245.0390625,1020.657324
258.0234375,1025.622935
390.3125,1003.80078
402.0234375,992.851232
487.7265625,995.785964
498.921875,1010.826476
512.7265625,997.959959
525.96875,1005.213846
538.109375,1032.253661
551.6953125,1032.517014
