1746536891.2323709 N:   24, t: 28402654, dt: 16319, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  4.04, VEL_AVG:  0.21, I: -3.68, D:  0.16, VEL_OUT: -7.84, MS_MPC: 21870.24, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.31, OX: -0.02
1746536891.2373593 N:   25, t: 28467227, dt: 64573, ENC_DEG:  3.85, REF:  0.00, VEL_RAW: -0.34, VEL_AVG:  0.18, I: -3.86, D:  0.03, VEL_OUT: -9.26, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.49, OX:  0.00
1746536891.2433422 N:   26, t: 28484403, dt: 17176, ENC_DEG:  3.76, REF:  0.00, VEL_RAW: -5.12, VEL_AVG: -0.05, I: -3.91, D:  0.13, VEL_OUT: -7.09, MS_MPC: 21844.39, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.12, gz:  0.79, OX:  0.02
1746536891.2493272 N:   30, t: 28565029, dt: 21460, ENC_DEG:  3.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -4.48, D: -0.06, VEL_OUT: -10.36, MS_MPC: 21849.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy:  0.24, gz:  0.92, OX: -0.00
1746536891.2554483 N:   32, t: 28604604, dt: 21551, ENC_DEG:  3.78, REF:  0.00, VEL_RAW: -2.04, VEL_AVG: -0.02, I: -4.83, D:  0.32, VEL_OUT: -6.64, MS_MPC: 21849.56, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.73, gy:  0.06, gz:  0.12, OX:  0.01
1746536891.3462567 N:   33, t: 28642580, dt: 37976, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  1.16, VEL_AVG: -0.26, I: -5.10, D: -0.24, VEL_OUT: -15.24, MS_MPC: 21859.90, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.61, gy:  0.06, gz:  0.18, OX: -0.02
1746536891.470186  N:   34, t: 28664989, dt: 22409, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -5.29, D:  0.07, VEL_OUT: -11.76, MS_MPC: 21859.90, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.67, gy:  0.00, gz:  0.43, OX:  0.05
1746536891.476611  N:   35, t: 28684419, dt: 19430, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.30, I: -5.58, D: -0.11, VEL_OUT: -15.20, MS_MPC: 21870.24, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.00, gz:  0.37, OX:  0.03
1746536891.482593  N:   36, t: 28706803, dt: 22384, ENC_DEG:  3.80, REF:  0.00, VEL_RAW: -2.94, VEL_AVG: -0.29, I: -5.87, D:  0.01, VEL_OUT: -14.46, MS_MPC: 21854.73, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.24, gz:  0.43, OX: -0.02
1746536891.527022  N:   38, t: 28744374, dt: 20333, ENC_DEG:  3.80, REF:  0.00, VEL_RAW: -3.24, VEL_AVG:  0.22, I: -6.15, D: -0.16, VEL_OUT: -16.04, MS_MPC: 21854.73, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.43, gz:  0.79, OX: -0.03
1746536891.6497817 N:   42, t: 28823237, dt: 18157, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  2.42, VEL_AVG:  0.25, I: -6.81, D: -0.20, VEL_OUT: -18.09, MS_MPC: 21859.90, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.12, gy: -0.31, gz:  0.98, OX:  0.01
1746536891.6561222 N:   43, t: 28884783, dt: 61546, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  0.71, VEL_AVG:  0.10, I: -6.91, D:  0.14, VEL_OUT: -13.41, MS_MPC: 21870.24, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.06, gy:  0.24, gz:  1.04, OX: -0.01
1746536891.6626792 N:   44, t: 28903044, dt: 18261, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -2.41, VEL_AVG:  0.07, I: -6.98, D:  0.03, VEL_OUT: -14.38, MS_MPC: 21859.90, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  1.04, OX:  0.03
1746536891.667666  N:   48, t: 28984751, dt: 21694, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -7.49, D:  0.04, VEL_OUT: -15.61, MS_MPC: 21865.07, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.12, gz: -0.18, OX:  0.01
1746536891.6741927 N:   50, t: 29026218, dt: 23168, ENC_DEG:  3.78, REF:  0.00, VEL_RAW: -3.79, VEL_AVG: -0.16, I: -7.76, D: -0.05, VEL_OUT: -17.60, MS_MPC: 21849.56, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.67, gy: -0.31, gz: -0.18, OX:  0.01
1746536891.7719579 N:   51, t: 29067018, dt: 40800, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  2.15, VEL_AVG: -0.17, I: -7.94, D: -0.01, VEL_OUT: -17.75, MS_MPC: 21870.24, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.12, gz: -0.43, OX: -0.00
1746536891.7780838 N:   52, t: 29085975, dt: 18957, ENC_DEG:  3.89, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.19, I: -8.13, D: -0.02, VEL_OUT: -18.34, MS_MPC: 21875.41, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.24, gz: -0.18, OX:  0.00
1746536891.8282242 N:   53, t: 29103279, dt: 17304, ENC_DEG:  3.80, REF:  0.00, VEL_RAW: -5.08, VEL_AVG: -0.23, I: -8.36, D: -0.04, VEL_OUT: -19.44, MS_MPC: 21854.73, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.24, gz: -0.55, OX: -0.04
1746536891.8343751 N:   54, t: 29122420, dt: 19141, ENC_DEG:  3.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.43, I: -8.79, D: -0.20, VEL_OUT: -23.94, MS_MPC: 21854.73, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.49, gz: -0.06, OX: -0.03
1746536891.8401835 N:   56, t: 29169308, dt: 25464, ENC_DEG:  3.76, REF:  0.00, VEL_RAW: -0.86, VEL_AVG: -0.45, I: -9.82, D:  0.13, VEL_OUT: -22.85, MS_MPC: 21844.39, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.43, gz:  0.24, OX:  0.00
1746536891.8468175 N:   57, t: 29184120, dt: 14812, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  4.46, VEL_AVG:  0.11, I: -9.93, D:  0.34, VEL_OUT: -17.56, MS_MPC: 21859.90, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.49, gz:  0.37, OX:  0.01
1746536891.8524814 N:   59, t: 29225587, dt: 22465, ENC_DEG:  3.78, REF:  0.00, VEL_RAW: -2.93, VEL_AVG: -0.30, I: -10.28, D: -0.24, VEL_OUT: -25.98, MS_MPC: 21849.56, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy: -0.18, gz:  0.37, OX: -0.01
1746536891.8915305 N:   60, t: 29244236, dt: 18649, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  3.53, VEL_AVG: -0.00, I: -10.28, D:  0.29, VEL_OUT: -17.65, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.12, gz:  0.73, OX:  0.02
1746536892.0715628 N:   61, t: 29263508, dt: 19272, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -10.39, D: -0.10, VEL_OUT: -22.80, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.12, gz:  0.85, OX:  0.00
1746536892.0765421 N:   62, t: 29285859, dt: 22351, ENC_DEG:  3.78, REF:  0.00, VEL_RAW: -2.95, VEL_AVG: -0.03, I: -10.42, D:  0.07, VEL_OUT: -20.46, MS_MPC: 21849.56, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.12, gz:  0.79, OX:  0.00
1746536892.0825343 N:   63, t: 29303607, dt: 17748, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  3.71, VEL_AVG:  0.10, I: -10.52, D: -0.07, VEL_OUT: -22.66, MS_MPC: 21865.07, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.18, gz:  0.73, OX:  0.03
1746536892.0895133 N:   64, t: 29322945, dt: 19338, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.09, I: -10.61, D:  0.00, VEL_OUT: -22.11, MS_MPC: 21859.90, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.18, OX: -0.04
1746536892.0949154 N:   68, t: 29402873, dt: 18334, ENC_DEG:  3.89, REF:  0.00, VEL_RAW:  2.40, VEL_AVG:  0.77, I: -12.54, D: -0.27, VEL_OUT: -35.53, MS_MPC: 21875.41, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.55, gy: -0.37, gz:  1.16, OX:  0.07
1746536892.099899  N:   69, t: 29484849, dt: 81976, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -0.80, VEL_AVG:  0.33, I: -12.88, D:  0.44, VEL_OUT: -24.71, MS_MPC: 21859.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.55, gz: -0.43, OX:  0.00
1746536892.2528484 N:   70, t: 29503105, dt: 18256, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.24, I: -13.12, D:  0.10, VEL_OUT: -27.65, MS_MPC: 21859.90, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.37, gy: -0.55, gz: -0.06, OX:  0.04
1746536892.2596061 N:   71, t: 29523279, dt: 20174, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.57, I: -13.69, D: -0.34, VEL_OUT: -36.46, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.31, gy: -0.31, gz:  0.37, OX:  0.01
1746536892.3668003 N:   72, t: 29548212, dt: 24933, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -0.88, VEL_AVG:  0.21, I: -13.89, D:  0.37, VEL_OUT: -26.16, MS_MPC: 21859.90, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.98, OX:  0.09
1746536892.4272287 N:   73, t: 29563354, dt: 15142, ENC_DEG:  3.80, REF:  0.00, VEL_RAW: -1.45, VEL_AVG:  0.08, I: -13.98, D:  0.12, VEL_OUT: -27.59, MS_MPC: 21854.73, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.18, gz:  0.79, OX:  0.03
1746536892.432819  N:   76, t: 29623521, dt: 19401, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.20, I: -14.43, D: -0.19, VEL_OUT: -32.76, MS_MPC: 21859.90, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.06, gz: -0.06, OX: -0.02
1746536892.438801  N:   77, t: 29663852, dt: 40331, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.54, VEL_AVG:  0.25, I: -14.68, D: -0.05, VEL_OUT: -32.27, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy:  0.24, gz:  0.31, OX:  0.00
1746536892.4917924 N:   80, t: 29723947, dt: 20422, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -15.04, D: -0.04, VEL_OUT: -31.61, MS_MPC: 21859.90, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.37, gz:  0.73, OX:  0.05
1746536892.5468903 N:   82, t: 29803847, dt: 19431, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.04, I: -15.14, D:  0.01, VEL_OUT: -30.65, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.37, gy: -0.31, gz:  0.12, OX: -0.02
1746536892.5531251 N:   83, t: 29843670, dt: 39823, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -0.55, VEL_AVG: -0.09, I: -15.23, D: -0.05, VEL_OUT: -31.88, MS_MPC: 21859.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.61, gy: -0.18, gz: -0.24, OX:  0.02
1746536892.5591094 N:   84, t: 29863031, dt: 19361, ENC_DEG:  3.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -15.25, D:  0.07, VEL_OUT: -29.96, MS_MPC: 21859.90, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy: -0.18, gz: -0.24, OX: -0.02
1746536892.5650964 N:   85, t: 29882540, dt: 19509, ENC_DEG:  3.78, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.09, I: -15.34, D: -0.07, VEL_OUT: -32.20, MS_MPC: 21849.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.61, gy: -0.37, gz: -0.18, OX: -0.01
1746536892.5720932 N:   88, t: 29943139, dt: 18267, ENC_DEG:  3.80, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.13, I: -15.68, D: -0.07, VEL_OUT: -33.37, MS_MPC: 21854.73, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.61, gy: -0.49, gz: -0.18, OX: -0.01
1746536892.6722891 N:   89, t: 29965061, dt: 21922, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  2.00, VEL_AVG: -0.01, I: -15.69, D:  0.12, VEL_OUT: -30.27, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.43, gy: -0.37, gz:  0.49, OX:  0.02
1746536892.7888057 N:   90, t: 29984121, dt: 19060, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -15.76, D: -0.06, VEL_OUT: -32.77, MS_MPC: 21865.07, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy: -0.18, gz:  0.43, OX:  0.04
1746536892.7951417 N:   91, t: 30007802, dt: 23681, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.15, I: -15.90, D: -0.08, VEL_OUT: -34.03, MS_MPC: 21870.24, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.24, gz: -0.12, OX: -0.00
1746536892.8468497 N:   92, t: 30023073, dt: 15271, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -2.88, VEL_AVG: -0.09, I: -16.00, D:  0.05, VEL_OUT: -32.43, MS_MPC: 21859.90, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.61, gy: -0.31, gz: -0.12, OX: -0.01
1746536892.8534467 N:   95, t: 30084096, dt: 21326, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.23, I: -16.45, D: -0.13, VEL_OUT: -36.44, MS_MPC: 21859.90, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.43, gy: -0.12, gz:  0.31, OX:  0.03
1746536893.0282178 N:   98, t: 30143037, dt: 16174, ENC_DEG:  3.80, REF:  0.00, VEL_RAW: -2.72, VEL_AVG: -0.30, I: -16.86, D: -0.23, VEL_OUT: -38.97, MS_MPC: 21854.73, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.67, gy: -0.49, gz:  0.24, OX:  0.00
1746536893.2094896 N:   99, t: 30203230, dt: 60193, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.21, I: -17.07, D:  0.09, VEL_OUT: -35.28, MS_MPC: 21870.24, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.06, gz:  0.24, OX:  0.05
1746536893.3274    N:  101, t: 30243943, dt: 21521, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.37, I: -17.64, D: -0.17, VEL_OUT: -40.62, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.55, gy: -0.37, gz: -0.00, OX: -0.02
