1746536792.708193  N:   24, t: 30197163, dt: 21001, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.23, I: -5.32, D: -0.17, VEL_OUT: -14.66, MS_MPC: 22335.89, ax: -0.00, ay: -0.00, az:  0.98, gx: -0.31, gy:  0.61, gz:  1.89, OX:  0.02
1746536792.713643  N:   25, t: 30217686, dt: 20523, ENC_DEG:  5.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -5.42, D:  0.13, VEL_OUT: -10.51, MS_MPC: 22335.89, ax: -0.00, ay: -0.00, az:  0.98, gx:  0.18, gy:  0.18, gz:  1.65, OX: -0.03
1746536792.719631  N:   26, t: 30237403, dt: 19717, ENC_DEG:  5.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -5.43, D:  0.09, VEL_OUT: -9.98, MS_MPC: 22335.89, ax: -0.00, ay: -0.00, az:  0.99, gx:  0.61, gy: -0.37, gz:  1.40, OX: -0.01
1746536792.725648  N:   27, t: 30256928, dt: 19525, ENC_DEG:  5.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -5.43, D:  0.00, VEL_OUT: -10.93, MS_MPC: 22335.89, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.61, gy: -0.92, gz:  1.40, OX:  0.00
1746536792.8307743 N:   28, t: 30277690, dt: 20762, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  1.06, VEL_AVG: -0.22, I: -5.66, D: -0.22, VEL_OUT: -15.72, MS_MPC: 22340.96, ax: -0.00, ay: -0.00, az:  1.00, gx:  1.04, gy: -0.85, gz:  1.04, OX:  0.02
1746536792.8367596 N:   29, t: 30296985, dt: 19295, ENC_DEG:  5.85, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.31, I: -5.96, D: -0.08, VEL_OUT: -15.86, MS_MPC: 22330.82, ax:  0.00, ay:  0.00, az:  1.01, gx:  1.10, gy: -0.92, gz:  0.85, OX:  0.02
1746536792.8427482 N:   30, t: 30316516, dt: 19531, ENC_DEG:  5.87, REF:  0.00, VEL_RAW:  1.12, VEL_AVG: -0.14, I: -6.10, D:  0.17, VEL_OUT: -11.93, MS_MPC: 22335.89, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.92, gy: -0.55, gz:  0.31, OX:  0.02
1746536792.8487594 N:   31, t: 30339720, dt: 23204, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.02, I: -6.12, D:  0.12, VEL_OUT: -11.20, MS_MPC: 22346.02, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.73, gy: -0.43, gz: -0.31, OX: -0.05
1746536792.8547125 N:   33, t: 30380467, dt: 23475, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -2.81, VEL_AVG:  0.02, I: -6.18, D:  0.02, VEL_OUT: -12.37, MS_MPC: 22335.89, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.49, gz: -0.67, OX: -0.00
1746536792.8906236 N:   34, t: 30396465, dt: 15998, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  1.37, VEL_AVG:  0.05, I: -6.23, D: -0.03, VEL_OUT: -13.24, MS_MPC: 22340.96, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.61, gy: -0.43, gz: -0.49, OX: -0.01
1746536792.8965216 N:   35, t: 30419150, dt: 22685, ENC_DEG:  5.85, REF:  0.00, VEL_RAW: -1.94, VEL_AVG: -0.11, I: -6.35, D: -0.06, VEL_OUT: -14.44, MS_MPC: 22330.82, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.24, gz: -0.37, OX:  0.10
1746536792.946989  N:   36, t: 30437195, dt: 18045, ENC_DEG:  5.87, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.08, I: -6.42, D:  0.04, VEL_OUT: -13.25, MS_MPC: 22335.89, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.24, gz: -0.37, OX:  0.03
1746536793.0079145 N:   37, t: 30460281, dt: 23086, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.95, VEL_AVG:  0.16, I: -6.58, D: -0.08, VEL_OUT: -15.51, MS_MPC: 22340.96, ax: -0.00, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.12, gz:  0.00, OX:  0.03
1746536793.1270075 N:   38, t: 30477258, dt: 16977, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -1.29, VEL_AVG:  0.05, I: -6.63, D:  0.11, VEL_OUT: -12.65, MS_MPC: 22335.89, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.49, gy: -0.12, gz:  0.06, OX: -0.06
1746536793.13298   N:   39, t: 30495652, dt: 18394, ENC_DEG:  5.82, REF:  0.00, VEL_RAW: -2.39, VEL_AVG: -0.15, I: -6.78, D: -0.10, VEL_OUT: -16.10, MS_MPC: 22325.76, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.12, gy: -0.12, gz: -0.06, OX: -0.06
1746536793.1389682 N:   40, t: 30516969, dt: 21317, ENC_DEG:  5.93, REF:  0.00, VEL_RAW:  5.15, VEL_AVG:  0.19, I: -6.97, D: -0.04, VEL_OUT: -16.22, MS_MPC: 22351.08, ax: -0.00, ay: -0.02, az:  1.01, gx:  0.00, gy:  0.00, gz:  0.12, OX: -0.04
