1746536424.1264443 N:   19, t: 59039080, dt: 19944, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.09, I: -2.82, D:  0.09, VEL_OUT: -5.67, MS_MPC: 24774.57, ax:  0.02, ay:  0.01, az:  0.99, gx:  0.43, gy:  0.37, gz: -0.37, OX: -0.02
1746536424.1323397 N:   20, t: 59058488, dt: 19408, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.33, I: -3.16, D: -0.24, VEL_OUT: -12.02, MS_MPC: 24770.15, ax:  0.02, ay:  0.00, az:  0.99, gx:  0.55, gy:  0.00, gz:  0.00, OX: -0.04
1746536424.3032491 N:   21, t: 59078994, dt: 20506, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.00, I: -3.16, D:  0.33, VEL_OUT: -3.03, MS_MPC: 24774.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.61, gy: -0.06, gz:  0.12, OX: -0.01
1746536424.3094294 N:   22, t: 59103543, dt: 24549, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -0.90, VEL_AVG:  0.01, I: -3.17, D: -0.01, VEL_OUT: -6.59, MS_MPC: 24770.15, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.61, gy: -0.06, gz:  0.18, OX:  0.05
1746536424.315755  N:   24, t: 59142996, dt: 23246, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.95, VEL_AVG: -0.09, I: -3.43, D:  0.08, VEL_OUT: -7.01, MS_MPC: 24774.57, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.00, gz: -0.18, OX: -0.00
1746536424.3218946 N:   25, t: 59159511, dt: 16515, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -3.71, D: -0.19, VEL_OUT: -12.09, MS_MPC: 24774.57, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.00, gz: -0.31, OX: -0.03
1746536424.3268824 N:   30, t: 59262835, dt: 24284, ENC_DEG: 17.14, REF:  0.00, VEL_RAW: -1.81, VEL_AVG:  0.14, I: -4.91, D:  0.25, VEL_OUT: -8.78, MS_MPC: 24774.57, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.24, gz: -0.37, OX:  0.00
1746536424.4250565 N:   31, t: 59342619, dt: 79784, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -0.28, VEL_AVG:  0.03, I: -4.94, D:  0.11, VEL_OUT: -8.99, MS_MPC: 24770.15, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.37, gz:  0.24, OX: -0.01
1746536424.4836488 N:   32, t: 59362688, dt: 20069, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -5.06, D: -0.09, VEL_OUT: -12.26, MS_MPC: 24770.15, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.18, gy: -0.43, gz:  0.24, OX:  0.04
1746536424.490041  N:   33, t: 59378706, dt: 16018, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  1.37, VEL_AVG:  0.15, I: -5.20, D: -0.03, VEL_OUT: -12.11, MS_MPC: 24774.57, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.31, gy: -0.43, gz: -0.24, OX:  0.02
1746536424.4960244 N:   34, t: 59399023, dt: 20317, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.13, I: -5.33, D:  0.02, VEL_OUT: -11.81, MS_MPC: 24770.15, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.61, gz: -0.92, OX:  0.02
1746536424.5031898 N:   36, t: 59439968, dt: 21551, ENC_DEG: 17.10, REF:  0.00, VEL_RAW: -2.04, VEL_AVG: -0.02, I: -5.58, D:  0.20, VEL_OUT: -9.40, MS_MPC: 24765.73, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.67, gz: -1.04, OX:  0.00
1746536424.5471148 N:   39, t: 59497905, dt: 18357, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -6.24, D:  0.00, VEL_OUT: -14.38, MS_MPC: 24774.57, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.43, gz: -0.24, OX: -0.01
1746536424.5531838 N:   40, t: 59522337, dt: 24432, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.09, I: -6.32, D:  0.11, VEL_OUT: -12.44, MS_MPC: 24770.15, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.06, gy: -0.06, gz:  0.31, OX:  0.01
