1746537143.6643844 N:   22, t: 28631902, dt: 19231, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -2.29, VEL_AVG: -0.07, I: -1.81, D:  0.05, VEL_OUT: -3.80, MS_MPC: 21766.67, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.49, gz: -0.24, OX: -0.01
1746537143.7130358 N:   23, t: 28650968, dt: 19066, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.11, I: -1.92, D: -0.04, VEL_OUT: -5.27, MS_MPC: 21771.86, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.49, gz:  0.18, OX: -0.00
1746537143.7193348 N:   27, t: 28735945, dt: 25332, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  1.73, VEL_AVG: -0.00, I: -2.14, D:  0.02, VEL_OUT: -4.13, MS_MPC: 21777.05, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.00, gz:  0.12, OX: -0.00
1746537143.7253768 N:   28, t: 28752588, dt: 16643, ENC_DEG:  3.45, REF:  0.00, VEL_RAW: -1.32, VEL_AVG: -0.02, I: -2.17, D: -0.02, VEL_OUT: -4.77, MS_MPC: 21771.86, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.31, OX:  0.04
1746537143.7722726 N:   29, t: 28769900, dt: 17312, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -2.29, D: -0.10, VEL_OUT: -6.81, MS_MPC: 21771.86, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.31, OX: -0.02
1746537143.833094  N:   30, t: 28795305, dt: 25405, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  0.86, VEL_AVG: -0.05, I: -2.34, D:  0.07, VEL_OUT: -4.48, MS_MPC: 21777.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.06, gz:  0.31, OX:  0.01
1746537143.839343  N:   31, t: 28810111, dt: 14806, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -2.39, D:  0.00, VEL_OUT: -5.30, MS_MPC: 21777.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.18, gz: -0.06, OX:  0.02
1746537143.950554  N:   32, t: 28830210, dt: 20099, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -2.54, D: -0.09, VEL_OUT: -7.44, MS_MPC: 21777.05, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.12, gz: -0.61, OX: -0.04
1746537143.9565413 N:   33, t: 28852370, dt: 22160, ENC_DEG:  3.45, REF:  0.00, VEL_RAW: -0.99, VEL_AVG: -0.24, I: -2.78, D: -0.10, VEL_OUT: -8.92, MS_MPC: 21771.86, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.31, gz: -0.67, OX: -0.09
1746537143.962525  N:   36, t: 28911287, dt: 18196, ENC_DEG:  3.45, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.17, I: -3.06, D: -0.10, VEL_OUT: -8.81, MS_MPC: 21771.86, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.43, gy:  0.06, gz: -0.24, OX:  0.01
1746537144.0145502 N:   37, t: 28934993, dt: 23706, ENC_DEG:  3.41, REF:  0.00, VEL_RAW: -1.85, VEL_AVG: -0.40, I: -3.46, D: -0.23, VEL_OUT: -13.20, MS_MPC: 21761.48, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.37, gy: -0.24, gz: -0.43, OX: -0.02
1746537144.020531  N:   42, t: 29030218, dt: 20441, ENC_DEG:  3.49, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.21, I: -4.13, D:  0.16, VEL_OUT: -8.76, MS_MPC: 21782.24, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.00, OX:  0.01
1746537144.0262034 N:   43, t: 29050640, dt: 20422, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -3.23, VEL_AVG: -0.06, I: -4.19, D:  0.15, VEL_OUT: -7.43, MS_MPC: 21766.67, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.24, gz: -0.31, OX: -0.04
1746537144.0321863 N:   44, t: 29073822, dt: 23182, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  1.90, VEL_AVG:  0.10, I: -4.29, D: -0.04, VEL_OUT: -10.00, MS_MPC: 21777.05, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.31, gz: -0.49, OX: -0.06
