1746536648.0526116 N:   22, t: 28076966, dt: 20530, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.18, I: -3.59, D: -0.09, VEL_OUT: -9.89, MS_MPC: 22657.76, ax: -0.00, ay: -0.03, az:  1.00, gx:  0.46, gy:  0.12, gz: -0.40, OX: -0.02
1746536648.0586596 N:   23, t: 28096442, dt: 19476, ENC_DEG:  7.38, REF:  0.00, VEL_RAW:  5.64, VEL_AVG:  0.46, I: -4.05, D: -0.28, VEL_OUT: -15.55, MS_MPC: 22682.70, ax:  0.00, ay: -0.03, az:  1.00, gx:  0.46, gy: -0.06, gz:  0.09, OX: -0.05
1746536648.063863  N:   26, t: 28155319, dt: 16173, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -2.72, VEL_AVG:  0.02, I: -4.47, D:  0.15, VEL_OUT: -7.65, MS_MPC: 22662.74, ax: -0.00, ay: -0.03, az:  1.00, gx:  0.03, gy: -0.49, gz:  1.74, OX:  0.04
1746536648.0704477 N:   28, t: 28236578, dt: 21464, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -4.69, D:  0.00, VEL_OUT: -10.46, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -1.13, gy: -0.37, gz:  1.68, OX:  0.07
1746536648.1101093 N:   29, t: 28335092, dt: 98514, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -0.45, VEL_AVG: -0.01, I: -4.70, D:  0.10, VEL_OUT: -8.48, MS_MPC: 22657.76, ax: -0.01, ay: -0.03, az:  1.01, gx: -0.34, gy: -0.31, gz: -0.89, OX: -0.04
1746536648.2856815 N:   30, t: 28357421, dt: 22329, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  2.95, VEL_AVG: -0.03, I: -4.73, D: -0.02, VEL_OUT: -10.00, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.01, gx: -0.52, gy:  0.06, gz: -0.58, OX:  0.06
1746536648.2911835 N:   31, t: 28375641, dt: 18220, ENC_DEG:  7.25, REF:  0.00, VEL_RAW: -4.82, VEL_AVG: -0.18, I: -4.91, D: -0.15, VEL_OUT: -13.14, MS_MPC: 22652.76, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.40, gy:  0.43, gz: -0.27, OX:  0.04
1746536648.2981296 N:   32, t: 28394914, dt: 19273, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  2.28, VEL_AVG: -0.09, I: -5.00, D:  0.09, VEL_OUT: -9.98, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  0.99, gx: -0.21, gy:  0.49, gz: -0.40, OX:  0.02
1746536648.3040712 N:   33, t: 28419262, dt: 24348, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  1.80, VEL_AVG:  0.06, I: -5.06, D:  0.03, VEL_OUT: -10.44, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  0.99, gx: -0.15, gy:  0.43, gz: -0.46, OX: -0.01
1746536648.3090851 N:   38, t: 28518666, dt: 23303, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.00, I: -5.78, D:  0.15, VEL_OUT: -10.08, MS_MPC: 22662.74, ax: -0.00, ay: -0.02, az:  0.99, gx: -0.15, gy:  0.43, gz:  1.07, OX:  0.01
