1746534950.0903964 N:   22, t: 65419131, dt: 24589, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  0.89, VEL_AVG:  0.38, I: -5.75, D: -0.29, VEL_OUT: -18.25, MS_MPC: 27313.40, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.06, gz: -0.37, OX:  0.01
1746534950.0973523 N:   23, t: 65438162, dt: 19031, ENC_DEG: 31.31, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.32, I: -6.07, D:  0.06, VEL_OUT: -14.74, MS_MPC: 27306.64, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.18, gz: -0.24, OX:  0.05
1746534950.143243  N:   24, t: 65456208, dt: 18046, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -1.22, VEL_AVG: -0.17, I: -6.24, D:  0.15, VEL_OUT: -12.59, MS_MPC: 27303.26, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.06, gz: -0.06, OX:  0.03
1746534950.2638824 N:   26, t: 65497336, dt: 23092, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -1.90, VEL_AVG: -0.49, I: -6.76, D: -0.45, VEL_OUT: -22.87, MS_MPC: 27303.26, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.55, gy:  0.00, gz: -0.06, OX: -0.03
1746534950.324688  N:   27, t: 65514398, dt: 17062, ENC_DEG: 31.29, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -6.93, D:  0.31, VEL_OUT: -12.49, MS_MPC: 27303.26, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.73, gy: -0.12, gz:  0.06, OX:  0.03
1746534950.4430273 N:   28, t: 65535554, dt: 21156, ENC_DEG: 31.31, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.18, I: -7.11, D: -0.00, VEL_OUT: -15.97, MS_MPC: 27306.64, ax:  0.01, ay:  0.03, az:  1.00, gx:  0.67, gy: -0.49, gz: -0.24, OX:  0.78
1746534950.449008  N:   29, t: 65553843, dt: 18289, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  2.40, VEL_AVG: -0.16, I: -7.26, D:  0.02, VEL_OUT: -15.88, MS_MPC: 27313.40, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy: -0.67, gz: -0.55, OX: -0.06
1746534950.4559896 N:   34, t: 65655131, dt: 20334, ENC_DEG: 31.25, REF:  0.00, VEL_RAW: -3.24, VEL_AVG: -0.41, I: -8.42, D: -0.34, VEL_OUT: -24.39, MS_MPC: 27296.49, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.12, gz:  0.18, OX:  0.02
1746534950.4615831 N:   36, t: 65715305, dt: 20119, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.16, I: -8.61, D: -0.12, VEL_OUT: -20.00, MS_MPC: 27313.40, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.06, gz: -0.06, OX: -0.01
1746534950.468695  N:   38, t: 65775303, dt: 20090, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.20, I: -8.86, D: -0.16, VEL_OUT: -21.33, MS_MPC: 27316.77, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.12, gz: -0.06, OX: -0.01
1746534950.4751625 N:   39, t: 65875034, dt: 99731, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -0.22, VEL_AVG:  0.19, I: -9.05, D:  0.02, VEL_OUT: -19.76, MS_MPC: 27313.40, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.55, OX: -0.01
1746534950.5658536 N:   40, t: 65893853, dt: 18819, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -3.50, VEL_AVG: -0.19, I: -9.24, D: -0.01, VEL_OUT: -20.49, MS_MPC: 27303.26, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.24, gz: -0.31, OX: -0.01
1746534950.5721142 N:   41, t: 65914123, dt: 20270, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.21, I: -9.45, D: -0.02, VEL_OUT: -21.23, MS_MPC: 27310.02, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.24, gz: -0.12, OX:  0.00
1746534950.5788858 N:   42, t: 65935235, dt: 21112, ENC_DEG: 31.29, REF:  0.00, VEL_RAW: -2.08, VEL_AVG: -0.21, I: -9.66, D:  0.00, VEL_OUT: -21.39, MS_MPC: 27303.26, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.31, gz:  0.06, OX:  0.04
1746534950.58389   N:   43, t: 65954220, dt: 18985, ENC_DEG: 31.31, REF:  0.00, VEL_RAW:  1.16, VEL_AVG: -0.21, I: -9.87, D:  0.00, VEL_OUT: -21.80, MS_MPC: 27306.64, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.18, gz:  0.06, OX:  0.07
1746534950.5898733 N:   44, t: 65974379, dt: 20159, ENC_DEG: 31.27, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.39, I: -10.26, D: -0.18, VEL_OUT: -26.23, MS_MPC: 27299.88, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.37, gy: -0.24, gz:  0.00, OX:  0.01
1746534950.596856  N:   45, t: 65996264, dt: 21885, ENC_DEG: 31.36, REF:  0.00, VEL_RAW:  4.02, VEL_AVG:  0.04, I: -10.30, D:  0.35, VEL_OUT: -17.53, MS_MPC: 27313.40, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.55, gy: -0.49, gz: -0.24, OX: -0.08
1746534950.6819382 N:   46, t: 66015233, dt: 18969, ENC_DEG: 31.31, REF:  0.00, VEL_RAW: -2.32, VEL_AVG:  0.12, I: -10.42, D: -0.08, VEL_OUT: -22.79, MS_MPC: 27306.64, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.67, gy: -0.37, gz: -0.37, OX: -0.04
