time,motor_top
148.53125,997.119478
170.109375,1001.802447
196.75,1005.995743
216.9453125,1013.090576
248.328125,975.900238
272.8046875,994.208447
472.7890625,988.374552
492.2734375,990.842354
513.5234375,1003.035378
537.171875,1003.076087
558.2265625,1008.838728
579.0390625,1005.642606
598.2734375,1006.730418
617.8203125,1007.020507
641.2109375,1024.068468
661.7734375,1018.241514
685.984375,1012.925795
765.0546875,1015.112276
783.0078125,1014.360505
803.3203125,1011.044706
823.375,1012.375719
850.2734375,1005.149646
872.2578125,1014.313883
893.71875,1023.13096
912.4375,1011.239852
933.5859375,1028.091363
954.8046875,1016.267199
973.9375,1031.623121
994.390625,1016.797008
1069.7734375,1014.641182
