time,Index
5.0703125,834.410563
9.578125,1070.808867
13.125,1248.506078
16.9375,1248.15715
20.75,842.348883
24.3671875,1064.494901
27.8828125,1065.651867
31.3984375,1248.87625
35.1484375,845.623218
38.6015625,1252.186192
42.34375,1064.251274
45.8671875,843.183431
50.234375,1250.717734
53.4921875,854.015267
56.90625,1071.989892
60.421875,1068.952567
63.484375,850.112822
67.359375,1243.301947
71.5390625,1253.006267
75.21875,1065.442815
78.8359375,1066.923019
82.6796875,842.426405
85.8984375,849.428351
90.0390625,1248.797346
93.359375,1069.904159
96.875,1253.055862
100.3984375,1074.438542
104.0078125,849.367518
106.8359375,1252.261277
109.796875,851.379381
