Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3002,4380.0,23.453125,34.21875,Tar3,10.765625
2,5730,6606.0,44.765625,51.609375,Tar2,6.84375
3,18668,19488.0,145.84375,152.25,Tar1,6.40625
4,20781,21847.0,162.3515625,170.6796875,Tar1,8.328125
5,23143,24006.0,180.8046875,187.546875,Tar2,6.7421875
6,25252,26254.0,197.28125,205.109375,Tar3,7.828125
7,27857,29031.0,217.6328125,226.8046875,Tar2,9.171875
8,38642,40083.0,301.890625,313.1484375,Tar1,11.2578125
9,41415,42712.0,323.5546875,333.6875,Tar3,10.1328125
10,52055,53395.0,406.6796875,417.1484375,Tar2,10.46875
11,54926,55955.0,429.109375,437.1484375,Tar3,8.0390625
12,57650,58590.0,450.390625,457.734375,Tar1,7.34375
13,59950,60890.0,468.359375,475.703125,Tar1,7.34375
14,62394,63653.0,487.453125,497.2890625,Tar2,9.8359375
15,65391,66451.0,510.8671875,519.1484375,Tar3,8.28125
16,68153,69202.0,532.4453125,540.640625,Tar2,8.1953125
17,70837,72283.0,553.4140625,564.7109375,Tar3,11.296875
18,73952,74927.0,577.75,585.3671875,Tar1,7.6171875
19,76497,77913.0,597.6328125,608.6953125,Tar3,11.0625
20,79591,80620.0,621.8046875,629.84375,Tar1,8.0390625
21,82295,83538.0,642.9296875,652.640625,Tar2,9.7109375
22,85341,86376.0,666.7265625,674.8125,Tar1,8.0859375
23,88154,89255.0,688.703125,697.3046875,Tar3,8.6015625
24,91016,92006.0,711.0625,718.796875,Tar2,7.734375
25,93582,94698.0,731.109375,739.828125,Tar2,8.71875
26,96362,97406.0,752.828125,760.984375,Tar1,8.15625
27,98934,99855.0,772.921875,780.1171875,Tar3,7.1953125
28,101326,102330.0,791.609375,799.453125,Tar1,7.84375
29,103870,105084.0,811.484375,820.96875,Tar2,9.484375
30,106744,107937.0,833.9375,843.2578125,Tar3,9.3203125
