time,motor_top
26.6953125,1002.880195
45.0390625,1029.510455
60.5546875,1043.518152
77.859375,1049.640811
184.7578125,1038.704771
207.40625,1035.651986
230.1640625,1047.088901
247.3046875,1020.523236
266.796875,1029.573597
281.3359375,1017.40337
306.0390625,1028.312684
326.8515625,1039.420947
347.71875,1122.469276
443.734375,1011.818075
464.5625,1057.802915
482.9140625,1037.258458
504.25,1018.141273
520.171875,1043.744821
541.0078125,1035.11523
557.09375,1049.884418
577.984375,1021.279458
609.3515625,1042.974829
626.453125,1033.90813
643.6171875,1027.871988
663.0390625,1102.705844
685.484375,1027.158725
700.6171875,1029.763281
713.8828125,992.307643
727.4921875,1028.031179
812.0625,1017.467646
