time,motor_top
23.8671875,1029.491562
41.3828125,1046.377034
55.25,1057.324327
69.8671875,1046.391571
87.5078125,1040.058432
102.3046875,1056.186835
119.8125,1032.838497
135.65625,1056.246871
149.46875,1058.000603
164.21875,1037.762505
178.4609375,1039.197858
192.765625,1040.808402
207.125,1032.744279
284.4375,1048.560792
299.7890625,1037.739503
312.0625,1049.920683
325.5,1022.530135
338.8828125,1003.298133
430.84375,1033.579208
445.203125,1022.96454
460.0625,1036.757754
475.046875,1042.378502
489.84375,1043.741565
572.75,1049.216693
586.0703125,1044.288085
599.6328125,1035.382202
613.3828125,1036.586023
631.6953125,1036.562685
645.6484375,1046.046598
661.25,1024.733127
