Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3126,4002.0,24.421875,31.265625,Tar2,6.84375
2,5363,6128.0,41.8984375,47.875,Tar1,5.9765625
3,7159,7892.0,55.9296875,61.65625,Tar3,5.7265625
4,9032,9991.0,70.5625,78.0546875,Tar1,7.4921875
5,11255,12007.0,87.9296875,93.8046875,Tar3,5.875
6,13183,13958.0,102.9921875,109.046875,Tar2,6.0546875
7,15411,16187.0,120.3984375,126.4609375,Tar3,6.0625
8,17462,18235.0,136.421875,142.4609375,Tar2,6.0390625
9,19207,19938.0,150.0546875,155.765625,Tar1,5.7109375
10,21092,21733.0,164.78125,169.7890625,Tar3,5.0078125
11,22898,23627.0,178.890625,184.5859375,Tar1,5.6953125
12,24731,25470.0,193.2109375,198.984375,Tar2,5.7734375
13,26602,27398.0,207.828125,214.046875,Tar3,6.21875
14,36499,37418.0,285.1484375,292.328125,Tar2,7.1796875
15,38446,39111.0,300.359375,305.5546875,Tar1,5.1953125
16,40051,40777.0,312.8984375,318.5703125,Tar2,5.671875
17,41743,42417.0,326.1171875,331.3828125,Tar3,5.265625
18,43467,44087.0,339.5859375,344.4296875,Tar1,4.84375
19,55221,55940.0,431.4140625,437.03125,Tar3,5.6171875
20,57073,57800.0,445.8828125,451.5625,Tar2,5.6796875
21,59052,59787.0,461.34375,467.0859375,Tar1,5.7421875
22,60907,61681.0,475.8359375,481.8828125,Tar2,6.046875
23,62790,63468.0,490.546875,495.84375,Tar1,5.296875
24,73405,74013.0,573.4765625,578.2265625,Tar3,4.75
25,75127,75746.0,586.9296875,591.765625,Tar2,4.8359375
26,76883,77687.0,600.6484375,606.9296875,Tar1,6.28125
27,78670,79437.0,614.609375,620.6015625,Tar3,5.9921875
28,80931,81703.0,632.2734375,638.3046875,Tar1,6.03125
29,82724,83429.0,646.28125,651.7890625,Tar3,5.5078125
30,84717,85575.0,661.8515625,668.5546875,Tar2,6.703125
