1746019968.996979  N:   20, t: 26842772, dt: 17401, ENC_DEG: 59.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.33, I: -3.84, D: -0.17, VEL_OUT: -12.69, MS_MPC: 29598.41, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.61, gy: -0.49, gz:  0.00, OX:  0.03
1746019969.0029812 N:   21, t: 26861021, dt: 18249, ENC_DEG: 59.83, REF:  0.00, VEL_RAW:  3.61, VEL_AVG:  0.26, I: -4.11, D:  0.07, VEL_OUT: -10.18, MS_MPC: 29597.08, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.73, gz:  0.06, OX:  0.01
1746019969.0092542 N:   22, t: 26884300, dt: 23279, ENC_DEG: 59.79, REF:  0.00, VEL_RAW: -1.89, VEL_AVG:  0.02, I: -4.12, D:  0.25, VEL_OUT: -5.91, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.98, gz:  0.06, OX:  0.02
1746019969.0151627 N:   23, t: 26901753, dt: 17453, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  1.26, VEL_AVG:  0.20, I: -4.33, D: -0.19, VEL_OUT: -12.60, MS_MPC: 29597.53, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.12, gy: -1.16, gz: -0.06, OX:  0.07
1746019969.116875  N:   24, t: 26922486, dt: 20733, ENC_DEG: 59.83, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.40, I: -4.72, D: -0.19, VEL_OUT: -15.38, MS_MPC: 29597.08, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.24, gy: -1.04, gz: -0.79, OX:  0.02
1746019969.1230764 N:   25, t: 26942731, dt: 20245, ENC_DEG: 59.79, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.22, I: -4.94, D:  0.18, VEL_OUT: -10.26, MS_MPC: 29597.97, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.31, gy: -1.28, gz: -1.53, OX: -0.07
1746019969.128516  N:   26, t: 26965976, dt: 23245, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -4.98, D:  0.18, VEL_OUT: -8.55, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy: -1.28, gz: -1.71, OX: -0.04
1746019969.134686  N:   27, t: 26982470, dt: 16494, ENC_DEG: 59.77, REF:  0.00, VEL_RAW: -1.33, VEL_AVG: -0.07, I: -5.05, D: -0.03, VEL_OUT: -11.17, MS_MPC: 29598.41, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.61, gy: -1.10, gz: -1.95, OX: -0.13
1746019969.1402142 N:   29, t: 27022227, dt: 20687, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  2.12, VEL_AVG: -0.16, I: -5.47, D:  0.10, VEL_OUT: -11.55, MS_MPC: 29597.97, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.73, gy: -0.67, gz: -0.85, OX:  0.06
1746019969.177553  N:   30, t: 27043158, dt: 20931, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -5.59, D:  0.03, VEL_OUT: -12.12, MS_MPC: 29597.97, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.18, gz: -0.55, OX:  0.10
1746019969.1833267 N:   31, t: 27062286, dt: 19128, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -5.72, D:  0.00, VEL_OUT: -12.70, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.61, gy:  0.12, gz: -0.43, OX:  0.03
1746019969.2368698 N:   32, t: 27082716, dt: 20430, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -5.85, D:  0.00, VEL_OUT: -12.95, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.85, gy:  0.18, gz: -0.61, OX: -0.01
1746019969.2437363 N:   33, t: 27102802, dt: 20086, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -6.02, D: -0.05, VEL_OUT: -14.28, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.92, gy:  0.12, gz: -0.73, OX: -0.00
1746019969.2494025 N:   34, t: 27123730, dt: 20928, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.07, I: -6.09, D:  0.11, VEL_OUT: -11.83, MS_MPC: 29597.53, ax: -0.00, ay:  0.01, az:  1.00, gx:  1.16, gy: -0.49, gz: -0.73, OX: -0.04
