1746019313.368592  N:   25, t: 53271956, dt: 18070, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -2.43, VEL_AVG:  0.06, I: -4.32, D:  0.01, VEL_OUT: -9.15, MS_MPC: 29469.90, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.37, gy: -0.18, gz:  0.43, OX:  0.06
1746019313.3746152 N:   26, t: 53295306, dt: 23350, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  1.88, VEL_AVG:  0.30, I: -4.62, D: -0.24, VEL_OUT: -14.66, MS_MPC: 29472.00, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.37, gy: -0.43, gz: -0.12, OX: -0.01
1746019313.3805585 N:   27, t: 53311928, dt: 16622, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -3.97, VEL_AVG: -0.01, I: -4.63, D:  0.30, VEL_OUT: -6.36, MS_MPC: 29468.85, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.31, gz: -0.49, OX: -0.00
1746019313.3865383 N:   32, t: 53415401, dt: 17025, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  3.87, VEL_AVG:  0.12, I: -5.47, D:  0.02, VEL_OUT: -11.95, MS_MPC: 29472.00, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.06, gz:  0.67, OX:  0.11
1746019313.392525  N:   34, t: 53458343, dt: 26119, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  2.52, VEL_AVG:  0.13, I: -5.75, D:  0.02, VEL_OUT: -12.60, MS_MPC: 29472.00, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.18, gy: -0.18, gz: -0.31, OX: -0.07
1746019313.4289832 N:   35, t: 53551837, dt: 93494, ENC_DEG: 51.70, REF:  0.00, VEL_RAW: -0.24, VEL_AVG:  0.11, I: -5.87, D:  0.02, VEL_OUT: -12.65, MS_MPC: 29470.96, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.79, gy:  0.06, gz:  1.10, OX:  0.03
1746019313.4342678 N:   36, t: 53572970, dt: 21133, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.28, I: -6.14, D: -0.16, VEL_OUT: -16.68, MS_MPC: 29469.90, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.18, gy:  0.12, gz:  0.12, OX: -0.20
1746019313.4404252 N:   37, t: 53592195, dt: 19225, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.17, I: -6.31, D:  0.11, VEL_OUT: -13.23, MS_MPC: 29468.85, ax:  0.00, ay: -0.01, az:  0.99, gx: -0.37, gy: -0.18, gz:  0.49, OX:  0.01
1746019313.4890966 N:   38, t: 53616602, dt: 24407, ENC_DEG: 51.64, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.40, I: -6.71, D: -0.23, VEL_OUT: -19.74, MS_MPC: 29467.79, ax:  0.00, ay: -0.01, az:  0.99, gx:  0.06, gy: -0.24, gz:  1.40, OX: -0.02
1746019313.4951    N:   39, t: 53636590, dt: 19988, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  2.20, VEL_AVG:  0.11, I: -6.82, D:  0.29, VEL_OUT: -11.91, MS_MPC: 29469.90, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.12, gz:  2.69, OX:  0.20
1746019313.501067  N:   40, t: 53652736, dt: 16146, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  2.72, VEL_AVG:  0.34, I: -7.16, D: -0.23, VEL_OUT: -20.00, MS_MPC: 29472.00, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.24, gz:  2.93, OX:  0.24
1746019313.610219  N:   41, t: 53673191, dt: 20455, ENC_DEG: 51.70, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.25, I: -7.41, D:  0.09, VEL_OUT: -16.44, MS_MPC: 29470.96, ax:  0.00, ay:  0.02, az:  1.00, gx: -0.12, gy:  0.55, gz:  1.95, OX:  0.03
1746019313.6152089 N:   42, t: 53693415, dt: 20224, ENC_DEG: 51.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -7.66, D:  0.00, VEL_OUT: -17.83, MS_MPC: 29470.96, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.12, gz: -0.24, OX: -0.09
1746019313.621193  N:   43, t: 53714732, dt: 21317, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.34, I: -8.00, D: -0.09, VEL_OUT: -20.22, MS_MPC: 29472.00, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.67, gz: -0.79, OX: -0.03
1746019313.6271756 N:   44, t: 53732065, dt: 17333, ENC_DEG: 51.70, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.09, I: -8.09, D:  0.24, VEL_OUT: -14.66, MS_MPC: 29470.96, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.55, gz: -0.43, OX:  0.07
1746019313.6691232 N:   47, t: 53796910, dt: 22537, ENC_DEG: 51.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -8.52, D:  0.02, VEL_OUT: -18.13, MS_MPC: 29468.85, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.98, gy: -0.31, gz: -0.55, OX:  0.01
1746019313.6754007 N:   48, t: 53815606, dt: 18696, ENC_DEG: 51.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -8.56, D:  0.09, VEL_OUT: -16.68, MS_MPC: 29468.85, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.67, gy: -0.24, gz: -0.55, OX:  0.03
1746019313.6818802 N:   49, t: 53836644, dt: 21038, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.14, I: -8.70, D: -0.10, VEL_OUT: -19.76, MS_MPC: 29469.90, ax: -0.00, ay:  0.02, az:  1.00, gx: -0.06, gy: -0.12, gz: -1.28, OX:  0.17
1746019313.8479218 N:   50, t: 53854184, dt: 17540, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -1.25, VEL_AVG:  0.11, I: -8.81, D:  0.03, VEL_OUT: -18.42, MS_MPC: 29468.85, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.43, gy: -0.31, gz: -2.50, OX: -0.06
1746019313.8535213 N:   51, t: 53873346, dt: 19162, ENC_DEG: 51.70, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.12, I: -8.93, D: -0.01, VEL_OUT: -19.11, MS_MPC: 29470.96, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.49, gy: -0.85, gz: -2.14, OX: -0.17
1746019313.8594158 N:   52, t: 53893624, dt: 20278, ENC_DEG: 51.59, REF:  0.00, VEL_RAW: -5.42, VEL_AVG: -0.56, I: -9.49, D: -0.44, VEL_OUT: -29.00, MS_MPC: 29465.67, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.37, gy: -0.49, gz: -0.67, OX:  0.01
1746019313.8654015 N:   53, t: 53917172, dt: 23548, ENC_DEG: 51.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.47, I: -9.96, D:  0.09, VEL_OUT: -23.73, MS_MPC: 29465.67, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.49, gy:  0.24, gz:  0.00, OX:  0.02
1746019313.8718963 N:   56, t: 53975599, dt: 22267, ENC_DEG: 51.64, REF:  0.00, VEL_RAW: -2.96, VEL_AVG: -0.18, I: -10.46, D: -0.14, VEL_OUT: -24.18, MS_MPC: 29467.79, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.37, gz:  0.12, OX:  0.00
1746019313.877564  N:   57, t: 54036153, dt: 60554, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  0.73, VEL_AVG: -0.03, I: -10.50, D:  0.15, VEL_OUT: -19.83, MS_MPC: 29469.90, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.61, gz: -0.12, OX: -0.05
1746019313.9095185 N:   58, t: 54058195, dt: 22042, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -1.00, VEL_AVG: -0.03, I: -10.53, D:  0.00, VEL_OUT: -21.40, MS_MPC: 29468.85, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.61, gz: -0.49, OX:  0.00
1746019313.9148562 N:   59, t: 54074457, dt: 16262, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  4.05, VEL_AVG:  0.30, I: -10.84, D: -0.27, VEL_OUT: -27.42, MS_MPC: 29472.00, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.31, gz: -0.49, OX: -0.03
1746019314.0252397 N:   60, t: 54091948, dt: 17491, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.30, I: -11.14, D:  0.00, VEL_OUT: -25.32, MS_MPC: 29472.00, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.12, gz: -0.18, OX: -0.01
1746019314.0307944 N:   61, t: 54112891, dt: 20943, ENC_DEG: 51.70, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.13, I: -11.27, D:  0.17, VEL_OUT: -22.09, MS_MPC: 29470.96, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.00, gz:  0.43, OX:  0.07
1746019314.03678   N:   62, t: 54133680, dt: 20789, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.32, I: -11.59, D: -0.19, VEL_OUT: -28.33, MS_MPC: 29472.00, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.79, gy:  0.24, gz:  0.06, OX:  0.01
1746019314.0427637 N:   63, t: 54156603, dt: 22923, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -1.92, VEL_AVG: -0.03, I: -11.62, D:  0.29, VEL_OUT: -20.59, MS_MPC: 29469.90, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.85, gy:  0.49, gz: -0.31, OX: -0.08
1746019314.0487633 N:   65, t: 54198647, dt: 26046, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.42, I: -12.47, D:  0.00, VEL_OUT: -29.16, MS_MPC: 29469.90, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.43, gy:  0.06, gz:  0.31, OX:  0.01
