1746176009.1750016 N:   22, t: 23974221, dt: 19357, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.34, I: -3.45, D: -0.08, VEL_OUT: -11.10, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.79, gy: -0.03, gz:  2.69, OX:  0.00
1746176009.228918  N:   23, t: 23995670, dt: 21449, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -3.58, D:  0.21, VEL_OUT: -6.36, MS_MPC: 26252.24, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.92, gy:  0.09, gz:  3.11, OX:  0.05
1746176009.234656  N:   24, t: 24014467, dt: 18797, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  1.17, VEL_AVG:  0.15, I: -3.73, D: -0.02, VEL_OUT: -9.07, MS_MPC: 26244.09, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.85, gy:  0.34, gz:  3.42, OX:  0.04
1746176009.2402358 N:   25, t: 24033909, dt: 19442, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -1.13, VEL_AVG:  0.05, I: -3.78, D:  0.09, VEL_OUT: -7.13, MS_MPC: 26252.24, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.67, gy:  0.52, gz:  3.30, OX:  0.02
1746176009.2461884 N:   26, t: 24054396, dt: 20487, ENC_DEG: 80.20, REF:  0.00, VEL_RAW:  4.29, VEL_AVG:  0.41, I: -4.19, D: -0.36, VEL_OUT: -16.04, MS_MPC: 26219.58, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.67, gy:  0.40, gz:  3.05, OX:  0.00
1746176009.3443656 N:   27, t: 24074887, dt: 20491, ENC_DEG: 80.09, REF:  0.00, VEL_RAW: -5.36, VEL_AVG: -0.04, I: -4.22, D:  0.37, VEL_OUT: -5.11, MS_MPC: 26260.37, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.61, gy:  0.46, gz:  3.17, OX:  0.01
1746176009.3499908 N:   28, t: 24097262, dt: 22375, ENC_DEG: 80.09, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.22, I: -4.44, D: -0.18, VEL_OUT: -12.92, MS_MPC: 26260.37, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.21, gz:  2.87, OX:  0.00
1746176009.3559768 N:   29, t: 24115438, dt: 18176, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  2.42, VEL_AVG:  0.15, I: -4.60, D:  0.07, VEL_OUT: -10.02, MS_MPC: 26244.09, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.58, gz:  2.56, OX:  0.00
1746176009.4071348 N:   30, t: 24138985, dt: 23547, ENC_DEG: 80.09, REF:  0.00, VEL_RAW: -1.87, VEL_AVG: -0.20, I: -4.80, D: -0.05, VEL_OUT: -12.07, MS_MPC: 26260.37, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.64, gz:  2.14, OX:  0.03
1746176009.4134223 N:   32, t: 24179508, dt: 23286, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -0.94, VEL_AVG:  0.01, I: -4.89, D:  0.08, VEL_OUT: -9.05, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.40, gz:  1.71, OX:  0.01
1746176009.4184084 N:   33, t: 24195433, dt: 15925, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -4.98, D: -0.09, VEL_OUT: -11.77, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.55, gy:  0.21, gz:  1.71, OX: -0.02
1746176009.4245498 N:   34, t: 24213602, dt: 18169, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -5.07, D:  0.00, VEL_OUT: -11.08, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.61, gy:  0.34, gz:  1.77, OX: -0.03
1746176009.4305348 N:   35, t: 24237212, dt: 23610, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -5.17, D:  0.00, VEL_OUT: -11.27, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.37, gy:  1.19, gz:  2.20, OX: -0.02
1746176009.4689257 N:   36, t: 24254220, dt: 17008, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  2.58, VEL_AVG:  0.21, I: -5.38, D: -0.12, VEL_OUT: -14.05, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.49, gy:  1.43, gz:  2.50, OX:  0.02
