1746175733.3540611 N:   24, t: 50848042, dt: 19552, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  2.25, VEL_AVG:  0.04, I: -4.65, D:  0.11, VEL_OUT: -8.63, MS_MPC: 24183.83, ax:  0.03, ay: -0.04, az:  1.01, gx: -2.04, gy: -0.34, gz: -1.37, OX:  0.06
1746175733.3590496 N:   27, t: 50908636, dt: 21697, ENC_DEG: 14.24, REF:  0.00, VEL_RAW: -2.03, VEL_AVG: -0.09, I: -5.19, D:  0.14, VEL_OUT: -9.91, MS_MPC: 24179.23, ax:  0.03, ay: -0.03, az:  1.01, gx: -3.02, gy:  0.15, gz: -0.82, OX: -0.01
1746175733.3660297 N:   30, t: 50967511, dt: 18238, ENC_DEG: 14.24, REF:  0.00, VEL_RAW:  3.61, VEL_AVG:  0.19, I: -5.79, D: -0.08, VEL_OUT: -14.24, MS_MPC: 24179.23, ax:  0.02, ay: -0.02, az:  1.00, gx: -2.47, gy:  0.64, gz: -0.21, OX:  0.01
1746175733.465688  N:   31, t: 50986987, dt: 19476, ENC_DEG: 14.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -5.98, D:  0.00, VEL_OUT: -13.85, MS_MPC: 24179.23, ax:  0.02, ay: -0.03, az:  1.01, gx: -2.17, gy:  0.82, gz: -0.82, OX: -0.02
1746175733.471899  N:   32, t: 51008120, dt: 21133, ENC_DEG: 14.28, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.19, I: -6.17, D:  0.00, VEL_OUT: -14.21, MS_MPC: 24188.43, ax:  0.03, ay: -0.03, az:  1.00, gx: -1.86, gy:  1.31, gz: -0.52, OX: -0.05
1746175733.477849  N:   33, t: 51027622, dt: 19502, ENC_DEG: 14.31, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.48, I: -6.64, D: -0.29, VEL_OUT: -20.96, MS_MPC: 24193.02, ax:  0.03, ay: -0.03, az:  1.00, gx: -1.80, gy:  1.43, gz: -0.40, OX: -0.02
1746175733.4838324 N:   34, t: 51046898, dt: 19276, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -4.56, VEL_AVG:  0.10, I: -6.74, D:  0.38, VEL_OUT: -10.67, MS_MPC: 24174.63, ax:  0.03, ay: -0.03, az:  1.00, gx: -1.07, gy:  1.62, gz: -0.15, OX:  0.02
1746175733.4899876 N:   36, t: 51093587, dt: 25327, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -0.87, VEL_AVG: -0.08, I: -7.00, D:  0.11, VEL_OUT: -13.68, MS_MPC: 24174.63, ax:  0.02, ay: -0.02, az:  1.00, gx:  0.21, gy:  3.08, gz:  0.34, OX:  0.01
1746175733.5260317 N:   37, t: 51109187, dt: 15600, ENC_DEG: 14.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -7.08, D:  0.00, VEL_OUT: -14.91, MS_MPC: 24174.63, ax:  0.02, ay: -0.02, az:  1.00, gx:  0.52, gy:  3.02, gz:  0.34, OX:  0.04
1746175733.532016  N:   38, t: 51128409, dt: 19222, ENC_DEG: 14.24, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.08, I: -7.16, D: -0.00, VEL_OUT: -15.17, MS_MPC: 24179.23, ax:  0.02, ay: -0.02, az:  1.00, gx:  1.07, gy:  2.90, gz:  0.15, OX:  0.00
1746175733.6458812 N:   39, t: 51146820, dt: 18411, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.01, I: -7.17, D:  0.07, VEL_OUT: -13.76, MS_MPC: 24174.63, ax:  0.02, ay: -0.02, az:  0.99, gx:  1.74, gy:  2.78, gz: -0.34, OX: -0.08
1746175733.651886  N:   40, t: 51169664, dt: 22844, ENC_DEG: 14.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -7.38, D: -0.20, VEL_OUT: -18.88, MS_MPC: 24174.63, ax:  0.03, ay: -0.03, az:  1.00, gx:  2.11, gy:  2.35, gz: -0.34, OX: -0.07
1746175733.6579232 N:   41, t: 51188541, dt: 18877, ENC_DEG: 14.20, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.10, I: -7.48, D:  0.11, VEL_OUT: -14.86, MS_MPC: 24170.03, ax:  0.03, ay: -0.04, az:  1.00, gx:  2.29, gy:  2.23, gz:  0.15, OX: -0.01
