1746176114.7124767 N:   20, t: 23957449, dt: 20208, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -5.33, D:  0.11, VEL_OUT: -10.91, MS_MPC: 27883.49, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.24, gy:  1.22, gz:  0.52, OX:  0.07
1746176114.7194157 N:   21, t: 23976953, dt: 19504, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -5.55, D: -0.09, VEL_OUT: -14.28, MS_MPC: 27883.49, ax: -0.00, ay:  0.02, az:  0.99, gx:  0.31, gy:  0.55, gz:  1.01, OX:  0.27
1746176114.7244377 N:   22, t: 23998379, dt: 21426, ENC_DEG: 74.71, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.22, I: -5.77, D:  0.01, VEL_OUT: -13.60, MS_MPC: 27878.27, ax:  0.00, ay:  0.03, az:  1.00, gx:  0.61, gy:  0.49, gz:  0.15, OX:  0.02
1746176114.7306454 N:   26, t: 24078544, dt: 16220, ENC_DEG: 74.66, REF:  0.00, VEL_RAW: -2.71, VEL_AVG: -0.07, I: -6.46, D:  0.20, VEL_OUT: -11.55, MS_MPC: 27888.70, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.79, gy:  0.98, gz: -0.03, OX: -0.04
1746176114.7366052 N:   27, t: 24139096, dt: 60552, ENC_DEG: 74.64, REF:  0.00, VEL_RAW: -0.36, VEL_AVG: -0.10, I: -6.55, D: -0.03, VEL_OUT: -14.37, MS_MPC: 27893.90, ax:  0.01, ay:  0.02, az:  1.00, gx: -2.01, gy: -0.18, gz:  1.98, OX:  0.27
1746176114.7695699 N:   28, t: 24157643, dt: 18547, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  1.18, VEL_AVG: -0.30, I: -6.85, D: -0.20, VEL_OUT: -18.74, MS_MPC: 27888.70, ax:  0.01, ay:  0.04, az:  1.00, gx: -1.65, gy: -0.49, gz:  1.68, OX:  0.20
1746176114.7758217 N:   29, t: 24178317, dt: 20674, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.30, I: -7.15, D:  0.00, VEL_OUT: -17.30, MS_MPC: 27888.70, ax:  0.01, ay:  0.03, az:  1.00, gx: -1.16, gy: -0.67, gz: -0.21, OX: -0.01
1746176114.8300085 N:   30, t: 24200258, dt: 21941, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  1.00, VEL_AVG: -0.32, I: -7.47, D: -0.02, VEL_OUT: -18.28, MS_MPC: 27883.49, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.98, gy: -0.61, gz: -1.31, OX: -0.17
1746176114.835489  N:   31, t: 24217412, dt: 17154, ENC_DEG: 74.75, REF:  0.00, VEL_RAW:  3.84, VEL_AVG:  0.27, I: -7.74, D:  0.04, VEL_OUT: -17.79, MS_MPC: 27867.80, ax:  0.01, ay:  0.00, az:  1.00, gx: -1.22, gy:  0.12, gz: -1.74, OX: -0.14
1746176114.887407  N:   32, t: 24237938, dt: 20526, ENC_DEG: 74.71, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.09, I: -7.84, D:  0.18, VEL_OUT: -14.84, MS_MPC: 27878.27, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.59, gy:  0.67, gz: -1.98, OX: -0.11
