time,motor_top
24.5078125,1016.081046
48.875,1045.78359
66.25,1035.689472
86.328125,1048.836967
104.4765625,1021.618862
120.859375,1048.112422
136.515625,1051.218951
159.96875,1057.621109
179.9453125,1072.146971
199.1953125,1059.562345
217.4296875,1074.284398
236.1171875,1060.551408
252.5,1074.292342
268.6640625,1064.380069
286.5625,1070.118075
303.3984375,1049.330541
322.03125,1049.536288
339.984375,1042.291918
358.7578125,1046.599973
375.6484375,1045.829621
393.15625,1050.791179
414.359375,1071.637887
433.265625,1067.876592
463.5703125,1060.885855
479.1953125,1051.977112
496.25,1056.914843
513.3125,1061.749005
529.4140625,1047.950821
546.25,1042.918852
565.046875,1055.689505
