Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,3778,4372.0,29.515625,34.15625,Tar3,4.640625
2,5612,6845.0,43.84375,53.4765625,Tar1,9.6328125
3,7959,9306.0,62.1796875,72.703125,Tar2,10.5234375
4,10661,12167.0,83.2890625,95.0546875,Tar2,11.765625
5,13283,13870.0,103.7734375,108.359375,Tar3,4.5859375
6,14994,16088.0,117.140625,125.6875,Tar1,8.546875
7,17717,18145.0,138.4140625,141.7578125,Tar3,3.34375
8,19330,20192.0,151.015625,157.75,Tar1,6.734375
9,32470,33538.0,253.671875,262.015625,Tar2,8.34375
10,34903,35786.0,272.6796875,279.578125,Tar2,6.8984375
11,37251,37965.0,291.0234375,296.6015625,Tar1,5.578125
12,39597,40262.0,309.3515625,314.546875,Tar3,5.1953125
13,41682,42195.0,325.640625,329.6484375,Tar1,4.0078125
14,43281,43889.0,338.1328125,342.8828125,Tar2,4.75
15,44976,45634.0,351.375,356.515625,Tar3,5.140625
16,47267,47967.0,369.2734375,374.7421875,Tar3,5.46875
17,49356,50193.0,385.59375,392.1328125,Tar2,6.5390625
18,51638,52398.0,403.421875,409.359375,Tar1,5.9375
19,53550,54415.0,418.359375,425.1171875,Tar1,6.7578125
20,55858,56582.0,436.390625,442.046875,Tar2,5.65625
21,57772,58449.0,451.34375,456.6328125,Tar3,5.2890625
22,59741,60550.0,466.7265625,473.046875,Tar1,6.3203125
23,61953,62538.0,484.0078125,488.578125,Tar3,4.5703125
24,63547,64830.0,496.4609375,506.484375,Tar2,10.0234375
25,81889,82431.0,639.7578125,643.9921875,Tar2,4.234375
26,83436,84012.0,651.84375,656.34375,Tar1,4.5
27,85164,85708.0,665.34375,669.59375,Tar3,4.25
28,86868,87538.0,678.65625,683.890625,Tar1,5.234375
29,88834,89448.0,694.015625,698.8125,Tar2,4.796875
30,90577,91408.0,707.6328125,714.125,Tar3,6.4921875
