time,motor_top
27.5234375,1033.169546
43.1328125,1077.25278
61.5078125,1072.006861
81.8125,1069.879504
102.734375,1034.498414
115.953125,1045.327066
136.9375,1065.058887
149.390625,1069.077113
252.890625,1025.281227
270.921875,1056.867129
290.140625,1078.673819
308.28125,1045.323775
324.921875,1045.824726
337.390625,1020.934934
350.5078125,1043.247308
367.546875,1058.208451
384.3359375,1049.030847
402.3671875,1043.714962
417.578125,1037.819498
435.3125,1043.720561
450.359375,1057.259784
465.9609375,1053.11932
483.34375,1061.421989
495.8125,1043.041679
638.90625,1038.051733
650.9765625,1040.933199
664.7578125,1034.983698
677.875,1026.021926
693.2421875,1022.411636
706.9375,1038.237421
