1746017174.9389637 N:   18, t: 42832009, dt: 15338, ENC_DEG: 61.06, REF:  0.00, VEL_RAW: -1.43, VEL_AVG:  0.05, I: -3.10, D:  0.05, VEL_OUT: -6.21, MS_MPC: 29564.21, ax:  0.04, ay:  0.00, az:  1.00, gx: -0.03, gy:  2.14, gz: -2.99, OX: -0.08
1746017174.9459505 N:   19, t: 42853225, dt: 21216, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -3.28, D: -0.14, VEL_OUT: -9.83, MS_MPC: 29564.21, ax:  0.04, ay:  0.01, az:  0.99, gx: -0.27, gy:  3.05, gz: -1.71, OX:  0.02
1746017174.9539285 N:   20, t: 42873503, dt: 20278, ENC_DEG: 61.11, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.20, I: -3.48, D: -0.01, VEL_OUT: -9.01, MS_MPC: 29562.74, ax:  0.04, ay:  0.01, az:  0.99, gx: -0.46, gy:  2.87, gz: -1.53, OX:  0.01
1746017174.9978256 N:   21, t: 42892692, dt: 19189, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -0.09, I: -3.57, D:  0.11, VEL_OUT: -6.97, MS_MPC: 29564.93, ax:  0.05, ay:  0.01, az:  0.99, gx: -0.34, gy:  2.38, gz: -2.01, OX:  0.00
1746017175.003672  N:   23, t: 42935942, dt: 23805, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -0.92, VEL_AVG:  0.03, I: -3.87, D:  0.23, VEL_OUT: -5.78, MS_MPC: 29565.65, ax:  0.05, ay:  0.01, az:  0.99, gx: -0.70, gy:  1.59, gz: -2.08, OX: -0.01
1746017175.0097573 N:   24, t: 42953561, dt: 17619, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -3.93, D: -0.03, VEL_OUT: -8.72, MS_MPC: 29565.65, ax:  0.05, ay:  0.00, az:  0.98, gx: -0.58, gy:  1.40, gz: -1.65, OX: -0.02
1746017175.0159192 N:   25, t: 42974065, dt: 20504, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -3.99, D:  0.00, VEL_OUT: -8.57, MS_MPC: 29565.65, ax:  0.05, ay:  0.00, az:  0.98, gx: -0.21, gy:  1.04, gz: -1.40, OX: -0.00
1746017175.058868  N:   26, t: 42998156, dt: 24091, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -4.05, D:  0.00, VEL_OUT: -8.69, MS_MPC: 29565.65, ax:  0.04, ay: -0.00, az:  0.98, gx:  0.09, gy:  0.37, gz: -0.61, OX: -0.06
1746017175.0648544 N:   27, t: 43015733, dt: 17577, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  1.25, VEL_AVG:  0.04, I: -4.09, D:  0.02, VEL_OUT: -8.46, MS_MPC: 29564.93, ax:  0.04, ay: -0.00, az:  0.98, gx:  0.03, gy:  0.24, gz:  0.31, OX: -0.02
1746017175.0708027 N:   28, t: 43033047, dt: 17314, ENC_DEG: 61.09, REF:  0.00, VEL_RAW:  2.54, VEL_AVG:  0.16, I: -4.25, D: -0.12, VEL_OUT: -11.28, MS_MPC: 29563.48, ax:  0.04, ay: -0.00, az:  0.99, gx:  0.27, gy:  0.00, gz:  0.79, OX: -0.00
1746017175.1193357 N:   29, t: 43053260, dt: 20213, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.17, I: -4.42, D: -0.01, VEL_OUT: -10.58, MS_MPC: 29564.93, ax:  0.04, ay:  0.00, az:  0.99, gx:  0.52, gy: -0.43, gz:  1.16, OX:  0.04
