1746017434.5910275 N:   23, t: 33359944, dt: 39269, ENC_DEG: 75.08, REF:  0.00, VEL_RAW:  1.68, VEL_AVG:  0.16, I: -3.64, D:  0.06, VEL_OUT: -8.27, MS_MPC: 27787.95, ax:  0.01, ay:  0.01, az:  0.99, gx: -1.71, gy: -0.43, gz:  1.16, OX:  0.04
1746017434.6815932 N:   24, t: 33380391, dt: 20447, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -4.30, VEL_AVG: -0.47, I: -4.11, D: -0.31, VEL_OUT: -15.96, MS_MPC: 27809.47, ax:  0.00, ay:  0.01, az:  1.00, gx: -1.83, gy: -0.67, gz:  1.10, OX: -0.01
1746017434.6865795 N:   25, t: 33404002, dt: 23611, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -4.39, D:  0.19, VEL_OUT: -9.68, MS_MPC: 27809.47, ax: -0.00, ay:  0.01, az:  1.00, gx: -1.65, gy: -0.92, gz:  0.73, OX: -0.02
1746017434.6925645 N:   26, t: 33420123, dt: 16121, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  1.36, VEL_AVG: -0.25, I: -4.64, D:  0.02, VEL_OUT: -11.57, MS_MPC: 27804.11, ax:  0.00, ay:  0.00, az:  1.00, gx: -1.34, gy: -0.67, gz:  0.61, OX: -0.05
1746017434.6985495 N:   27, t: 33439562, dt: 19439, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -4.89, D:  0.00, VEL_OUT: -12.32, MS_MPC: 27804.11, ax:  0.00, ay:  0.00, az:  1.00, gx: -1.40, gy: -0.92, gz:  0.49, OX:  0.07
1746017434.7055302 N:   28, t: 33460856, dt: 21294, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.33, I: -5.22, D: -0.07, VEL_OUT: -14.48, MS_MPC: 27814.83, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.85, gy: -1.16, gz:  0.12, OX:  0.01
1746017434.7424052 N:   29, t: 33480189, dt: 19333, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.05, I: -5.27, D:  0.28, VEL_OUT: -8.15, MS_MPC: 27809.47, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.55, gy: -1.04, gz: -0.06, OX: -0.00
1746017434.7481241 N:   30, t: 33502674, dt: 22485, ENC_DEG: 75.04, REF:  0.00, VEL_RAW:  1.95, VEL_AVG:  0.03, I: -5.29, D:  0.02, VEL_OUT: -10.68, MS_MPC: 27798.73, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.67, gy: -0.79, gz: -0.18, OX: -0.01
1746017434.7995675 N:   31, t: 33520725, dt: 18051, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -2.43, VEL_AVG: -0.25, I: -5.55, D: -0.22, VEL_OUT: -15.84, MS_MPC: 27809.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.79, gz: -0.12, OX: -0.05
1746017434.8053756 N:   32, t: 33544636, dt: 23911, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.36, I: -5.91, D: -0.11, VEL_OUT: -16.59, MS_MPC: 27809.47, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.67, gz:  0.12, OX:  0.01
