1746017902.3992975 N:   18, t: 25444849, dt: 19339, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -2.27, VEL_AVG:  0.23, I: -3.27, D:  0.08, VEL_OUT: -7.98, MS_MPC: 29521.46, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.98, gy: -1.04, gz: -0.49, OX: -0.04
1746017902.4475865 N:   19, t: 25463074, dt: 18225, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.03, I: -3.30, D:  0.19, VEL_OUT: -5.00, MS_MPC: 29522.44, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.98, gy: -0.92, gz:  0.06, OX:  0.01
1746017902.4531853 N:   20, t: 25487668, dt: 24594, ENC_DEG: 62.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -3.36, D: -0.03, VEL_OUT: -7.62, MS_MPC: 29522.44, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.79, gy:  0.00, gz:  0.67, OX:  0.02
1746017902.459702  N:   21, t: 25505675, dt: 18007, ENC_DEG: 62.21, REF:  0.00, VEL_RAW:  3.66, VEL_AVG:  0.24, I: -3.61, D: -0.18, VEL_OUT: -11.47, MS_MPC: 29519.48, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.79, gy:  0.31, gz:  0.92, OX:  0.01
1746017902.509156  N:   22, t: 25526179, dt: 20504, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.07, I: -3.67, D:  0.18, VEL_OUT: -6.21, MS_MPC: 29521.46, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.98, gy:  0.18, gz:  1.16, OX:  0.01
1746017902.5628076 N:   23, t: 25543483, dt: 17304, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -3.74, D:  0.00, VEL_OUT: -8.12, MS_MPC: 29521.46, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.98, gy:  0.00, gz:  1.10, OX: -0.00
1746017902.6249437 N:   24, t: 25563495, dt: 20012, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -3.80, D:  0.00, VEL_OUT: -8.25, MS_MPC: 29521.46, ax: -0.00, ay:  0.00, az:  1.00, gx:  1.04, gy: -0.06, gz:  0.85, OX: -0.01
1746017902.6313584 N:   25, t: 25584321, dt: 20826, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.14, I: -3.94, D: -0.07, VEL_OUT: -9.97, MS_MPC: 29522.44, ax: -0.00, ay:  0.01, az:  1.01, gx:  1.04, gy:  0.00, gz:  0.98, OX:  0.04
1746017902.6863747 N:   26, t: 25603386, dt: 19065, ENC_DEG: 62.23, REF:  0.00, VEL_RAW:  4.61, VEL_AVG:  0.32, I: -4.26, D: -0.19, VEL_OUT: -13.60, MS_MPC: 29518.48, ax: -0.01, ay:  0.02, az:  1.02, gx:  1.28, gy:  0.31, gz:  1.59, OX:  0.24
1746017902.6930807 N:   28, t: 25644152, dt: 18481, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -4.37, D:  0.00, VEL_OUT: -9.32, MS_MPC: 29520.47, ax: -0.01, ay:  0.04, az:  1.01, gx:  1.95, gy:  0.85, gz: -0.61, OX:  0.03
1746017902.6983814 N:   30, t: 25684565, dt: 18239, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -3.61, VEL_AVG: -0.06, I: -4.49, D: -0.01, VEL_OUT: -9.68, MS_MPC: 29522.44, ax:  0.00, ay:  0.01, az:  1.00, gx:  2.20, gy:  0.06, gz: -3.48, OX: -0.09
1746017902.7040522 N:   31, t: 25705420, dt: 20855, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.13, I: -4.61, D: -0.07, VEL_OUT: -11.17, MS_MPC: 29521.46, ax:  0.00, ay: -0.00, az:  1.00, gx:  1.77, gy: -0.12, gz: -4.52, OX: -0.10
1746017902.7106347 N:   34, t: 25765475, dt: 17409, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -4.83, D:  0.03, VEL_OUT: -10.10, MS_MPC: 29520.47, ax:  0.01, ay: -0.02, az:  1.00, gx: -1.22, gy:  0.55, gz: -0.55, OX:  0.11
1746017902.7479835 N:   35, t: 25786349, dt: 20874, ENC_DEG: 62.25, REF:  0.00, VEL_RAW:  3.16, VEL_AVG:  0.34, I: -5.17, D: -0.26, VEL_OUT: -16.34, MS_MPC: 29517.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.65, gy:  0.18, gz: -0.24, OX:  0.02
