1746017547.0823374 N:   18, t: 28456223, dt: 20846, ENC_DEG: 36.74, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.38, I: -4.26, D: -0.18, VEL_OUT: -14.08, MS_MPC: 28081.95, ax: -0.01, ay:  0.00, az:  1.00, gx:  1.68, gy:  0.37, gz:  0.37, OX: -0.01
1746017547.1230404 N:   19, t: 28474804, dt: 18581, ENC_DEG: 36.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -4.46, D:  0.18, VEL_OUT: -9.10, MS_MPC: 28081.95, ax: -0.01, ay: -0.01, az:  1.00, gx:  1.80, gy:  0.06, gz:  0.37, OX: -0.05
1746017547.1295726 N:   20, t: 28494047, dt: 19243, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.11, I: -4.57, D:  0.09, VEL_OUT: -9.26, MS_MPC: 28087.72, ax: -0.01, ay: -0.02, az:  1.01, gx:  1.62, gy:  0.00, gz:  0.31, OX: -0.03
1746017547.1832685 N:   21, t: 28514051, dt: 20004, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -3.30, VEL_AVG:  0.02, I: -4.58, D:  0.09, VEL_OUT: -8.44, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  1.31, gy: -0.31, gz:  1.04, OX:  0.03
1746017547.1892574 N:   22, t: 28534836, dt: 20785, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -4.60, D:  0.00, VEL_OUT: -9.37, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.89, gy: -0.18, gz:  1.34, OX:  0.05
1746017547.1954377 N:   23, t: 28553846, dt: 19010, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -4.70, D: -0.09, VEL_OUT: -11.28, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.76, gy: -0.18, gz:  1.22, OX:  0.00
1746017547.2436798 N:   24, t: 28574171, dt: 20325, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.28, I: -4.98, D: -0.18, VEL_OUT: -14.59, MS_MPC: 28084.83, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.46, gy: -0.43, gz:  1.10, OX: -0.02
1746017547.2495265 N:   25, t: 28594831, dt: 20660, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -5.16, D:  0.10, VEL_OUT: -11.06, MS_MPC: 28084.83, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.34, gy: -0.79, gz:  1.04, OX: -0.07
1746017547.302224  N:   26, t: 28614214, dt: 19383, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.49, I: -5.65, D: -0.31, VEL_OUT: -19.28, MS_MPC: 28087.72, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.27, gy: -0.43, gz:  1.28, OX:  0.02
1746017547.308226  N:   27, t: 28635828, dt: 21614, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.40, I: -6.05, D:  0.09, VEL_OUT: -15.24, MS_MPC: 28087.72, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.40, gy: -0.31, gz:  0.92, OX: -0.15
1746017547.3141937 N:   28, t: 28655021, dt: 19193, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -4.58, VEL_AVG: -0.27, I: -6.33, D:  0.13, VEL_OUT: -14.13, MS_MPC: 28076.18, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.40, gy: -0.49, gz:  0.55, OX:  0.02
1746017547.3199158 N:   29, t: 28674502, dt: 19481, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.01, I: -6.33, D:  0.26, VEL_OUT: -10.12, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.64, gy: -0.79, gz:  0.24, OX:  0.01
1746017547.3268824 N:   30, t: 28694250, dt: 19748, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -6.43, D: -0.09, VEL_OUT: -14.71, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.52, gy: -0.92, gz:  0.12, OX: -0.02
1746017547.363947  N:   31, t: 28713704, dt: 19454, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  3.39, VEL_AVG:  0.19, I: -6.62, D: -0.09, VEL_OUT: -15.96, MS_MPC: 28087.72, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.64, gy: -0.92, gz: -0.12, OX: -0.06
1746017547.4181519 N:   32, t: 28734065, dt: 20361, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -3.24, VEL_AVG: -0.28, I: -6.89, D: -0.09, VEL_OUT: -17.43, MS_MPC: 28079.07, ax: -0.00, ay: -0.02, az:  1.00, gx:  1.13, gy: -0.92, gz: -0.06, OX: -0.04
1746017547.4241242 N:   33, t: 28754022, dt: 19957, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  2.20, VEL_AVG:  0.18, I: -7.08, D:  0.09, VEL_OUT: -15.06, MS_MPC: 28084.83, ax: -0.01, ay: -0.02, az:  1.01, gx:  1.62, gy: -0.37, gz:  0.85, OX:  0.02
1746017547.4307969 N:   34, t: 28775275, dt: 21253, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -7.26, D:  0.00, VEL_OUT: -16.35, MS_MPC: 28084.83, ax: -0.01, ay: -0.01, az:  1.01, gx:  1.74, gy:  0.00, gz:  1.34, OX:  0.03
1746017547.4367797 N:   35, t: 28797470, dt: 22195, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -7.44, D:  0.00, VEL_OUT: -16.71, MS_MPC: 28084.83, ax: -0.01, ay: -0.00, az:  1.01, gx:  1.98, gy: -0.18, gz:  0.61, OX:  0.09
1746017547.4846153 N:   36, t: 28815806, dt: 18336, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -7.44, D:  0.18, VEL_OUT: -13.12, MS_MPC: 28084.83, ax: -0.01, ay: -0.01, az:  1.01, gx:  2.29, gy: -0.43, gz:  0.06, OX: -0.04
1746017547.54097   N:   37, t: 28839585, dt: 23779, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -1.85, VEL_AVG: -0.15, I: -7.60, D: -0.15, VEL_OUT: -18.18, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  2.59, gy: -0.73, gz: -0.55, OX: -0.03
1746017547.5464816 N:   38, t: 28857755, dt: 18170, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  2.42, VEL_AVG: -0.04, I: -7.64, D:  0.11, VEL_OUT: -14.65, MS_MPC: 28084.83, ax: -0.01, ay: -0.02, az:  1.01, gx:  3.20, gy: -0.67, gz: -0.85, OX: -0.04
1746017547.5529907 N:   39, t: 28878227, dt: 20472, ENC_DEG: 36.74, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.13, I: -7.77, D: -0.09, VEL_OUT: -17.78, MS_MPC: 28081.95, ax: -0.01, ay: -0.03, az:  1.01, gx:  3.45, gy: -0.49, gz: -0.85, OX: -0.05
1746017547.6036408 N:   40, t: 28895425, dt: 17198, ENC_DEG: 36.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -8.02, D: -0.11, VEL_OUT: -19.67, MS_MPC: 28081.95, ax: -0.01, ay: -0.02, az:  1.00, gx:  3.51, gy: -0.55, gz: -0.67, OX:  0.06
1746017547.6618516 N:   42, t: 28934325, dt: 18505, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -2.37, VEL_AVG: -0.04, I: -8.22, D:  0.11, VEL_OUT: -15.77, MS_MPC: 28076.18, ax: -0.01, ay: -0.03, az:  1.02, gx:  2.78, gy:  0.37, gz: -0.06, OX:  0.06
1746017547.6678386 N:   43, t: 28954952, dt: 20627, ENC_DEG: 36.81, REF:  0.00, VEL_RAW:  5.33, VEL_AVG:  0.12, I: -8.34, D: -0.07, VEL_OUT: -18.59, MS_MPC: 28090.60, ax: -0.01, ay: -0.02, az:  1.02, gx:  2.72, gy:  0.12, gz:  0.06, OX:  0.04
1746017547.6738312 N:   44, t: 28974280, dt: 19328, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -4.55, VEL_AVG:  0.01, I: -8.35, D:  0.11, VEL_OUT: -15.69, MS_MPC: 28079.07, ax: -0.01, ay: -0.02, az:  1.03, gx:  2.66, gy:  0.37, gz: -0.06, OX:  0.01
1746017547.6798208 N:   45, t: 28999225, dt: 24945, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -8.52, D: -0.17, VEL_OUT: -20.45, MS_MPC: 28079.07, ax: -0.01, ay: -0.02, az:  1.02, gx:  1.98, gy:  0.37, gz:  0.06, OX: -0.03
1746017547.6858034 N:   48, t: 29054419, dt: 15566, ENC_DEG: 36.67, REF:  0.00, VEL_RAW: -5.65, VEL_AVG: -0.48, I: -9.19, D: -0.47, VEL_OUT: -27.89, MS_MPC: 28073.29, ax: -0.01, ay: -0.02, az:  1.01, gx:  1.74, gy:  1.28, gz: -0.12, OX:  0.02
1746017547.777667  N:   49, t: 29074544, dt: 20125, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  4.37, VEL_AVG:  0.04, I: -9.22, D:  0.44, VEL_OUT: -14.37, MS_MPC: 28084.83, ax: -0.01, ay: -0.02, az:  1.01, gx:  1.62, gy:  1.16, gz: -0.24, OX:  0.02
1746017547.7839987 N:   50, t: 29096097, dt: 21553, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -3.06, VEL_AVG: -0.42, I: -9.64, D: -0.38, VEL_OUT: -27.32, MS_MPC: 28076.18, ax: -0.01, ay: -0.02, az:  1.01, gx:  1.92, gy:  0.92, gz: -1.22, OX: -0.01
1746017547.7898488 N:   51, t: 29116852, dt: 20755, ENC_DEG: 36.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.33, I: -9.97, D:  0.09, VEL_OUT: -22.36, MS_MPC: 28076.18, ax: -0.01, ay: -0.03, az:  1.02, gx:  1.86, gy:  0.92, gz: -1.71, OX: -0.06
1746017547.795378  N:   52, t: 29136041, dt: 19189, ENC_DEG: 36.67, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.43, I: -10.40, D: -0.10, VEL_OUT: -26.01, MS_MPC: 28073.29, ax: -0.01, ay: -0.03, az:  1.02, gx:  1.68, gy:  0.67, gz: -1.59, OX: -0.04
1746017547.8016376 N:   54, t: 29178083, dt: 22590, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  1.95, VEL_AVG: -0.07, I: -10.89, D:  0.36, VEL_OUT: -18.84, MS_MPC: 28079.07, ax: -0.01, ay: -0.04, az:  1.01, gx:  1.25, gy:  1.28, gz: -0.73, OX: -0.02
1746017547.9103458 N:   55, t: 29194023, dt: 15940, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  2.76, VEL_AVG: -0.28, I: -11.17, D: -0.21, VEL_OUT: -27.28, MS_MPC: 28084.83, ax: -0.01, ay: -0.04, az:  1.01, gx:  0.76, gy:  0.85, gz: -0.61, OX:  0.01
