1746025554.1759684 N:   26, t: 34888629, dt: 16195, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -4.52, D:  0.01, VEL_OUT: -10.11, MS_MPC: 29364.81, ax: -0.02, ay: -0.05, az:  1.02, gx: -2.99, gy: -0.85, gz:  0.15, OX: -0.00
1746025554.1819532 N:   27, t: 34991022, dt: 102393, ENC_DEG: 64.75, REF:  0.00, VEL_RAW: -0.21, VEL_AVG:  0.00, I: -4.52, D:  0.12, VEL_OUT: -7.85, MS_MPC: 29366.47, ax: -0.02, ay: -0.05, az:  1.03, gx: -0.49, gy:  2.56, gz:  2.41, OX:  0.04
1746025554.2428074 N:   28, t: 35007823, dt: 16801, ENC_DEG: 64.71, REF:  0.00, VEL_RAW: -2.62, VEL_AVG: -0.31, I: -4.83, D: -0.31, VEL_OUT: -15.93, MS_MPC: 29369.76, ax: -0.02, ay: -0.04, az:  1.02, gx: -0.67, gy:  3.17, gz:  2.84, OX:  0.07
1746025554.3604875 N:   29, t: 35031039, dt: 23216, ENC_DEG: 64.67, REF:  0.00, VEL_RAW: -1.89, VEL_AVG: -0.56, I: -5.39, D: -0.24, VEL_OUT: -18.76, MS_MPC: 29373.04, ax: -0.02, ay: -0.04, az:  1.02, gx: -0.79, gy:  3.05, gz:  3.20, OX:  0.02
1746025554.3664737 N:   30, t: 35050352, dt: 19313, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  4.56, VEL_AVG:  0.01, I: -5.40, D:  0.54, VEL_OUT: -5.52, MS_MPC: 29366.47, ax: -0.02, ay: -0.04, az:  1.01, gx: -0.98, gy:  3.05, gz:  3.08, OX:  0.02
1746025554.3724418 N:   31, t: 35067560, dt: 17208, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -1.28, VEL_AVG: -0.18, I: -5.58, D: -0.17, VEL_OUT: -14.67, MS_MPC: 29368.12, ax: -0.03, ay: -0.03, az:  1.01, gx: -1.16, gy: -12.70, gz:  3.14, OX:  0.03
1746025554.3784256 N:   33, t: 35107686, dt: 18750, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -5.83, D:  0.09, VEL_OUT: -11.45, MS_MPC: 29364.81, ax: -0.03, ay: -0.04, az:  1.01, gx: -1.04, gy:  1.16, gz:  1.31, OX: -0.01
1746025554.3844466 N:   38, t: 35212324, dt: 22427, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  2.94, VEL_AVG:  0.03, I: -6.22, D:  0.18, VEL_OUT: -10.97, MS_MPC: 29364.81, ax: -0.02, ay: -0.04, az:  1.02, gx: -1.10, gy: -1.34, gz: -2.29, OX: -0.07
1746025554.4213161 N:   39, t: 35231079, dt: 18755, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -6.27, D: -0.02, VEL_OUT: -13.22, MS_MPC: 29364.81, ax: -0.02, ay: -0.05, az:  1.02, gx: -1.04, gy: -1.28, gz: -2.29, OX: -0.05
1746025554.5409706 N:   40, t: 35247814, dt: 16735, ENC_DEG: 64.75, REF:  0.00, VEL_RAW: -1.31, VEL_AVG:  0.16, I: -6.43, D: -0.11, VEL_OUT: -15.53, MS_MPC: 29366.47, ax: -0.02, ay: -0.05, az:  1.02, gx: -1.10, gy: -1.10, gz: -2.17, OX: -0.03
1746025554.5469537 N:   41, t: 35269176, dt: 21362, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.32, I: -6.74, D: -0.16, VEL_OUT: -18.23, MS_MPC: 29366.47, ax: -0.02, ay: -0.05, az:  1.02, gx: -0.98, gy: -0.61, gz: -1.50, OX:  0.01
1746025554.55288   N:   42, t: 35288556, dt: 19380, ENC_DEG: 64.80, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.13, I: -6.87, D:  0.19, VEL_OUT: -13.09, MS_MPC: 29363.14, ax: -0.02, ay: -0.06, az:  1.03, gx: -0.73, gy: -0.24, gz: -1.50, OX: -0.15
1746025554.5589035 N:   43, t: 35312172, dt: 23616, ENC_DEG: 64.75, REF:  0.00, VEL_RAW: -1.86, VEL_AVG:  0.08, I: -6.95, D:  0.05, VEL_OUT: -14.18, MS_MPC: 29366.47, ax: -0.01, ay: -0.06, az:  1.04, gx: -1.16, gy:  0.12, gz: -0.70, OX: -0.15
1746025554.564908  N:   47, t: 35387667, dt: 18228, ENC_DEG: 64.71, REF:  0.00, VEL_RAW: -2.41, VEL_AVG: -0.20, I: -7.51, D: -0.11, VEL_OUT: -18.16, MS_MPC: 29369.76, ax: -0.02, ay: -0.05, az:  1.03, gx: -0.73, gy:  1.10, gz:  0.82, OX:  0.03
1746025554.570865  N:   48, t: 35412305, dt: 24638, ENC_DEG: 64.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -7.62, D:  0.10, VEL_OUT: -15.25, MS_MPC: 29369.76, ax: -0.02, ay: -0.04, az:  1.03, gx: -0.55, gy:  1.04, gz:  0.70, OX:  0.05
1746025554.6017485 N:   49, t: 35431540, dt: 19235, ENC_DEG: 64.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -7.64, D:  0.08, VEL_OUT: -14.66, MS_MPC: 29369.76, ax: -0.02, ay: -0.04, az:  1.03, gx: -0.37, gy:  1.04, gz:  0.09, OX: -0.02
1746025554.6077325 N:   50, t: 35448844, dt: 17304, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  2.54, VEL_AVG: -0.05, I: -7.69, D: -0.03, VEL_OUT: -16.25, MS_MPC: 29366.47, ax: -0.02, ay: -0.05, az:  1.03, gx: -0.37, gy:  1.10, gz: -0.15, OX: -0.08
1746025554.6615884 N:   51, t: 35467616, dt: 18772, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -7.74, D:  0.00, VEL_OUT: -16.02, MS_MPC: 29366.47, ax: -0.02, ay: -0.06, az:  1.02, gx: -0.49, gy:  0.98, gz: -0.27, OX: -0.01
1746025554.6675725 N:   52, t: 35488656, dt: 21040, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -7.80, D: -0.00, VEL_OUT: -16.19, MS_MPC: 29366.47, ax: -0.01, ay: -0.06, az:  1.01, gx: -0.37, gy:  0.79, gz: -0.40, OX: -0.04
1746025554.6735568 N:   53, t: 35507153, dt: 18497, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -7.86, D:  0.00, VEL_OUT: -16.27, MS_MPC: 29366.47, ax: -0.01, ay: -0.06, az:  1.01, gx: -0.31, gy:  0.79, gz: -0.09, OX: -0.00
1746025554.721429  N:   54, t: 35528606, dt: 21453, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -7.99, D: -0.08, VEL_OUT: -18.07, MS_MPC: 29366.47, ax: -0.01, ay: -0.04, az:  1.02, gx: -0.73, gy:  1.28, gz:  1.19, OX:  0.09
1746025554.7274134 N:   55, t: 35549853, dt: 21247, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -8.01, D:  0.11, VEL_OUT: -15.14, MS_MPC: 29366.47, ax: -0.01, ay: -0.04, az:  1.02, gx: -1.22, gy:  1.89, gz:  1.80, OX:  0.02
1746025554.733412  N:   56, t: 35567212, dt: 17359, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -8.13, D: -0.10, VEL_OUT: -18.48, MS_MPC: 29366.47, ax: -0.01, ay: -0.03, az:  1.02, gx: -1.34, gy:  2.44, gz:  2.35, OX:  0.05
1746025554.7812688 N:   57, t: 35590963, dt: 23751, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -8.14, D:  0.11, VEL_OUT: -15.28, MS_MPC: 29366.47, ax: -0.02, ay: -0.03, az:  1.01, gx: -1.59, gy:  2.38, gz:  2.04, OX: -0.00
1746025554.8391259 N:   58, t: 35608241, dt: 17278, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -8.15, D:  0.00, VEL_OUT: -16.41, MS_MPC: 29366.47, ax: -0.02, ay: -0.03, az:  1.01, gx: -1.89, gy:  1.83, gz:  1.74, OX: -0.01
1746025554.8450997 N:   59, t: 35628576, dt: 20335, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.21, I: -8.37, D: -0.20, VEL_OUT: -20.86, MS_MPC: 29366.47, ax: -0.02, ay: -0.04, az:  1.01, gx: -1.89, gy:  1.53, gz:  1.13, OX: -0.01
1746025554.8510876 N:   60, t: 35648224, dt: 19648, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.12, I: -8.48, D:  0.09, VEL_OUT: -17.22, MS_MPC: 29368.12, ax: -0.02, ay: -0.04, az:  1.01, gx: -1.71, gy:  1.28, gz:  0.76, OX:  0.00
1746025554.857068  N:   61, t: 35667613, dt: 19389, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.31, I: -8.79, D: -0.19, VEL_OUT: -22.54, MS_MPC: 29364.81, ax: -0.02, ay: -0.04, az:  1.01, gx: -1.46, gy:  0.92, gz:  0.34, OX: -0.01
1746025554.8969626 N:   62, t: 35687092, dt: 19479, ENC_DEG: 64.75, REF:  0.00, VEL_RAW: -1.13, VEL_AVG:  0.00, I: -8.79, D:  0.31, VEL_OUT: -14.55, MS_MPC: 29366.47, ax: -0.02, ay: -0.04, az:  1.01, gx: -1.22, gy:  0.61, gz: -0.40, OX:  0.00
1746025554.9598289 N:   63, t: 35710223, dt: 23131, ENC_DEG: 64.69, REF:  0.00, VEL_RAW: -2.85, VEL_AVG: -0.24, I: -9.03, D: -0.23, VEL_OUT: -22.76, MS_MPC: 29371.41, ax: -0.02, ay: -0.04, az:  1.02, gx: -0.67, gy: -0.06, gz: -1.43, OX: -0.01
1746025554.965778  N:   64, t: 35727974, dt: 17751, ENC_DEG: 64.73, REF:  0.00, VEL_RAW:  2.48, VEL_AVG: -0.03, I: -9.06, D:  0.21, VEL_OUT: -16.35, MS_MPC: 29368.12, ax: -0.02, ay: -0.04, az:  1.02, gx: -0.49, gy: -0.24, gz: -1.92, OX: -0.07
1746025554.9717603 N:   65, t: 35748500, dt: 20526, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.15, I: -9.21, D: -0.12, VEL_OUT: -21.10, MS_MPC: 29364.81, ax: -0.01, ay: -0.05, az:  1.02, gx: -0.12, gy: -0.49, gz: -2.11, OX: -0.01
