1746024707.463496  N:   18, t: 52188495, dt: 23302, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -1.92, D: -0.18, VEL_OUT: -7.81, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.67, gy: -0.55, gz:  0.31, OX: -0.01
1746024707.512333  N:   19, t: 52205268, dt: 16773, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.31, VEL_AVG: -0.14, I: -2.06, D:  0.07, VEL_OUT: -4.79, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.98, gy: -0.49, gz:  0.55, OX: -0.01
1746024707.5173182 N:   20, t: 52225711, dt: 20443, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -2.20, D:  0.00, VEL_OUT: -5.81, MS_MPC: 22029.90, ax: -0.00, ay: -0.01, az:  1.01, gx:  1.10, gy: -0.43, gz:  0.85, OX: -0.01
1746024707.5233355 N:   21, t: 52245019, dt: 19308, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.28, VEL_AVG: -0.04, I: -2.24, D:  0.10, VEL_OUT: -3.82, MS_MPC: 22040.17, ax: -0.00, ay: -0.01, az:  1.01, gx:  1.04, gy: -0.12, gz:  0.79, OX:  0.01
1746024707.5712223 N:   22, t: 52266077, dt: 21058, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.09, VEL_AVG: -0.30, I: -2.54, D: -0.26, VEL_OUT: -10.67, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.98, gy:  0.06, gz:  0.79, OX: -0.00
1746024707.5781574 N:   23, t: 52285446, dt: 19369, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -2.54, D:  0.30, VEL_OUT: -2.13, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.37, gz:  0.67, OX: -0.02
1746024707.5841405 N:   24, t: 52308690, dt: 23244, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.84, VEL_AVG: -0.03, I: -2.57, D: -0.03, VEL_OUT: -5.69, MS_MPC: 22045.30, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.06, gy:  0.00, gz:  0.98, OX:  0.01
1746024707.687864  N:   25, t: 52325541, dt: 16851, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.61, VEL_AVG: -0.06, I: -2.63, D: -0.03, VEL_OUT: -6.25, MS_MPC: 22035.04, ax: -0.01, ay:  0.00, az:  0.99, gx: -0.37, gy:  0.24, gz:  1.34, OX:  0.04
1746024707.6938472 N:   26, t: 52346302, dt: 20761, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.02, I: -2.66, D:  0.04, VEL_OUT: -5.16, MS_MPC: 22040.17, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.61, gz:  0.73, OX: -0.03
1746024707.6998322 N:   27, t: 52364469, dt: 18167, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.08, I: -2.73, D: -0.05, VEL_OUT: -6.74, MS_MPC: 22035.04, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.43, gy:  0.24, gz:  0.06, OX: -0.08
1746024707.7058592 N:   28, t: 52388828, dt: 24359, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -2.74, D:  0.06, VEL_OUT: -4.96, MS_MPC: 22035.04, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.73, gy:  0.49, gz:  0.24, OX: -0.03
1746024707.7497137 N:   30, t: 52429494, dt: 22366, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.98, VEL_AVG: -0.01, I: -2.84, D:  0.08, VEL_OUT: -4.90, MS_MPC: 22040.17, ax:  0.00, ay: -0.02, az:  1.01, gx: -0.43, gy:  1.40, gz:  0.85, OX: -0.03
1746024707.7557056 N:   31, t: 52447230, dt: 17736, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  2.48, VEL_AVG:  0.31, I: -3.15, D: -0.31, VEL_OUT: -12.45, MS_MPC: 22050.43, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.31, gy:  1.04, gz:  1.34, OX:  0.05
1746024707.7616708 N:   32, t: 52466294, dt: 19064, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -3.46, VEL_AVG:  0.02, I: -3.17, D:  0.29, VEL_OUT: -3.68, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  0.99, gx: -0.31, gy:  1.16, gz:  1.46, OX:  0.02
1746024707.7676504 N:   33, t: 52484474, dt: 18180, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.07, I: -3.24, D: -0.04, VEL_OUT: -7.58, MS_MPC: 22040.17, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.06, gy:  1.04, gz:  1.53, OX:  0.15
1746024707.7736654 N:   34, t: 52504381, dt: 19907, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -3.31, VEL_AVG: -0.17, I: -3.40, D: -0.10, VEL_OUT: -9.51, MS_MPC: 22024.77, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.43, gy:  1.10, gz:  0.67, OX:  0.02
1746024707.811532  N:   35, t: 52528459, dt: 24078, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  3.65, VEL_AVG:  0.14, I: -3.54, D:  0.03, VEL_OUT: -8.10, MS_MPC: 22045.30, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.92, gy:  0.85, gz: -0.49, OX: -0.14
1746024707.8185334 N:   36, t: 52545497, dt: 17038, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.58, VEL_AVG: -0.32, I: -3.86, D: -0.18, VEL_OUT: -12.67, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.79, gy:  0.12, gz: -0.73, OX: -0.05
1746024707.8713863 N:   37, t: 52565008, dt: 19511, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.29, I: -4.14, D:  0.03, VEL_OUT: -10.85, MS_MPC: 22024.77, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.73, gy:  0.43, gz: -0.06, OX:  0.01
1746024707.8783538 N:   38, t: 52587121, dt: 22113, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.98, VEL_AVG: -0.13, I: -4.27, D:  0.16, VEL_OUT: -8.19, MS_MPC: 22040.17, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.67, gy:  0.67, gz:  0.49, OX:  0.01
1746024707.8833392 N:   39, t: 52606279, dt: 19158, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.07, I: -4.34, D:  0.06, VEL_OUT: -8.83, MS_MPC: 22045.30, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.12, gz: -0.06, OX:  0.05
1746024707.9312453 N:   40, t: 52625870, dt: 19591, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.02, I: -4.36, D:  0.05, VEL_OUT: -8.47, MS_MPC: 22040.17, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.37, gy: -0.37, gz: -0.67, OX: -0.00
1746024707.9371963 N:   41, t: 52644581, dt: 18711, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.35, VEL_AVG: -0.22, I: -4.58, D: -0.20, VEL_OUT: -13.31, MS_MPC: 22029.90, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.31, gy: -0.67, gz: -1.53, OX: -0.03
1746024707.9441786 N:   42, t: 52669982, dt: 25401, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.87, VEL_AVG: -0.23, I: -4.81, D: -0.01, VEL_OUT: -12.00, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.37, gy: -0.31, gz: -0.92, OX: -0.03
1746024707.9920495 N:   43, t: 52685953, dt: 15971, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -2.75, VEL_AVG: -0.66, I: -5.47, D: -0.44, VEL_OUT: -21.95, MS_MPC: 22024.77, ax:  0.00, ay: -0.01, az:  0.99, gx: -0.49, gy: -0.06, gz: -0.55, OX: -0.00
1746024707.9970763 N:   44, t: 52705509, dt: 19556, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  2.25, VEL_AVG: -0.19, I: -5.66, D:  0.48, VEL_OUT: -8.46, MS_MPC: 22035.04, ax:  0.01, ay: -0.01, az:  0.98, gx: -0.37, gy: -0.31, gz: -0.67, OX:  0.01
1746024708.0040174 N:   45, t: 52724850, dt: 19341, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.38, I: -6.05, D: -0.20, VEL_OUT: -17.89, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  0.98, gx: -0.37, gy: -0.55, gz: -0.92, OX:  0.01
1746024708.05187   N:   46, t: 52744789, dt: 19939, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  3.31, VEL_AVG:  0.17, I: -6.21, D:  0.22, VEL_OUT: -11.92, MS_MPC: 22045.30, ax: -0.00, ay: -0.01, az:  0.98, gx:  0.00, gy: -0.85, gz: -1.34, OX:  0.00
1746024708.0578535 N:   47, t: 52766512, dt: 21723, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -3.03, VEL_AVG: -0.39, I: -6.60, D: -0.22, VEL_OUT: -19.34, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  0.98, gx:  0.43, gy: -0.92, gz: -1.28, OX: -0.05
1746024708.0638373 N:   48, t: 52785918, dt: 19406, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.01, I: -6.62, D:  0.38, VEL_OUT: -9.61, MS_MPC: 22040.17, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.22, gy: -1.16, gz: -0.73, OX:  0.01
1746024708.1117136 N:   49, t: 52804854, dt: 18936, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -6.82, D: -0.19, VEL_OUT: -17.53, MS_MPC: 22040.17, ax:  0.01, ay: -0.01, az:  1.01, gx:  1.77, gy: -1.22, gz: -0.49, OX: -0.02
1746024708.1176927 N:   50, t: 52825272, dt: 20418, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.04, I: -6.86, D:  0.16, VEL_OUT: -12.56, MS_MPC: 22045.30, ax:  0.01, ay: -0.01, az:  1.03, gx:  1.83, gy: -1.53, gz: -0.06, OX: -0.01
1746024708.1237109 N:   51, t: 52847397, dt: 22125, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.99, VEL_AVG: -0.22, I: -7.08, D: -0.18, VEL_OUT: -18.10, MS_MPC: 22035.04, ax:  0.01, ay: -0.01, az:  1.03, gx:  2.08, gy: -1.04, gz:  0.24, OX: -0.00
1746024708.1715825 N:   52, t: 52866427, dt: 19030, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.31, VEL_AVG:  0.07, I: -7.15, D:  0.15, VEL_OUT: -13.45, MS_MPC: 22045.30, ax:  0.01, ay: -0.01, az:  1.01, gx:  1.71, gy: -0.37, gz:  1.10, OX:  0.04
1746024708.1775346 N:   53, t: 52885858, dt: 19431, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -3.39, VEL_AVG: -0.02, I: -7.17, D:  0.05, VEL_OUT: -14.05, MS_MPC: 22029.90, ax:  0.01, ay: -0.00, az:  1.00, gx:  1.34, gy: -0.61, gz:  0.67, OX:  0.01
1746024708.183555  N:   54, t: 52909233, dt: 23375, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.17, I: -7.34, D: -0.15, VEL_OUT: -17.87, MS_MPC: 22024.77, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.98, gy: -0.55, gz:  0.55, OX: -0.04
1746024708.2313895 N:   55, t: 52927479, dt: 18246, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.16, I: -7.50, D:  0.01, VEL_OUT: -16.49, MS_MPC: 22029.90, ax: -0.00, ay: -0.01, az:  0.99, gx:  0.49, gy: -0.61, gz:  0.24, OX: -0.02
1746024708.2373743 N:   56, t: 52944854, dt: 17375, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -7.52, D:  0.13, VEL_OUT: -14.00, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  0.99, gx: -0.12, gy: -0.12, gz:  0.24, OX: -0.05
1746024708.2443802 N:   57, t: 52969496, dt: 24642, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.89, VEL_AVG:  0.14, I: -7.66, D: -0.11, VEL_OUT: -17.89, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.67, gy:  0.18, gz:  0.73, OX: -0.01
1746024708.292228  N:   58, t: 52985540, dt: 16044, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.37, VEL_AVG: -0.25, I: -7.91, D: -0.11, VEL_OUT: -19.37, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.37, gy:  0.18, gz:  0.92, OX: -0.00
1746024708.2972553 N:   59, t: 53006124, dt: 20584, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -7.92, D:  0.24, VEL_OUT: -13.45, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  1.01, gx: -0.06, gy:  0.43, gz:  1.34, OX:  0.06
1746024708.3041954 N:   60, t: 53025284, dt: 19160, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.01, I: -7.92, D: -0.00, VEL_OUT: -15.95, MS_MPC: 22040.17, ax: -0.00, ay: -0.00, az:  1.02, gx:  0.49, gy:  0.73, gz:  0.92, OX:  0.02
1746024708.408914  N:   61, t: 53045292, dt: 20008, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -7.93, D:  0.00, VEL_OUT: -15.94, MS_MPC: 22040.17, ax:  0.01, ay: -0.02, az:  1.02, gx:  0.98, gy:  0.73, gz: -0.24, OX: -0.21
1746024708.4148986 N:   62, t: 53069943, dt: 24651, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -0.89, VEL_AVG: -0.16, I: -8.09, D: -0.15, VEL_OUT: -19.24, MS_MPC: 22035.04, ax:  0.01, ay: -0.03, az:  1.01, gx:  0.85, gy:  1.28, gz:  0.98, OX: -0.04
1746024708.420925  N:   63, t: 53087116, dt: 17173, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -8.10, D:  0.15, VEL_OUT: -14.80, MS_MPC: 22035.04, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.85, gy:  1.34, gz:  1.83, OX:  0.04
1746024708.426883  N:   64, t: 53104610, dt: 17494, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.51, VEL_AVG:  0.03, I: -8.12, D: -0.02, VEL_OUT: -16.67, MS_MPC: 22045.30, ax:  0.01, ay: -0.01, az:  0.98, gx:  0.92, gy:  1.10, gz:  1.34, OX:  0.15
1746024708.4328835 N:   66, t: 53146260, dt: 18305, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -6.00, VEL_AVG: -0.19, I: -8.54, D:  0.04, VEL_OUT: -18.63, MS_MPC: 22014.50, ax: -0.01, ay: -0.01, az:  0.99, gx:  0.73, gy: -0.18, gz: -0.79, OX: -0.06
1746024708.4388344 N:   67, t: 53166256, dt: 19996, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  3.30, VEL_AVG: -0.02, I: -8.56, D:  0.17, VEL_OUT: -15.56, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.24, gz: -1.16, OX:  0.00
1746024708.4717472 N:   68, t: 53185754, dt: 19498, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  3.38, VEL_AVG:  0.26, I: -8.83, D: -0.25, VEL_OUT: -22.76, MS_MPC: 22045.30, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.61, gz: -1.53, OX:  0.01
1746024708.4777331 N:   69, t: 53207112, dt: 21358, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.06, VEL_AVG:  0.02, I: -8.84, D:  0.25, VEL_OUT: -15.42, MS_MPC: 22035.04, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.18, gy: -0.61, gz: -2.01, OX: -0.01
1746024708.5316074 N:   70, t: 53228965, dt: 21853, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -3.02, VEL_AVG: -0.12, I: -8.96, D: -0.10, VEL_OUT: -20.12, MS_MPC: 22019.63, ax:  0.01, ay: -0.02, az:  1.01, gx: -0.06, gy: -0.85, gz: -2.08, OX: -0.13
1746024708.53757   N:   71, t: 53247122, dt: 18157, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  6.05, VEL_AVG:  0.39, I: -9.35, D: -0.27, VEL_OUT: -25.22, MS_MPC: 22045.30, ax:  0.01, ay: -0.02, az:  1.02, gx: -0.31, gy: -0.79, gz: -1.77, OX: -0.04
1746024708.5435717 N:   72, t: 53266280, dt: 19158, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.29, VEL_AVG:  0.00, I: -9.35, D:  0.38, VEL_OUT: -14.91, MS_MPC: 22035.04, ax:  0.01, ay: -0.03, az:  1.01, gx: -0.61, gy: -0.73, gz: -1.53, OX: -0.00
1746024708.5914266 N:   73, t: 53288877, dt: 22597, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.94, VEL_AVG: -0.16, I: -9.51, D: -0.16, VEL_OUT: -22.17, MS_MPC: 22024.77, ax:  0.01, ay: -0.03, az:  1.01, gx: -0.73, gy: -0.73, gz: -0.73, OX: -0.02
1746024708.597411  N:   74, t: 53305228, dt: 16351, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  4.03, VEL_AVG:  0.25, I: -9.76, D: -0.09, VEL_OUT: -22.96, MS_MPC: 22040.17, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.73, gy: -0.73, gz: -0.31, OX:  0.11
1746024708.6462803 N:   75, t: 53324637, dt: 19409, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -10.01, D:  0.00, VEL_OUT: -22.54, MS_MPC: 22040.17, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.67, gy: -1.10, gz: -0.37, OX:  0.00
1746024708.6522799 N:   76, t: 53344965, dt: 20328, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.14, I: -10.15, D:  0.11, VEL_OUT: -20.55, MS_MPC: 22029.90, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.49, gy: -0.92, gz: -0.79, OX:  0.02
1746024708.658266  N:   77, t: 53366664, dt: 21699, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.01, VEL_AVG: -0.14, I: -10.30, D: -0.01, VEL_OUT: -22.09, MS_MPC: 22024.77, ax:  0.00, ay: -0.02, az:  0.99, gx: -0.55, gy: -0.43, gz: -0.49, OX: -0.00
1746024708.6642334 N:   78, t: 53386025, dt: 19361, ENC_DEG:  4.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.36, I: -10.65, D: -0.21, VEL_OUT: -26.99, MS_MPC: 22024.77, ax:  0.00, ay: -0.02, az:  0.99, gx: -0.61, gy: -0.12, gz: -0.06, OX:  0.02
1746024708.7121162 N:   79, t: 53407662, dt: 21637, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.17, I: -10.82, D:  0.19, VEL_OUT: -21.39, MS_MPC: 22029.90, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.24, gy:  0.00, gz:  0.37, OX:  0.00
1746024708.7180872 N:   80, t: 53424987, dt: 17325, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -10.93, D:  0.05, VEL_OUT: -22.52, MS_MPC: 22029.90, ax:  0.01, ay: -0.02, az:  1.01, gx: -0.18, gy: -0.12, gz:  0.55, OX: -0.02
1746024708.7240727 N:   81, t: 53446268, dt: 21281, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -2.07, VEL_AVG: -0.12, I: -11.05, D: -0.00, VEL_OUT: -23.27, MS_MPC: 22019.63, ax:  0.01, ay: -0.02, az:  1.01, gx: -0.18, gy:  0.49, gz:  1.53, OX:  0.06
1746024708.7719448 N:   82, t: 53465167, dt: 18899, ENC_DEG:  4.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -11.18, D: -0.02, VEL_OUT: -23.91, MS_MPC: 22019.63, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.18, gy:  1.04, gz:  2.01, OX:  0.02
1746024708.77793   N:   83, t: 53484452, dt: 19285, ENC_DEG:  4.53, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.27, I: -11.46, D: -0.14, VEL_OUT: -27.05, MS_MPC: 22024.77, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.18, gy:  0.85, gz:  2.14, OX:  0.04
