1746025649.9582546 N:   26, t: 28711654, dt: 23223, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.14, I: -2.91, D:  0.09, VEL_OUT: -6.32, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.12, OX: -0.00
1746025650.0609796 N:   28, t: 28772010, dt: 23112, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  2.85, VEL_AVG:  0.35, I: -3.33, D: -0.29, VEL_OUT: -13.03, MS_MPC: 21999.09, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.06, gz: -0.24, OX: -0.01
1746025650.066964  N:   29, t: 28809581, dt: 37571, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -0.58, VEL_AVG:  0.20, I: -3.53, D:  0.15, VEL_OUT: -7.48, MS_MPC: 21993.95, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.12, gy:  0.00, gz: -0.49, OX: -0.07
1746025650.0729492 N:   30, t: 28831389, dt: 21808, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.43, I: -3.96, D: -0.24, VEL_OUT: -14.62, MS_MPC: 21993.95, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.18, gz: -0.37, OX:  0.00
1746025650.0789318 N:   31, t: 28850679, dt: 19290, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -4.00, D:  0.40, VEL_OUT: -4.33, MS_MPC: 21993.95, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.31, gz: -0.37, OX: -0.01
1746025650.0849168 N:   34, t: 28909512, dt: 17230, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.02, I: -4.32, D:  0.10, VEL_OUT: -7.87, MS_MPC: 21993.95, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.37, gz:  0.12, OX:  0.02
1746025650.0918968 N:   35, t: 28930795, dt: 21283, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -3.10, VEL_AVG: -0.24, I: -4.56, D: -0.22, VEL_OUT: -13.73, MS_MPC: 21978.52, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.31, gz: -0.12, OX: -0.01
1746025650.41902   N:   36, t: 28951795, dt: 21000, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  3.14, VEL_AVG:  0.10, I: -4.66, D:  0.14, VEL_OUT: -9.01, MS_MPC: 21993.95, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.24, gz: -0.18, OX:  0.00
1746025650.4818761 N:   37, t: 28969124, dt: 17329, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -2.54, VEL_AVG:  0.12, I: -4.78, D: -0.01, VEL_OUT: -10.87, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.12, gz: -0.24, OX: -0.03
1746025650.4868639 N:   38, t: 28988577, dt: 19453, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.05, I: -4.83, D:  0.06, VEL_OUT: -9.57, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.31, gz: -0.31, OX: -0.02
1746025650.54071   N:   39, t: 29013006, dt: 24429, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -1.80, VEL_AVG: -0.05, I: -4.88, D:  0.01, VEL_OUT: -10.16, MS_MPC: 21978.52, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.06, gz: -0.24, OX: -0.01
1746025650.7770634 N:   42, t: 29068586, dt: 16020, ENC_DEG:  4.31, REF:  0.00, VEL_RAW: -4.11, VEL_AVG: -0.41, I: -5.65, D: -0.34, VEL_OUT: -18.88, MS_MPC: 21973.37, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.24, gz: -0.12, OX: -0.03
1746025650.783047  N:   44, t: 29314124, dt: 24468, ENC_DEG:  4.31, REF:  0.00, VEL_RAW: -3.59, VEL_AVG: -0.68, I: -6.72, D: -0.30, VEL_OUT: -23.24, MS_MPC: 21973.37, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.61, gz: -0.24, OX: -0.01
1746025650.8977418 N:   45, t: 29353315, dt: 39191, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.68, VEL_AVG: -0.46, I: -7.18, D:  0.22, VEL_OUT: -16.79, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.43, gz: -0.06, OX: -0.02
1746025650.903725  N:   47, t: 29388559, dt: 18261, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.31, I: -8.06, D:  0.26, VEL_OUT: -16.64, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.37, gz: -0.18, OX: -0.03
1746025650.9097197 N:   50, t: 29450588, dt: 17071, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.56, I: -9.71, D: -0.20, VEL_OUT: -27.02, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.37, gz: -0.12, OX:  0.01
1746025650.9156928 N:   51, t: 29651002, dt: 200414, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  0.11, VEL_AVG: -0.40, I: -10.11, D:  0.16, VEL_OUT: -22.62, MS_MPC: 21988.80, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.00, gz:  0.61, OX:  0.01
1746025650.921676  N:   54, t: 29709718, dt: 18422, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.31, I: -11.47, D:  0.34, VEL_OUT: -22.58, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.55, gy: -0.18, gz:  0.06, OX: -0.03
1746025650.9635656 N:   55, t: 29770759, dt: 61041, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.34, I: -11.81, D: -0.03, VEL_OUT: -27.35, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.24, gz:  0.06, OX: -0.00
1746025650.9695485 N:   56, t: 29791138, dt: 20379, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -11.85, D:  0.30, VEL_OUT: -21.12, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.24, gz: -0.06, OX: -0.00
1746025650.974567  N:   57, t: 29808377, dt: 17239, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.27, VEL_AVG: -0.08, I: -11.92, D: -0.03, VEL_OUT: -24.94, MS_MPC: 21988.80, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.43, gy: -0.31, gz:  0.31, OX:  0.01
1746025651.0224257 N:   58, t: 29829735, dt: 21358, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -12.00, D:  0.00, VEL_OUT: -24.75, MS_MPC: 21988.80, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.49, gy: -0.43, gz:  0.24, OX: -0.02
