1746024875.2859514 N:   18, t: 26195728, dt: 19266, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -6.30, D:  0.10, VEL_OUT: -14.10, MS_MPC: 27034.38, ax: -0.02, ay:  0.01, az:  0.98, gx: -2.08, gy: 12.27, gz:  9.22, OX:  0.32
1746024875.333824  N:   19, t: 26215930, dt: 20202, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.07, I: -6.36, D:  0.18, VEL_OUT: -11.57, MS_MPC: 27020.77, ax: -0.02, ay:  0.02, az:  0.96, gx: -1.04, gy: 11.11, gz:  8.79, OX:  0.04
1746024875.3398232 N:   20, t: 26237409, dt: 21479, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  2.05, VEL_AVG: -0.09, I: -6.45, D: -0.02, VEL_OUT: -14.01, MS_MPC: 27007.13, ax: -0.02, ay:  0.03, az:  0.96, gx:  0.79, gy:  8.12, gz:  6.96, OX:  0.06
1746024875.3457909 N:   21, t: 26258099, dt: 20690, ENC_DEG: 77.87, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.24, I: -6.70, D: -0.16, VEL_OUT: -17.39, MS_MPC: 27013.95, ax: -0.03, ay:  0.02, az:  0.96, gx:  1.34, gy:  5.13, gz:  4.82, OX: -0.02
1746024875.4514732 N:   22, t: 26281077, dt: 22978, ENC_DEG: 77.92, REF:  0.00, VEL_RAW:  1.91, VEL_AVG:  0.47, I: -7.17, D: -0.23, VEL_OUT: -21.39, MS_MPC: 27000.28, ax: -0.03, ay:  0.02, az:  0.96, gx:  1.53, gy:  1.16, gz:  0.67, OX: -0.02
1746024875.456459  N:   23, t: 26296189, dt: 15112, ENC_DEG: 77.89, REF:  0.00, VEL_RAW: -1.45, VEL_AVG:  0.35, I: -7.52, D:  0.12, VEL_OUT: -17.37, MS_MPC: 27007.13, ax: -0.02, ay:  0.02, az:  0.97, gx:  1.71, gy: -0.92, gz: -0.24, OX:  0.01
1746024875.4624434 N:   24, t: 26315618, dt: 19429, ENC_DEG: 77.94, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.45, I: -7.97, D: -0.09, VEL_OUT: -21.34, MS_MPC: 26993.42, ax: -0.02, ay:  0.02, az:  0.99, gx:  1.59, gy: -2.44, gz: -3.54, OX: -0.04
1746024875.4684408 N:   25, t: 26337390, dt: 21772, ENC_DEG: 77.87, REF:  0.00, VEL_RAW: -3.03, VEL_AVG:  0.19, I: -8.16, D:  0.25, VEL_OUT: -15.75, MS_MPC: 27013.95, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.49, gy: -4.03, gz: -5.00, OX: -0.00
1746024875.47542   N:   27, t: 26382048, dt: 25353, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -1.73, VEL_AVG: -0.05, I: -8.40, D:  0.13, VEL_OUT: -15.97, MS_MPC: 27020.77, ax:  0.00, ay:  0.01, az:  1.01, gx: -1.16, gy: -4.03, gz: -5.62, OX: -0.09
1746024875.513307  N:   28, t: 26396978, dt: 14930, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -8.59, D: -0.14, VEL_OUT: -20.43, MS_MPC: 27020.77, ax:  0.01, ay:  0.01, az:  1.01, gx: -1.89, gy: -3.11, gz: -6.04, OX: -0.06
