1746174080.8143964 N:   22, t: 22105467, dt: 17969, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  3.67, VEL_AVG:  0.24, I: -4.48, D: -0.02, VEL_OUT: -11.49, MS_MPC: 22254.69, ax:  0.06, ay:  0.01, az:  1.00, gx:  1.68, gy: -0.64, gz: -0.12, OX: -0.00
1746174080.8203816 N:   23, t: 22126435, dt: 20968, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.32, I: -4.80, D: -0.09, VEL_OUT: -13.72, MS_MPC: 22259.77, ax:  0.06, ay:  0.01, az:  0.99, gx:  1.62, gy: -0.64, gz: -0.61, OX:  0.02
1746174080.8253655 N:   26, t: 22186405, dt: 20666, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  7.44, VEL_AVG:  0.14, I: -5.66, D:  0.55, VEL_OUT: -7.28, MS_MPC: 22259.77, ax:  0.05, ay:  0.01, az:  1.00, gx:  1.07, gy: -0.64, gz:  0.06, OX:  0.03
1746174080.8607092 N:   27, t: 22204725, dt: 18320, ENC_DEG:  5.52, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.16, I: -5.82, D: -0.01, VEL_OUT: -13.36, MS_MPC: 22254.69, ax:  0.05, ay:  0.00, az:  1.00, gx:  0.95, gy: -0.58, gz: -0.18, OX: -0.06
1746174080.8671904 N:   28, t: 22226202, dt: 21477, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.26, I: -6.08, D: -0.10, VEL_OUT: -15.75, MS_MPC: 22254.69, ax:  0.05, ay:  0.00, az:  0.99, gx:  0.95, gy: -0.15, gz: -0.37, OX: -0.00
1746174080.9207466 N:   29, t: 22245765, dt: 19563, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -6.15, D:  0.19, VEL_OUT: -11.07, MS_MPC: 22254.69, ax:  0.06, ay: -0.00, az:  0.99, gx:  0.64, gy: -0.40, gz: -0.37, OX: -0.11
1746174080.9266021 N:   30, t: 22266021, dt: 20256, ENC_DEG:  5.49, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.02, I: -6.17, D:  0.05, VEL_OUT: -12.11, MS_MPC: 22249.61, ax:  0.06, ay: -0.00, az:  0.99, gx:  0.27, gy: -0.15, gz:  0.00, OX:  0.01
1746174080.933682  N:   31, t: 22286315, dt: 20294, ENC_DEG:  5.56, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.25, I: -6.42, D: -0.23, VEL_OUT: -17.57, MS_MPC: 22264.86, ax:  0.05, ay: -0.00, az:  0.99, gx: -0.09, gy:  0.34, gz:  0.43, OX: -0.03
1746174080.93867   N:   32, t: 22305126, dt: 18811, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -4.67, VEL_AVG: -0.23, I: -6.64, D:  0.02, VEL_OUT: -15.33, MS_MPC: 22244.52, ax:  0.05, ay:  0.00, az:  0.99, gx: -0.46, gy:  0.40, gz:  1.04, OX:  0.11
1746174080.9807603 N:   33, t: 22326242, dt: 21116, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.13, I: -6.78, D:  0.09, VEL_OUT: -13.94, MS_MPC: 22249.61, ax:  0.05, ay:  0.01, az:  0.99, gx: -0.52, gy:  0.21, gz:  0.92, OX:  0.03
