1746174369.2251322 N:   21, t: 23189067, dt: 25160, ENC_DEG: 81.96, REF:  0.00, VEL_RAW:  5.24, VEL_AVG:  0.56, I: -6.18, D: -0.37, VEL_OUT: -21.63, MS_MPC: 25518.87, ax: -0.03, ay:  0.01, az:  1.01, gx:  0.06, gy: -1.37, gz:  0.70, OX: -0.00
1746174369.2321222 N:   23, t: 23224604, dt: 19208, ENC_DEG: 81.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.61, I: -7.47, D:  0.07, VEL_OUT: -20.29, MS_MPC: 25583.90, ax: -0.02, ay:  0.02, az:  1.01, gx:  0.06, gy: -1.43, gz:  0.46, OX:  0.01
1746174369.2371    N:   26, t: 23286590, dt: 16996, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.02, I: -7.91, D:  0.15, VEL_OUT: -14.46, MS_MPC: 25565.40, ax: -0.02, ay:  0.01, az:  1.01, gx:  0.06, gy: -1.19, gz:  0.34, OX: -0.01
1746174369.2784474 N:   28, t: 23364527, dt: 19179, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -4.58, VEL_AVG: -0.64, I: -8.80, D: -0.38, VEL_OUT: -27.80, MS_MPC: 25583.90, ax: -0.03, ay:  0.01, az:  1.01, gx:  0.06, gy: -0.46, gz:  0.34, OX:  0.04
1746174369.284399  N:   29, t: 23463095, dt: 98568, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  0.45, VEL_AVG: -0.33, I: -9.14, D:  0.31, VEL_OUT: -18.53, MS_MPC: 25565.40, ax: -0.03, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.52, gz:  1.68, OX: -0.02
1746174369.2902184 N:   30, t: 23484658, dt: 21563, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.42, I: -9.56, D: -0.09, VEL_OUT: -24.23, MS_MPC: 25565.40, ax: -0.03, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.15, gz:  1.43, OX:  0.02
1746174369.2968464 N:   31, t: 23502918, dt: 18260, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -2.41, VEL_AVG: -0.53, I: -10.09, D: -0.11, VEL_OUT: -26.60, MS_MPC: 25583.90, ax: -0.03, ay:  0.02, az:  1.01, gx:  0.18, gy: -0.27, gz:  0.95, OX:  0.01
1746174369.3028853 N:   32, t: 23526152, dt: 23234, ENC_DEG: 81.87, REF:  0.00, VEL_RAW:  2.84, VEL_AVG: -0.39, I: -10.48, D:  0.14, VEL_OUT: -23.45, MS_MPC: 25556.12, ax: -0.03, ay:  0.01, az:  1.01, gx:  0.24, gy: -0.64, gz:  0.21, OX: -0.04
1746174369.3467948 N:   33, t: 23547070, dt: 20918, ENC_DEG: 81.89, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.74, I: -11.22, D: -0.35, VEL_OUT: -33.33, MS_MPC: 25546.83, ax: -0.03, ay:  0.01, az:  1.01, gx:  0.06, gy: -0.70, gz:  0.76, OX:  0.03
1746174369.3541927 N:   34, t: 23565313, dt: 18243, ENC_DEG: 81.85, REF:  0.00, VEL_RAW: -2.41, VEL_AVG: -0.16, I: -11.38, D:  0.58, VEL_OUT: -18.47, MS_MPC: 25565.40, ax: -0.02, ay:  0.02, az:  1.00, gx:  0.18, gy: -0.21, gz:  0.95, OX:  0.05
1746174369.4043462 N:   35, t: 23582982, dt: 17669, ENC_DEG: 81.87, REF:  0.00, VEL_RAW:  1.24, VEL_AVG: -0.05, I: -11.43, D:  0.10, VEL_OUT: -22.34, MS_MPC: 25556.12, ax: -0.02, ay:  0.02, az:  1.00, gx:  0.37, gy: -0.40, gz:  0.89, OX: -0.07
1746174369.4096732 N:   36, t: 23604649, dt: 21667, ENC_DEG: 81.89, REF:  0.00, VEL_RAW:  1.01, VEL_AVG: -0.06, I: -11.49, D: -0.01, VEL_OUT: -23.74, MS_MPC: 25546.83, ax: -0.02, ay:  0.01, az:  1.01, gx:  0.43, gy: -0.52, gz:  0.70, OX: -0.02
1746174369.4156618 N:   37, t: 23624030, dt: 19381, ENC_DEG: 81.83, REF:  0.00, VEL_RAW: -3.40, VEL_AVG: -0.35, I: -11.84, D: -0.28, VEL_OUT: -29.98, MS_MPC: 25574.66, ax: -0.03, ay:  0.01, az:  1.01, gx:  0.24, gy: -0.15, gz:  0.76, OX: -0.01
1746174369.5204003 N:   38, t: 23646872, dt: 22842, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -0.96, VEL_AVG: -0.54, I: -12.37, D: -0.19, VEL_OUT: -31.98, MS_MPC: 25583.90, ax: -0.03, ay:  0.01, az:  1.02, gx:  0.24, gy:  0.46, gz:  1.74, OX:  0.02
1746174369.5269592 N:   39, t: 23663843, dt: 16971, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  2.59, VEL_AVG: -0.38, I: -12.76, D:  0.15, VEL_OUT: -27.79, MS_MPC: 25565.40, ax: -0.02, ay:  0.01, az:  1.01, gx:  0.00, gy:  0.52, gz:  1.68, OX: -0.04
1746174369.5323312 N:   40, t: 23684655, dt: 20812, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -2.11, VEL_AVG: -0.18, I: -12.93, D:  0.21, VEL_OUT: -25.56, MS_MPC: 25583.90, ax: -0.02, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.70, gz:  2.11, OX:  0.14
1746174369.5404649 N:   41, t: 23705397, dt: 20742, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  2.12, VEL_AVG: -0.04, I: -12.97, D:  0.14, VEL_OUT: -24.91, MS_MPC: 25565.40, ax: -0.02, ay:  0.02, az:  1.00, gx: -0.12, gy:  0.89, gz:  1.98, OX:  0.03
1746174369.546467  N:   44, t: 23764096, dt: 19196, ENC_DEG: 81.83, REF:  0.00, VEL_RAW: -2.29, VEL_AVG: -0.21, I: -13.63, D:  0.02, VEL_OUT: -29.14, MS_MPC: 25574.66, ax: -0.02, ay:  0.02, az:  1.00, gx:  0.24, gy: -0.27, gz:  0.40, OX: -0.00
1746174369.7005067 N:   45, t: 23784649, dt: 20553, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.20, I: -13.84, D:  0.00, VEL_OUT: -29.69, MS_MPC: 25565.40, ax: -0.02, ay:  0.00, az:  1.00, gx:  0.49, gy: -0.70, gz: -0.70, OX: -0.13
1746174369.7064896 N:   46, t: 23808893, dt: 24244, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -13.84, D:  0.20, VEL_OUT: -25.70, MS_MPC: 25565.40, ax: -0.03, ay: -0.00, az:  1.01, gx:  0.37, gy: -0.46, gz:  0.15, OX: -0.03
1746174369.713424  N:   47, t: 23822935, dt: 14042, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -3.13, VEL_AVG: -0.37, I: -14.21, D: -0.36, VEL_OUT: -35.73, MS_MPC: 25583.90, ax: -0.02, ay:  0.02, az:  1.01, gx:  0.49, gy:  0.70, gz:  2.78, OX:  0.21
1746174369.717657  N:   48, t: 23844061, dt: 21126, ENC_DEG: 81.89, REF:  0.00, VEL_RAW:  4.16, VEL_AVG: -0.10, I: -14.31, D:  0.26, VEL_OUT: -27.05, MS_MPC: 25546.83, ax: -0.02, ay:  0.01, az:  1.01, gx:  0.31, gy:  0.76, gz:  3.45, OX: -0.05
1746174369.723947  N:   52, t: 23924641, dt: 19066, ENC_DEG: 81.83, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.04, I: -14.91, D:  0.27, VEL_OUT: -27.53, MS_MPC: 25574.66, ax: -0.03, ay:  0.02, az:  1.01, gx: -0.61, gy: -1.25, gz:  2.47, OX:  0.08
