1746173753.439708  N:   22, t: 27163789, dt: 21665, ENC_DEG: 78.71, REF:  0.00, VEL_RAW:  4.06, VEL_AVG:  0.10, I: -5.62, D:  0.22, VEL_OUT: -10.02, MS_MPC: 26745.74, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.43, gy: -1.71, gz: -2.11, OX: -0.10
1746173753.445693  N:   23, t: 27182211, dt: 18422, ENC_DEG: 78.66, REF:  0.00, VEL_RAW: -2.39, VEL_AVG:  0.01, I: -5.63, D:  0.09, VEL_OUT: -10.47, MS_MPC: 26760.30, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.24, gy: -1.10, gz: -0.34, OX:  0.00
1746173753.4506798 N:   24, t: 27204586, dt: 22375, ENC_DEG: 78.62, REF:  0.00, VEL_RAW: -1.96, VEL_AVG: -0.06, I: -5.69, D: -0.05, VEL_OUT: -12.56, MS_MPC: 26774.81, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.49, gz:  1.86, OX:  0.04
1746173753.4576597 N:   25, t: 27224488, dt: 19902, ENC_DEG: 78.62, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.26, I: -5.95, D: -0.19, VEL_OUT: -16.40, MS_MPC: 26774.81, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.49, gz:  2.96, OX:  0.03
1746173753.4970708 N:   26, t: 27243849, dt: 19361, ENC_DEG: 78.60, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.35, I: -6.30, D: -0.09, VEL_OUT: -17.06, MS_MPC: 26782.06, ax: -0.00, ay:  0.02, az:  0.99, gx:  0.79, gy:  0.06, gz:  4.73, OX:  0.16
1746173753.5033054 N:   27, t: 27262140, dt: 18291, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  3.60, VEL_AVG: -0.27, I: -6.57, D:  0.09, VEL_OUT: -14.95, MS_MPC: 26760.30, ax: -0.01, ay:  0.02, az:  1.00, gx:  1.40, gy:  0.18, gz:  4.30, OX:  0.01
1746173753.6184175 N:   28, t: 27284052, dt: 21912, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -6.65, D:  0.19, VEL_OUT: -12.25, MS_MPC: 26760.30, ax: -0.01, ay:  0.02, az:  1.00, gx:  1.89, gy: -0.24, gz:  3.08, OX: -0.04
1746173753.6239388 N:   29, t: 27302804, dt: 18752, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -6.73, D:  0.00, VEL_OUT: -14.27, MS_MPC: 26760.30, ax: -0.01, ay:  0.02, az:  1.00, gx:  2.08, gy: -0.92, gz:  2.66, OX: -0.01
1746173753.6299264 N:   30, t: 27322788, dt: 19984, ENC_DEG: 78.64, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.17, I: -6.90, D: -0.09, VEL_OUT: -16.45, MS_MPC: 26767.57, ax: -0.00, ay:  0.02, az:  1.01, gx:  2.08, gy: -1.34, gz:  1.92, OX:  0.04
1746173753.6359072 N:   31, t: 27342844, dt: 20056, ENC_DEG: 78.69, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.27, I: -7.17, D: -0.10, VEL_OUT: -18.07, MS_MPC: 26753.03, ax: -0.00, ay:  0.02, az:  1.01, gx:  2.01, gy: -1.71, gz:  1.07, OX: -0.01
1746173753.6418862 N:   34, t: 27407415, dt: 24214, ENC_DEG: 78.71, REF:  0.00, VEL_RAW: -1.81, VEL_AVG:  0.06, I: -8.14, D:  0.49, VEL_OUT: -12.00, MS_MPC: 26745.74, ax: -0.00, ay:  0.00, az:  1.00, gx:  1.34, gy: -0.31, gz: -0.52, OX: -0.13
1746173753.677065  N:   35, t: 27422439, dt: 15024, ENC_DEG: 78.66, REF:  0.00, VEL_RAW: -2.93, VEL_AVG:  0.02, I: -8.16, D:  0.04, VEL_OUT: -16.03, MS_MPC: 26760.30, ax: -0.00, ay: -0.00, az:  0.99, gx:  0.79, gy:  0.18, gz: -0.27, OX: -0.04
