1746174674.2906966 N:   22, t: 22662148, dt: 24379, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  1.80, VEL_AVG: -0.05, I: -4.52, D:  0.01, VEL_OUT: -9.41, MS_MPC: 27825.50, ax:  0.01, ay:  0.00, az:  1.01, gx:  2.01, gy:  0.58, gz: -1.89, OX:  0.00
1746174674.3846505 N:   23, t: 22676516, dt: 14368, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -1.53, VEL_AVG: -0.03, I: -4.55, D:  0.02, VEL_OUT: -9.14, MS_MPC: 27830.83, ax:  0.01, ay:  0.00, az:  0.98, gx:  1.16, gy:  1.13, gz: -2.32, OX: -0.03
1746174674.3912115 N:   24, t: 22696790, dt: 20274, ENC_DEG: 74.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -4.79, D: -0.22, VEL_OUT: -14.14, MS_MPC: 27830.83, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.73, gy:  1.31, gz: -2.08, OX:  0.05
1746174674.396548  N:   25, t: 22716037, dt: 19247, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.04, I: -4.83, D:  0.20, VEL_OUT: -8.01, MS_MPC: 27825.50, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.55, gy:  1.62, gz: -2.08, OX:  0.04
1746174674.442456  N:   26, t: 22741879, dt: 25842, ENC_DEG: 74.88, REF:  0.00, VEL_RAW: -1.70, VEL_AVG: -0.29, I: -5.11, D: -0.25, VEL_OUT: -15.56, MS_MPC: 27836.14, ax:  0.02, ay:  0.01, az:  0.99, gx:  0.61, gy:  1.01, gz: -2.93, OX: -0.02
1746174674.44857   N:   28, t: 22779067, dt: 16364, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -2.69, VEL_AVG:  0.20, I: -5.39, D: -0.13, VEL_OUT: -14.14, MS_MPC: 27830.83, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.21, gz: -4.52, OX: -0.11
1746174674.568612  N:   29, t: 22797616, dt: 18549, ENC_DEG: 74.95, REF:  0.00, VEL_RAW:  2.37, VEL_AVG: -0.07, I: -5.46, D:  0.13, VEL_OUT: -10.35, MS_MPC: 27820.17, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.46, gz: -3.85, OX: -0.02
1746174674.573968  N:   30, t: 22817902, dt: 20286, ENC_DEG: 74.93, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.52, I: -5.99, D: -0.45, VEL_OUT: -21.72, MS_MPC: 27825.50, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.43, gy:  0.76, gz: -3.11, OX: -0.01
1746174674.5799544 N:   31, t: 22842301, dt: 24399, ENC_DEG: 74.88, REF:  0.00, VEL_RAW: -1.80, VEL_AVG: -0.31, I: -6.30, D:  0.21, VEL_OUT: -13.66, MS_MPC: 27836.14, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.64, gz: -2.87, OX:  0.04
1746174674.5859382 N:   34, t: 22897528, dt: 19218, ENC_DEG: 74.93, REF:  0.00, VEL_RAW: -2.29, VEL_AVG:  0.01, I: -6.92, D:  0.34, VEL_OUT: -10.56, MS_MPC: 27825.50, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.06, gy:  0.21, gz: -2.93, OX:  0.01
