1746526793.5586588 N:   19, t: 26650821, dt: 20965, ENC_DEG: 33.77, REF:  0.00, VEL_RAW: -2.10, VEL_AVG:  0.16, I: -10.32, D:  0.37, VEL_OUT: -18.55, MS_MPC: 27673.28, ax:  0.06, ay: -0.06, az:  1.02, gx:  2.99, gy: -0.43, gz:  5.74, OX:  0.02
1746526793.606809  N:   20, t: 26671017, dt: 20196, ENC_DEG: 33.82, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.34, I: -10.65, D: -0.18, VEL_OUT: -26.51, MS_MPC: 27679.62, ax:  0.07, ay: -0.05, az:  1.03, gx:  2.50, gy: -0.73, gz:  5.68, OX:  0.17
1746526793.6128554 N:   21, t: 26689647, dt: 18630, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.18, VEL_AVG:  0.14, I: -10.80, D:  0.20, VEL_OUT: -21.06, MS_MPC: 27676.45, ax:  0.07, ay: -0.04, az:  1.04, gx:  1.95, gy: -0.24, gz:  4.09, OX:  0.04
1746526793.6190019 N:   22, t: 26710497, dt: 20850, ENC_DEG: 33.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -11.02, D: -0.08, VEL_OUT: -25.04, MS_MPC: 27676.45, ax:  0.06, ay: -0.04, az:  1.03, gx:  1.59, gy: -0.12, gz:  2.81, OX: -0.03
1746526793.6249518 N:   23, t: 26730776, dt: 20279, ENC_DEG: 33.86, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.09, I: -11.11, D:  0.13, VEL_OUT: -21.86, MS_MPC: 27685.93, ax:  0.06, ay: -0.05, az:  1.02, gx:  1.28, gy:  0.24, gz:  1.65, OX: -0.06
1746526793.668746  N:   24, t: 26750719, dt: 19943, ENC_DEG: 33.82, REF:  0.00, VEL_RAW: -2.20, VEL_AVG:  0.00, I: -11.12, D:  0.09, VEL_OUT: -21.40, MS_MPC: 27679.62, ax:  0.05, ay: -0.06, az:  0.99, gx:  0.85, gy:  1.16, gz:  0.92, OX: -0.13
1746526793.6747189 N:   25, t: 26775579, dt: 24860, ENC_DEG: 33.88, REF:  0.00, VEL_RAW:  2.65, VEL_AVG: -0.13, I: -11.25, D: -0.13, VEL_OUT: -25.05, MS_MPC: 27689.09, ax:  0.05, ay: -0.07, az:  0.97, gx:  0.37, gy:  1.04, gz:  0.92, OX: -0.07
1746526793.6808095 N:   26, t: 26790896, dt: 15317, ENC_DEG: 33.84, REF:  0.00, VEL_RAW: -2.87, VEL_AVG:  0.02, I: -11.26, D:  0.11, VEL_OUT: -21.54, MS_MPC: 27682.77, ax:  0.03, ay: -0.07, az:  0.98, gx:  0.00, gy:  0.73, gz:  1.53, OX:  0.01
1746526793.7279394 N:   27, t: 26809941, dt: 19045, ENC_DEG: 33.77, REF:  0.00, VEL_RAW: -3.46, VEL_AVG: -0.19, I: -11.45, D: -0.17, VEL_OUT: -26.44, MS_MPC: 27673.28, ax:  0.02, ay: -0.07, az:  0.99, gx: -0.31, gy:  0.61, gz:  1.65, OX:  0.06
1746526793.7872653 N:   28, t: 26829613, dt: 19672, ENC_DEG: 33.91, REF:  0.00, VEL_RAW:  6.70, VEL_AVG:  0.15, I: -11.60, D:  0.03, VEL_OUT: -24.36, MS_MPC: 27692.23, ax:  0.01, ay: -0.06, az:  1.01, gx:  0.00, gy:  0.92, gz:  1.95, OX:  0.05
1746526793.793322  N:   29, t: 26849920, dt: 20307, ENC_DEG: 33.84, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.12, I: -11.72, D:  0.03, VEL_OUT: -24.32, MS_MPC: 27682.77, ax:  0.03, ay: -0.06, az:  1.01, gx:  0.00, gy:  0.85, gz:  1.83, OX:  0.03
1746526793.799343  N:   30, t: 26870907, dt: 20987, ENC_DEG: 33.82, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.11, I: -11.83, D:  0.01, VEL_OUT: -24.66, MS_MPC: 27679.62, ax:  0.03, ay: -0.06, az:  1.01, gx:  0.00, gy:  0.06, gz:  2.62, OX:  0.05
1746526793.8055396 N:   31, t: 26891017, dt: 20110, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.03, I: -11.85, D:  0.08, VEL_OUT: -23.14, MS_MPC: 27676.45, ax:  0.03, ay: -0.05, az:  1.01, gx:  0.06, gy:  0.06, gz:  3.66, OX:  0.18
1746526793.8112497 N:   32, t: 26911186, dt: 20169, ENC_DEG: 33.88, REF:  0.00, VEL_RAW:  4.36, VEL_AVG:  0.16, I: -12.01, D: -0.13, VEL_OUT: -26.86, MS_MPC: 27689.09, ax:  0.03, ay: -0.04, az:  1.01, gx: -0.06, gy: -0.24, gz:  3.91, OX:  0.05
1746526793.8175507 N:   33, t: 26930204, dt: 19018, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -4.62, VEL_AVG: -0.13, I: -12.14, D:  0.02, VEL_OUT: -25.36, MS_MPC: 27676.45, ax:  0.03, ay: -0.03, az:  1.01, gx: -0.49, gy: -0.55, gz:  3.72, OX:  0.07
1746526793.848232  N:   34, t: 26949500, dt: 19296, ENC_DEG: 33.82, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.04, I: -12.18, D:  0.09, VEL_OUT: -23.77, MS_MPC: 27679.62, ax:  0.02, ay: -0.04, az:  1.00, gx: -0.67, gy: -0.55, gz:  3.23, OX: -0.13
1746526793.9079497 N:   35, t: 26970734, dt: 21234, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.39, I: -12.57, D: -0.36, VEL_OUT: -32.65, MS_MPC: 27676.45, ax:  0.02, ay: -0.04, az:  0.98, gx: -0.73, gy: -0.67, gz:  3.85, OX: -0.00
1746526793.9656796 N:   36, t: 26990013, dt: 19279, ENC_DEG: 33.82, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.12, I: -12.69, D:  0.28, VEL_OUT: -23.74, MS_MPC: 27679.62, ax:  0.01, ay: -0.04, az:  0.98, gx: -0.31, gy: -1.46, gz:  4.58, OX:  0.02
1746526793.970951  N:   37, t: 27010532, dt: 20519, ENC_DEG: 33.88, REF:  0.00, VEL_RAW:  3.21, VEL_AVG: -0.07, I: -12.76, D:  0.05, VEL_OUT: -25.73, MS_MPC: 27689.09, ax: -0.01, ay: -0.04, az:  0.97, gx: -0.24, gy: -2.08, gz:  4.27, OX:  0.04
1746526793.9776585 N:   39, t: 27052182, dt: 22608, ENC_DEG: 33.86, REF:  0.00, VEL_RAW: -1.94, VEL_AVG:  0.39, I: -13.42, D: -0.13, VEL_OUT: -32.03, MS_MPC: 27685.93, ax: -0.02, ay: -0.03, az:  0.99, gx:  0.24, gy: -2.87, gz:  2.26, OX: -0.00
1746526793.9836543 N:   40, t: 27070205, dt: 18023, ENC_DEG: 33.91, REF:  0.00, VEL_RAW:  2.44, VEL_AVG:  0.04, I: -13.45, D:  0.36, VEL_OUT: -23.73, MS_MPC: 27692.23, ax: -0.01, ay: -0.05, az:  1.00, gx:  0.73, gy: -2.93, gz:  2.50, OX: -0.06
1746526793.988604  N:   41, t: 27094667, dt: 24462, ENC_DEG: 33.86, REF:  0.00, VEL_RAW: -1.80, VEL_AVG:  0.16, I: -13.61, D: -0.12, VEL_OUT: -30.02, MS_MPC: 27685.93, ax:  0.02, ay: -0.04, az:  1.02, gx:  0.61, gy: -2.62, gz:  3.11, OX:  0.00
1746526793.995779  N:   42, t: 27111503, dt: 16836, ENC_DEG: 33.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -13.86, D: -0.09, VEL_OUT: -31.05, MS_MPC: 27685.93, ax: -0.00, ay: -0.03, az:  1.02, gx:  0.67, gy: -2.44, gz:  3.54, OX:  0.15
1746526794.028683  N:   43, t: 27130788, dt: 19285, ENC_DEG: 33.91, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.53, I: -14.39, D: -0.28, VEL_OUT: -36.85, MS_MPC: 27692.23, ax:  0.00, ay: -0.03, az:  1.02, gx:  0.98, gy: -1.95, gz:  3.72, OX: -0.01
1746526794.0346591 N:   44, t: 27151981, dt: 21193, ENC_DEG: 33.82, REF:  0.00, VEL_RAW: -4.15, VEL_AVG: -0.18, I: -14.57, D:  0.35, VEL_OUT: -27.50, MS_MPC: 27679.62, ax:  0.01, ay: -0.03, az:  1.02, gx:  0.67, gy: -1.28, gz:  3.91, OX:  0.10
1746526794.0883868 N:   45, t: 27171056, dt: 19075, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.11, I: -14.67, D:  0.07, VEL_OUT: -29.68, MS_MPC: 27676.45, ax:  0.01, ay: -0.03, az:  1.02, gx:  0.49, gy: -0.85, gz:  3.72, OX: -0.04
1746526794.1433    N:   46, t: 27191182, dt: 20126, ENC_DEG: 33.86, REF:  0.00, VEL_RAW:  3.28, VEL_AVG:  0.29, I: -14.96, D: -0.18, VEL_OUT: -34.55, MS_MPC: 27685.93, ax: -0.01, ay: -0.03, az:  1.02, gx:  0.24, gy: -0.12, gz:  4.64, OX:  0.11
1746526794.149149  N:   47, t: 27216364, dt: 25182, ENC_DEG: 33.91, REF:  0.00, VEL_RAW:  1.75, VEL_AVG:  0.52, I: -15.48, D: -0.23, VEL_OUT: -38.44, MS_MPC: 27692.23, ax: -0.02, ay: -0.01, az:  1.01, gx:  0.00, gy:  0.37, gz:  4.82, OX:  0.15
1746526794.2043104 N:   48, t: 27231205, dt: 14841, ENC_DEG: 33.84, REF:  0.00, VEL_RAW: -4.44, VEL_AVG:  0.05, I: -15.53, D:  0.47, VEL_OUT: -26.92, MS_MPC: 27682.77, ax: -0.03, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.79, gz:  4.03, OX:  0.03
1746526794.2093103 N:   49, t: 27250198, dt: 18993, ENC_DEG: 33.91, REF:  0.00, VEL_RAW:  3.47, VEL_AVG:  0.07, I: -15.60, D: -0.02, VEL_OUT: -32.15, MS_MPC: 27692.23, ax: -0.03, ay: -0.00, az:  0.99, gx:  0.24, gy:  0.98, gz:  2.32, OX: -0.02
1746526794.215303  N:   51, t: 27289988, dt: 18798, ENC_DEG: 33.88, REF:  0.00, VEL_RAW:  2.34, VEL_AVG:  0.07, I: -15.96, D:  0.21, VEL_OUT: -30.52, MS_MPC: 27689.09, ax: -0.04, ay:  0.00, az:  0.99, gx:  0.79, gy:  0.06, gz:  0.31, OX:  0.03
1746526794.222288  N:   52, t: 27316184, dt: 26196, ENC_DEG: 33.91, REF:  0.00, VEL_RAW:  0.84, VEL_AVG: -0.06, I: -16.02, D:  0.01, VEL_OUT: -32.53, MS_MPC: 27692.23, ax: -0.04, ay:  0.01, az:  1.00, gx:  1.46, gy:  0.18, gz: -4.82, OX:  0.05
1746526794.3277192 N:   54, t: 27350064, dt: 18829, ENC_DEG: 33.84, REF:  0.00, VEL_RAW: -3.50, VEL_AVG: -0.20, I: -16.31, D: -0.11, VEL_OUT: -35.79, MS_MPC: 27682.77, ax: -0.01, ay:  0.00, az:  0.99, gx:  2.62, gy: -0.55, gz: -10.74, OX: -0.14
1746526794.3353653 N:   55, t: 27370905, dt: 20841, ENC_DEG: 33.82, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.48, I: -16.79, D: -0.28, VEL_OUT: -41.17, MS_MPC: 27679.62, ax: -0.01, ay: -0.01, az:  1.00, gx:  3.36, gy: -1.65, gz: -13.31, OX: -0.19
1746526794.3413498 N:   56, t: 27391014, dt: 20109, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.23, I: -17.02, D:  0.25, VEL_OUT: -33.75, MS_MPC: 27676.45, ax: -0.00, ay: -0.02, az:  1.00, gx:  3.30, gy: -2.44, gz: -16.42, OX: -0.08
1746526794.3463385 N:   57, t: 27410476, dt: 19462, ENC_DEG: 33.84, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.06, I: -17.08, D:  0.17, VEL_OUT: -33.05, MS_MPC: 27682.77, ax:  0.01, ay: -0.04, az:  0.99, gx:  3.48, gy: -2.99, gz: -17.52, OX: -0.12
1746526794.3543143 N:   60, t: 27471724, dt: 15797, ENC_DEG: 33.84, REF:  0.00, VEL_RAW: -4.17, VEL_AVG: -0.20, I: -18.01, D:  0.02, VEL_OUT: -37.82, MS_MPC: 27682.77, ax:  0.01, ay: -0.08, az:  0.98, gx:  3.23, gy: -5.68, gz: -16.97, OX: -0.03
1746526794.3885958 N:   61, t: 27490996, dt: 19272, ENC_DEG: 33.84, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.49, I: -18.50, D: -0.29, VEL_OUT: -44.81, MS_MPC: 27682.77, ax:  0.01, ay: -0.07, az:  0.98, gx:  3.36, gy: -6.53, gz: -16.85, OX:  0.02
1746526794.394342  N:   62, t: 27510227, dt: 19231, ENC_DEG: 33.86, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.14, I: -18.63, D:  0.36, VEL_OUT: -35.05, MS_MPC: 27685.93, ax:  0.00, ay: -0.07, az:  0.99, gx:  3.36, gy: -6.77, gz: -18.43, OX: -0.07
1746526794.4487925 N:   63, t: 27532226, dt: 21999, ENC_DEG: 33.77, REF:  0.00, VEL_RAW: -4.00, VEL_AVG: -0.66, I: -19.30, D: -0.53, VEL_OUT: -50.50, MS_MPC: 27673.28, ax:  0.01, ay: -0.09, az:  1.00, gx:  3.36, gy: -8.06, gz: -19.84, OX: -0.06
1746526794.4540303 N:   64, t: 27550927, dt: 18701, ENC_DEG: 33.80, REF:  0.00, VEL_RAW:  1.17, VEL_AVG: -0.64, I: -19.93, D:  0.03, VEL_OUT: -45.94, MS_MPC: 27676.45, ax:  0.01, ay: -0.10, az:  1.02, gx:  3.17, gy: -9.28, gz: -20.20, OX: -0.07
1746526794.460199  N:   65, t: 27571183, dt: 20256, ENC_DEG: 33.82, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.54, I: -20.48, D:  0.09, VEL_OUT: -45.50, MS_MPC: 27679.62, ax:  0.01, ay: -0.11, az:  1.04, gx:  2.75, gy: -9.64, gz: -19.17, OX: -0.14
1746526794.6243355 N:   66, t: 27591009, dt: 19826, ENC_DEG: 33.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.25, I: -20.73, D:  0.29, VEL_OUT: -41.08, MS_MPC: 27679.62, ax:  0.00, ay: -0.12, az:  1.06, gx:  1.95, gy: -8.12, gz: -16.72, OX: -0.02
1746526794.6303792 N:   67, t: 27610901, dt: 19892, ENC_DEG: 33.86, REF:  0.00, VEL_RAW:  2.21, VEL_AVG:  0.02, I: -20.75, D:  0.23, VEL_OUT: -39.34, MS_MPC: 27685.93, ax: -0.00, ay: -0.10, az:  1.05, gx:  1.40, gy: -6.59, gz: -15.26, OX:  0.18
1746526794.636668  N:   68, t: 27629846, dt: 18945, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -3.48, VEL_AVG: -0.18, I: -20.93, D: -0.16, VEL_OUT: -45.27, MS_MPC: 27676.45, ax: -0.00, ay: -0.10, az:  1.04, gx:  0.98, gy: -5.07, gz: -14.71, OX:  0.09
1746526794.6426518 N:   69, t: 27650187, dt: 20341, ENC_DEG: 33.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.37, I: -21.30, D: -0.19, VEL_OUT: -48.16, MS_MPC: 27676.45, ax: -0.02, ay: -0.08, az:  1.02, gx:  1.16, gy: -4.46, gz: -14.28, OX:  0.13
1746526794.6849167 N:   74, t: 27750496, dt: 15174, ENC_DEG: 33.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -22.30, D:  0.10, VEL_OUT: -44.09, MS_MPC: 27685.93, ax: -0.02, ay: -0.12, az:  1.01, gx:  2.75, gy: -4.03, gz: -12.51, OX: -0.14
1746526794.6909025 N:   75, t: 27771196, dt: 20700, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -3.18, VEL_AVG:  0.11, I: -22.41, D: -0.07, VEL_OUT: -46.62, MS_MPC: 27676.45, ax: -0.01, ay: -0.13, az:  1.03, gx:  2.08, gy: -4.09, gz: -9.34, OX: -0.02
1746526794.7464693 N:   76, t: 27795770, dt: 24574, ENC_DEG: 33.82, REF:  0.00, VEL_RAW:  0.89, VEL_AVG:  0.09, I: -22.50, D:  0.02, VEL_OUT: -45.65, MS_MPC: 27679.62, ax:  0.00, ay: -0.13, az:  1.02, gx:  1.40, gy: -3.91, gz: -6.71, OX: -0.06
1746526794.7530816 N:   77, t: 27809800, dt: 14030, ENC_DEG: 33.73, REF:  0.00, VEL_RAW: -6.26, VEL_AVG: -0.52, I: -23.02, D: -0.44, VEL_OUT: -55.64, MS_MPC: 27666.95, ax:  0.00, ay: -0.12, az:  1.03, gx:  0.73, gy: -3.91, gz: -2.69, OX: -0.01
1746526794.7587125 N:   78, t: 27829707, dt: 19907, ENC_DEG: 33.77, REF:  0.00, VEL_RAW:  2.21, VEL_AVG: -0.34, I: -23.36, D:  0.18, VEL_OUT: -48.29, MS_MPC: 27673.28, ax: -0.01, ay: -0.12, az:  1.04, gx: -0.12, gy: -3.05, gz: -0.43, OX:  0.07
1746526794.76573   N:   79, t: 27850731, dt: 21024, ENC_DEG: 33.69, REF:  0.00, VEL_RAW: -4.18, VEL_AVG: -0.87, I: -24.24, D: -0.53, VEL_OUT: -62.52, MS_MPC: 27660.61, ax:  0.00, ay: -0.11, az:  1.03, gx: -1.53, gy: -1.83, gz:  2.26, OX:  0.16
1746526794.8080518 N:   81, t: 27894522, dt: 24777, ENC_DEG: 33.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.29, I: -24.82, D:  0.00, VEL_OUT: -52.58, MS_MPC: 27670.12, ax: -0.00, ay: -0.10, az:  1.02, gx: -2.14, gy: -1.83, gz:  4.64, OX:  0.16
